SP_ID,x,y,quad,year,GenID
10,34.68891236,20.75359217,Q1,32,10
11,21.58926147,33.10656001,Q1,32,11
12,13.34391946,34.51568022,Q1,32,12
17,10.65606694,29.45603084,Q1,32,17
18,10.30562027,31.98957257,Q1,32,18
19,7.599888143,29.47433933,Q1,32,19
24,10.21870696,49.52573078,Q1,32,24
29,54.47357112,42.68911347,Q1,32,29
31,53.36704659,22.08922692,Q1,32,31
59,27.92380537,92.36309672,Q1,32,59
87,79.3570805,5.311152768,Q1,32,87
88,94.71762625,10.98182748,Q1,32,88
89,84.42565898,1.576657874,Q1,32,89
90,83.04525241,4.225889996,Q1,32,90
91,96.58596754,7.650495963,Q1,32,91
6,0.774068998,70.79526898,Q10,30,6
8,22.30314231,89.77423592,Q10,30,8
12,5.104853757,64.85089634,Q10,30,12
13,8.794321725,63.57457023,Q10,30,13
14,5.156168626,57.53681983,Q10,30,14
15,11.61971319,56.53803799,Q10,30,15
16,17.56221761,57.49490124,Q10,30,16
17,9.551684536,52.56872664,Q10,30,17
22,16.53710808,47.59142675,Q10,30,22
29,2.54504918,43.04220368,Q10,30,29
48,56.44981826,87.85492778,Q10,30,48
56,82.47375908,91.15858641,Q10,30,56
57,88.00415536,87.67546615,Q10,30,57
102,62.25782581,36.25260503,Q10,30,102
110,85.60431695,27.98490825,Q10,30,110
111,82.75395249,23.33198479,Q10,30,111
123,84.22547146,12.02733552,Q10,30,123
21,24.706639,56.54142417,Q11,30,21
22,21.50616213,56.32701604,Q11,30,22
23,23.15600025,59.27256544,Q11,30,23
26,19.12231438,56.90831435,Q11,30,26
27,19.37989154,59.71122175,Q11,30,27
28,20.46251857,60.55485259,Q11,30,28
29,20.91873127,61.95778836,Q11,30,29
30,23.23406954,62.03558349,Q11,30,30
31,25.50547685,62.47479908,Q11,30,31
32,27.41127369,62.96284245,Q11,30,32
33,28.03432257,61.68206865,Q11,30,33
34,29.54946631,61.65840656,Q11,30,34
59,80.45218489,54.71941615,Q11,30,59
60,82.61420261,55.78605205,Q11,30,60
61,80.50479855,51.91639424,Q11,30,61
69,21.59700267,10.0928299,Q11,30,69
73,38.66284265,14.01134354,Q11,30,73
77,25.9381011,4.987518632,Q11,30,77
98,38.61733906,55.67803709,Q11,30,98
89,18.36489048,12.36191323,Q12,30,89
35,65.90109446,64.19708369,Q13,30,35
82,17.85867643,67.44237181,Q13,30,82
83,15.66139284,68.26896258,Q13,30,83
84,15.32815022,66.1059852,Q13,30,84
196,33.24802692,11.47766607,Q13,30,196
85,92.90785168,76.25903944,Q14,30,85
86,73.88773381,56.98494083,Q14,30,86
88,53.91130772,45.85392839,Q14,30,88
89,56.08610243,47.35650825,Q14,30,89
95,84.48151396,31.88627677,Q14,30,95
0,2.553643892,36.9287066,Q15,31,0
1,2.42178921,37.94957378,Q15,31,1
2,5.272163486,38.75739661,Q15,31,2
10,25.41003483,84.22732286,Q15,31,10
11,26.03966202,87.50473367,Q15,31,11
12,23.21389216,92.44848902,Q15,31,12
13,20.85652752,92.04922842,Q15,31,13
14,19.48499746,96.64862847,Q15,31,14
15,20.66768505,99.46243607,Q15,31,15
16,24.19071081,97.79614424,Q15,31,16
17,29.01136301,97.21359803,Q15,31,17
26,76.69771336,45.21853197,Q15,31,26
33,60.63059768,88.45037181,Q15,31,33
34,60.79685693,89.61803854,Q15,31,34
35,64.16470824,91.5540125,Q15,31,35
37,72.07545154,92.56084603,Q15,31,37
44,88.63319419,93.35296992,Q15,31,44
46,90.18652752,91.65630325,Q15,31,46
48,81.36406861,46.03332404,Q15,31,48
49,81.40544525,47.28923901,Q15,31,49
50,83.5322401,50.38889121,Q15,31,50
51,84.14167789,49.49498005,Q15,31,51
52,84.24652752,48.51296992,Q15,31,52
53,84.03273614,53.31732977,Q15,31,53
54,91.12176856,55.90131491,Q15,31,54
55,89.43464768,50.46645829,Q15,31,55
56,90.30490359,50.51296992,Q15,31,56
60,80.47741914,40.17720704,Q15,31,60
61,91.22624078,44.38311329,Q15,31,61
62,92.40319419,42.89963658,Q15,31,62
63,91.20905842,42.21330765,Q15,31,63
64,96.33052234,40.01391746,Q15,31,64
72,96.98070058,35.4840901,Q15,31,72
73,99.19261358,36.05383148,Q15,31,73
78,98.54392805,33.29486124,Q15,31,78
2,24.25479962,21.19092309,Q16,30,2
7,16.23913585,27.56693142,Q16,30,7
8,17.68272175,31.82845721,Q16,30,8
9,19.20704139,29.64975177,Q16,30,9
10,20.91193061,31.30296705,Q16,30,10
11,20.34690322,33.67341791,Q16,30,11
17,10.26412996,73.01275843,Q16,30,17
18,12.31275575,74.06908904,Q16,30,18
33,65.29933326,98.31286758,Q16,30,33
34,76.2147771,99.37463444,Q16,30,34
36,92.30280966,18.57945089,Q16,30,36
9,44.60426673,39.96235104,Q17,31,9
2,27.61146507,75.4523861,Q18,30,2
3,21.00645519,70.85705678,Q18,30,3
9,20.15745815,59.49142735,Q18,30,9
19,35.90090164,69.33127969,Q18,30,19
20,36.06547465,67.10721215,Q18,30,20
23,13.41718234,50.53988141,Q18,30,23
12,82.39814467,4.345806577,Q19,23,12
7,11.09208164,72.40235801,Q2,32,7
8,16.12701518,80.50364124,Q2,32,8
9,11.50934646,69.27372633,Q2,32,9
10,9.475308569,69.01400675,Q2,32,10
16,21.39580797,80.20945278,Q2,32,16
18,23.92586157,76.59464801,Q2,32,18
23,11.26466231,72.44223807,Q2,32,23
25,6.228957601,85.346246,Q2,32,25
26,39.07214449,75.09533451,Q2,32,26
30,53.08580024,77.93570238,Q2,32,30
32,45.6338394,69.06184869,Q2,32,32
33,63.79117412,81.53890518,Q2,32,33
34,62.55272437,83.27179173,Q2,32,34
38,43.31613638,97.49689279,Q2,32,38
42,56.98325361,94.7310086,Q2,32,42
43,60.44147896,95.93059757,Q2,32,43
44,63.34942138,95.24889198,Q2,32,44
45,64.8132493,94.84841773,Q2,32,45
46,63.11169503,97.00445523,Q2,32,46
47,65.52948347,97.24424105,Q2,32,47
48,66.57382873,96.29858841,Q2,32,48
49,66.18951942,92.45721311,Q2,32,49
50,68.35791079,97.92047716,Q2,32,50
51,69.23876845,92.74956573,Q2,32,51
52,68.00701157,91.29150683,Q2,32,52
53,68.131319,92.20111264,Q2,32,53
62,78.17918933,64.02986199,Q2,32,62
63,66.60841682,62.08195352,Q2,32,63
88,89.12763637,12.39834846,Q2,32,88
94,73.88066451,45.95189771,Q2,32,94
45,2.645923221,39.36459312,Q20,23,45
46,6.347866219,37.72746323,Q20,23,46
47,10.18587357,38.21146919,Q20,23,47
13,89.30574117,83.2606767,Q21,30,13
14,90.72213772,81.61215796,Q21,30,14
15,92.12010743,79.55878103,Q21,30,15
26,86.43864418,48.31220384,Q21,30,26
27,89.85873758,48.1718468,Q21,30,27
28,91.64492142,49.82126361,Q21,30,28
29,88.63800324,50.70645785,Q21,30,29
69,59.94642645,90.30892194,Q21,30,69
70,58.53256893,91.16045136,Q21,30,70
71,52.36314369,83.13963673,Q21,30,71
72,51.68980987,86.5303303,Q21,30,72
75,50.18418926,80.72980134,Q21,30,75
76,53.43567821,80.14241943,Q21,30,76
77,54.37708696,77.75736085,Q21,30,77
90,42.75327713,71.2561543,Q21,30,90
95,24.88107973,69.35767167,Q21,30,95
98,61.1672365,82.44983552,Q21,30,98
99,58.94534827,84.39630728,Q21,30,99
100,62.06037978,84.84435799,Q21,30,100
101,60.70170318,87.85005546,Q21,30,101
102,57.03162964,86.6352798,Q21,30,102
103,62.97761773,87.92936248,Q21,30,103
104,65.7795071,87.66756655,Q21,30,104
105,70.16369412,85.65465588,Q21,30,105
106,67.87709939,83.7106281,Q21,30,106
107,66.69999029,81.95030709,Q21,30,107
108,64.12174693,83.25146737,Q21,30,108
68,82.42685096,64.58461361,Q22,30,68
73,74.66403292,30.10676045,Q22,30,73
79,53.76607057,6.755231632,Q22,30,79
85,62.40828068,44.03567223,Q22,30,85
86,61.46892128,56.75284004,Q22,30,86
87,62.45539132,62.53582985,Q22,30,87
88,62.34409686,66.50064571,Q22,30,88
97,36.73042111,51.73285838,Q22,30,97
101,11.97505672,23.13735063,Q22,30,101
102,10.0043286,21.00857131,Q22,30,102
105,14.63035242,4.887038867,Q22,30,105
111,16.86539838,18.87264727,Q22,30,111
113,16.36294494,73.1948582,Q22,30,113
114,9.583924026,94.89418124,Q22,30,114
115,12.09375079,93.88691555,Q22,30,115
10,33.35038931,86.3731778,Q23,32,10
26,57.82381802,75.46028694,Q23,32,26
28,48.95621879,72.62861463,Q23,32,28
29,45.97012945,73.96359161,Q23,32,29
30,44.22378516,75.62325428,Q23,32,30
31,42.25743636,70.41584598,Q23,32,31
32,44.63151882,67.92447044,Q23,32,32
33,39.72516654,68.21014783,Q23,32,33
39,76.27737738,51.68405701,Q23,32,39
58,16.58236353,28.11851787,Q23,32,58
59,21.53908096,31.57529396,Q23,32,59
60,24.85851859,31.0687855,Q23,32,60
61,11.80212917,14.1274556,Q23,32,61
62,15.43417376,14.88405319,Q23,32,62
63,18.74212543,14.29030921,Q23,32,63
64,20.37241374,16.15294079,Q23,32,64
75,66.32139648,1.952670442,Q23,32,75
78,21.07523834,1.672979297,Q23,32,78
22,11.09033142,40.66965793,Q24,34,22
81,97.08880668,34.47281366,Q24,34,81
3,15.12861027,67.55221879,Q25,32,3
19,92.43388387,51.91250354,Q25,32,19
22,88.94017235,50.48347516,Q25,32,22
31,5.068359654,32.2953228,Q25,32,31
35,17.85095575,21.13224263,Q25,32,35
37,96.60703779,33.69240869,Q25,32,37
92,16.64173181,23.53117433,Q26,32,92
93,21.38435472,22.37650112,Q26,32,93
94,4.291143693,24.30509527,Q26,32,94
95,5.344194636,2.30154786,Q26,32,95
96,42.53387064,20.14068538,Q26,32,96
99,65.42019829,50.70945166,Q26,32,99
100,38.20626623,46.80299019,Q26,32,100
101,40.35960459,46.59874302,Q26,32,101
102,37.95902155,49.90616617,Q26,32,102
109,50.57922178,51.67350034,Q26,32,109
1,94.37927736,76.26025528,Q3,32,1
2,90.29034844,76.43848752,Q3,32,2
3,56.31514291,62.13218295,Q3,32,3
6,62.06856224,24.16557162,Q3,32,6
7,7.284125515,99.69837452,Q3,32,7
12,34.86043915,91.33847482,Q3,32,12
13,37.8673851,91.05716519,Q3,32,13
14,35.16706738,94.13292362,Q3,32,14
15,37.30284949,94.47898418,Q3,32,15
16,37.68144282,93.07030599,Q3,32,16
17,1.52780422,87.23049441,Q3,32,17
18,3.056406309,88.9418787,Q3,32,18
19,1.477502845,84.60329459,Q3,32,19
20,8.009147673,89.62540459,Q3,32,20
21,10.38875949,91.00020535,Q3,32,21
34,52.49352487,67.72182622,Q3,32,34
35,52.92241249,64.38957071,Q3,32,35
36,53.45668685,62.85139584,Q3,32,36
37,54.94178927,62.97636862,Q3,32,37
49,74.4198692,98.42683618,Q3,32,49
50,79.5425184,94.01420103,Q3,32,50
