SP_ID,x,y,quad,year,GenID
52,73.91418084,90.99948978,Q3,32,52
53,82.38219958,87.92641706,Q3,32,53
68,92.6166137,75.73755239,Q3,32,68
69,99.55468492,77.09198868,Q3,32,69
70,99.58409592,73.8546061,Q3,32,70
77,72.27635074,69.76403498,Q3,32,77
78,67.33535127,66.54773031,Q3,32,78
87,11.48626061,50.58182929,Q3,32,87
90,6.12653677,43.95048079,Q3,32,90
97,55.05748309,60.90114448,Q3,32,97
120,68.52926307,32.96564111,Q3,32,120
123,71.27742628,34.67409653,Q3,32,123
125,74.64470175,12.12531345,Q3,32,125
128,78.16727876,10.62754384,Q3,32,128
135,73.35743063,3.226807111,Q3,32,135
136,66.96170884,5.772565245,Q3,32,136
138,58.76498823,1.111009478,Q3,32,138
140,38.07362385,11.51844247,Q3,32,140
141,37.26865221,8.527825186,Q3,32,141
142,34.32673956,9.532552449,Q3,32,142
143,34.17880519,6.680658716,Q3,32,143
144,41.39675803,8.54625963,Q3,32,144
146,37.84397317,3.590452674,Q3,32,146
147,37.60819297,0.519248713,Q3,32,147
148,43.25022853,1.460163062,Q3,32,148
149,44.46333881,3.060182348,Q3,32,149
150,45.34175991,0.588806826,Q3,32,150
161,57.79667624,22.82028266,Q3,32,161
162,56.02739365,20.11017143,Q3,32,162
163,57.47644037,19.07073439,Q3,32,163
167,5.56234818,62.24461062,Q3,32,167
38,70.9522694,52.33524487,Q4,32,38
46,67.4644226,16.3647988,Q4,32,46
63,15.15699344,56.15249226,Q4,32,63
64,90.35946609,45.45378194,Q4,32,64
0,0.772935223,1.300711534,Q5,32,0
1,37.85477879,4.019529212,Q5,32,1
2,42.59388922,3.793895452,Q5,32,2
3,48.55075363,4.243889727,Q5,32,3
4,59.14293126,4.792256112,Q5,32,4
5,61.82173735,6.939398173,Q5,32,5
6,3.603460271,9.378552676,Q5,32,6
7,57.04287235,9.458314496,Q5,32,7
8,58.96604516,11.02065761,Q5,32,8
9,58.07798025,13.30402027,Q5,32,9
11,63.05581923,14.01243143,Q5,32,11
12,54.72842826,20.59160963,Q5,32,12
13,59.64914345,18.19879541,Q5,32,13
14,64.35069165,20.10367674,Q5,32,14
15,4.4645808,43.85654019,Q5,32,15
16,3.46035504,57.74367853,Q5,32,16
17,8.128901954,61.27719164,Q5,32,17
18,37.77278594,54.97212434,Q5,32,18
19,4.327793066,64.32194218,Q5,32,19
21,3.159118731,87.83052822,Q5,32,21
29,47.96541875,98.84803576,Q5,32,29
38,94.42902099,87.37968244,Q5,32,38
39,81.48739538,61.95170918,Q5,32,39
40,94.93589347,37.98974569,Q5,32,40
13,1.132752444,72.28369598,Q6,32,13
19,0.634424902,86.42983827,Q6,32,19
20,5.829609677,90.17507647,Q6,32,20
21,3.283805063,91.65058479,Q6,32,21
22,4.513233472,89.8767256,Q6,32,22
23,7.398060672,78.24723339,Q6,32,23
24,0.598309563,97.01373215,Q6,32,24
25,0.858660601,99.05246241,Q6,32,25
26,9.028340778,98.57792329,Q6,32,26
27,17.11856228,95.0934498,Q6,32,27
30,39.22247935,62.05129075,Q6,32,30
31,38.58833991,83.65586648,Q6,32,31
34,47.65855153,81.04803605,Q6,32,34
37,35.40000871,88.98778565,Q6,32,37
38,34.64193421,94.27327873,Q6,32,38
47,65.45395155,98.39552275,Q6,32,47
52,72.90380231,68.16495281,Q6,32,52
76,93.01367543,25.47555818,Q6,32,76
77,3.215660503,77.93676682,Q6,32,77
6,72.09669141,88.84856323,Q7,23,6
8,87.89559321,79.05771215,Q7,23,8
10,83.12905435,66.62760873,Q7,23,10
14,7.725962876,77.36519483,Q7,23,14
16,35.16738434,74.21647569,Q7,23,16
21,44.58726378,59.54712585,Q7,23,21
22,39.37317847,56.49350441,Q7,23,22
24,38.12320666,50.51595942,Q7,23,24
25,44.03609403,50.60241595,Q7,23,25
31,64.73128793,50.50547805,Q7,23,31
37,57.72479088,39.30725819,Q7,23,37
38,64.51239304,35.61430239,Q7,23,38
39,63.26933894,32.39610763,Q7,23,39
41,76.88012803,36.21412788,Q7,23,41
42,74.56381085,30.90797809,Q7,23,42
45,0.966964002,37.11848593,Q7,23,45
55,76.65625257,3.07189524,Q7,23,55
56,84.93194788,4.112905988,Q7,23,56
59,13.03874733,18.3285043,Q7,23,59
61,45.38620977,98.46837661,Q7,23,61
62,44.20665137,96.27335088,Q7,23,62
63,46.01126091,96.5063644,Q7,23,63
64,69.00336869,86.5725751,Q7,23,64
65,70.33698633,86.57085232,Q7,23,65
66,87.87784668,31.79133625,Q7,23,66
67,66.03109347,32.62365244,Q7,23,67
68,66.26846382,34.1923104,Q7,23,68
69,10.39009499,1.022061967,Q7,23,69
70,6.870876212,9.499015193,Q7,23,70
1,87.63983686,77.73200546,Q8,23,1
6,68.34260763,32.95046454,Q8,23,6
11,84.68111648,32.96179648,Q8,23,11
13,70.92413731,49.42013375,Q8,23,13
19,39.87364555,58.69892393,Q8,23,19
20,38.90289542,54.92882019,Q8,23,20
27,57.15258956,41.80309209,Q8,23,27
35,19.24321134,25.83783089,Q8,23,35
41,98.81026997,95.17023403,Q8,23,41
45,84.32461449,79.63376136,Q8,23,45
51,77.9433676,33.77205663,Q8,23,51
52,75.78655041,2.109980815,Q8,23,52
37,89.81680157,98.27600718,Q9,30,37
39,58.96888593,50.32115253,Q9,30,39
54,50.73523673,6.189288956,Q9,30,54
