"species","quad","year","genetID","allcov.0.2","allcov.2.4","allcov.4.6","allcov.6.8","allcov.8.10","allcov.10.12","allcov.12.14","allcov.14.16","allcov.16.18","allcov.18.20","allcov.20.25","allcov.25.30","allcov.30.35","allcov.35.40","allcov.40.45","allcov.45.50","allcov.50.60","allcov.60.70","allcov.70.80","allcov.80.90","allcov.90.100","allcov.100.110","allcov.110.120","allcov.120.130","allcov.130.140","allcov.140.150","allpts.0.2","allpts.2.4","allpts.4.6","allpts.6.8","allpts.8.10","allpts.10.12","allpts.12.14","allpts.14.16","allpts.16.18","allpts.18.20","allpts.20.25","allpts.25.30","allpts.30.35","allpts.35.40","allpts.40.45","allpts.45.50","allpts.50.60","allpts.60.70","allpts.70.80","allpts.80.90","allpts.90.100","allpts.100.110","allpts.110.120","allpts.120.130","allpts.130.140","allpts.140.150","propQ.0.2","propQ.2.4","propQ.4.6","propQ.6.8","propQ.8.10","propQ.10.12","propQ.12.14","propQ.14.16","propQ.16.18","propQ.18.20","propQ.20.25","propQ.25.30","propQ.30.35","propQ.35.40","propQ.40.45","propQ.45.50","propQ.50.60","propQ.60.70","propQ.70.80","propQ.80.90","propQ.90.100","propQ.100.110","propQ.110.120","propQ.120.130","propQ.130.140","propQ.140.150"
"HECO","Q1",33,1,0,0,0.843907430471048,0,0,0,0.708406328389271,5.53518642291455,19.2663174941694,28.0138306749393,100.45069429869,168.636663561631,77.4691757027184,30.5567012149351,75.888082449714,71.5749593182216,80.3931475105983,33.4245825554971,63.4690010180014,0.124196891074234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,3,6,3,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.982631449621079,0.929897645205585,0.80764884954189,0.640044015044453,0.497326470813523,0.393039817396786,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"HECO","Q1",33,2,0,0,0.711706219124542,0.132201211346506,1.27076206140088,6.37502101821166,16.2558504900382,18.3037562136916,19.4449962962596,25.1159321730613,96.2202249183536,65.68836394594,130.621238047553,102.747127798241,58.1459948063748,16.1183476131448,127.640073737182,25.8703917052904,45.6928646167505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,5,5,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.980190720802619,0.946271992848731,0.812313411776987,0.640948166718182,0.497441018894793,0.393039817396786,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"HECO","Q1",33,3,0,0,0,0,7.00707195285682,16.9783694001145,23.5548096463587,39.0663187715531,39.5870260876076,24.2378399208944,56.8508843636478,70.7012133298283,53.8297483037757,17.8728475956157,74.799794097209,84.0386320587565,87.2208731161992,32.6744125002341,96.9958589948458,29.0797171323509,1.85943560011651,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,2,1,0,3,7,3,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.969794463600652,0.914075535346035,0.851599590629096,0.775106138618837,0.711329253427459,0.66039459065599,0.584945596126868,0.529027099841562,0.462599640683266,0.385049705039022,0.317904308016969,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"HECO","Q1",34,1,0,0,0.25,0,0.25,0,0,1.3921727243678,15.1708993800139,19.0340475677331,20.6855389600639,47.7494179615018,43.3134342709275,29.9889978614417,76.9581575597014,40.0545130228354,26.9546835175497,11.7538328656449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,6,4,4,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98684636627892,0.935460520248782,0.811668364633865,0.641176324078817,0.497396572807149,0.393039817396786,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"HECO","Q1",34,2,0,0,0.25,0,0.25,0.278949204847249,13.7905625963861,10.8096454673525,2.98737233086888,2.41730618058028,19.8405740086271,29.9066094744466,66.0498901358249,81.1863121823867,41.2971638938536,20.0236045331373,41.9070996901578,2.31060599331227,0.249999999999943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,7,6,4,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.985170963299616,0.951440142540512,0.81714272995383,0.642252826015262,0.497441018894793,0.393039817396786,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"HECO","Q1",34,3,0,0,0.25,0.16236760211437,6.81821063557534,19.998939492637,27.238612024042,20.0939317498092,19.0505415519085,19.6746175553752,25.1402338702186,20.5664425258973,19.8923740226041,0.725081317329426,62.0430702437899,46.2055744813349,24.4485622685127,12.7712439600507,6.28927136226974,1,1.18662102831217,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,1,1,1,6,8,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.973207882488511,0.918023707436322,0.867091525964092,0.79634503862631,0.730968245349793,0.678298492314761,0.599888935703401,0.536340880303233,0.466410357159763,0.386726303534437,0.318200404387515,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"HECO","Q1",34,4,2.81655640983195,6.8211234149065,0.069548186693412,0.25,0.25,0,0,3.02205455637409,15.4896903612666,29.6909228689011,25.6465201634017,20.4649233486232,15.9501459416266,0.813027599451743,2.93474478138342,0.25,5.48596740968176,97.2482540055024,51.8994287153322,19.0901555670976,34.1126323617069,0,1.24999999999994,0,0,0,1,1,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,4,3,4,2,1,3,0,0,0,1,0.934325645320926,0.810206433265087,0.737603030667898,0.691862482670915,0.66068086786788,0.638134360468779,0.621098360590435,0.607783084774151,0.59286343859001,0.53637315625903,0.491914388922266,0.458400390271308,0.432647765198743,0.412372172726394,0.396047835869739,0.371464685364789,0.353883567052731,0.340710276122346,0.319755170134888,0.292895537865922,0.255613839676226,0.220198652887248,0.188380030821795,0.162429720455475,0.141494334262925
"HECO","Q1",34,5,0,0.75,0.0140907492588442,0.487571235704535,0.86259023414355,0.135747780893071,0.25,0.5,0.25,0,0.75,1.21300301208779,1.67622109120297,7.59791610143016,19.9815554625565,24.3165601435571,50.1361957382687,36.345267548345,39.6516411890664,138.79665531964,9.84068008562633,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,2,1,1,0,3,1,3,2,5,1,0,0,0,0,0,1,1,1,1,1,0.976744235093259,0.931128487108199,0.88875406468332,0.852208878050869,0.821128719329973,0.761827680928461,0.720358010409474,0.689982317793791,0.666856161937427,0.648675667763961,0.618299403096509,0.55057367040919,0.479625243626503,0.421982328608838,0.375255683781262,0.317441874801046,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455476,0.141494334262925
"HECO","Q1",34,6,0,6.60707027669419,12.5125823232687,2.4122509234865,5.24864020560015,10.2793057025461,5.88318588755964,2.46641169160264,0.0409195449977773,6.77355539081178,14.9223245200264,7.34753270730646,74.4205576235782,51.1158520171783,2.48464896629332,20.7692345582911,82.5719968714438,14.7839979628732,11.7290074899107,1.18662102831217,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,2,0,9,2,6,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.993723690840068,0.953940591337172,0.912225601160591,0.867767839431771,0.80954014933849,0.703113796673252,0.594281334969877,0.489466349995383,0.392931268106587,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"HECO","Q1",34,7,8.57974191704492,12.9330449813553,7.28331831459757,0.370631858831512,0,0,0,0,0.886646321061949,5.2181070786673,40.0452062324662,38.7162157728583,30.298977221063,6.6596564773547,16.7263569942389,25.1022028775909,7.71008276752625,6.47875207783068,86.6661553127788,22.6125659508822,13.7587297134393,2.07268279388114,1.18662102831223,0.249999999999943,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,6,5,5,1,1,0,0,0,1,1,0.973669006703719,0.885115823680106,0.817840183677249,0.769076137461845,0.732760513742437,0.704854345559391,0.676272024836494,0.637763969645024,0.561349978253979,0.508235851627282,0.469987210077602,0.441337786616292,0.419153693641377,0.401503269995574,0.375239908171199,0.356671021672647,0.342865699765673,0.324182852765138,0.294065572631979,0.255992171241632,0.220292521763218,0.188380030821795,0.162429720455475,0.141494334262925
"HECO","Q1",34,8,0,0,0,0,0,0,4.69074299924115,14.2307653791619,9.06889300642209,1.17633568700413,8.35425336515017,8.01177545534338,47.4637094841276,68.770291776274,35.2220462965146,1.00019941586891,3.14782143204886,1.89335451750003,78.1961270714575,35.5822434550342,15.0605153223204,1.18833837464979,0.498282653662386,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,2,5,4,0,6,2,0,0,0,0,1,0.805681618939561,0.709067344994668,0.658142909368222,0.627005658859336,0.606059337310017,0.591021829547692,0.579708782228616,0.570891521454404,0.563827866918126,0.551093148521089,0.542591838295244,0.533673513881089,0.511077761874995,0.48847495352928,0.468298659277658,0.435463114488783,0.406511236449556,0.369288995236563,0.335333047485504,0.304269682431271,0.261049214643885,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"HECO","Q1",35,1,0,0,0.25,0.186929761370473,0.0630702386295265,0,0,2.69256811211299,14.7406539612594,28.6743787971123,77.943356223267,80.8820438058144,44.6779998317142,46.3259593317827,117.972577761047,97.0422937011892,118.263647703641,51.6249684415742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,6,7,8,4,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.980489718930806,0.926463410353383,0.80557339363799,0.639540314646422,0.497262764617927,0.393039817396786,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"HECO","Q1",35,10,12.5643036193191,26.3902123947716,25.6027552441808,24.2981714193604,7.18680392414653,0.25,0.250405736905819,1.11678960033923,1.11489719322461,6.33817068461522,38.9966050887116,74.7273078506163,52.5340274342625,53.3194340922288,28.94632405561,37.2907075551943,118.134559038818,63.9816755115452,42.8431261475673,57.4724896853498,4.53229584495705,2.60988525762775,0.839500291162381,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,2,0,1,1,4,8,9,4,2,0,0,0,0,1,1,1,0.999851486885061,0.946746201045573,0.889199006826669,0.841701173208369,0.803410447220757,0.772328959711483,0.746763077479929,0.69942450850258,0.657356590161425,0.603810707351469,0.560364260301537,0.52556710665804,0.497376973684279,0.454852015514237,0.424503927067583,0.389397798820131,0.352723284723954,0.308212218192696,0.261798374034431,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"HECO","Q1",35,2,0,0,0.245195977655823,0.00480402234417693,0.442104692455258,2.35872761875447,10.7584716950475,20.4061027168441,19.1526435143815,18.2785544399515,41.5011876233108,73.6510573702922,75.5039951974611,83.8285740765419,66.0563594230875,87.4976278186962,172.033181331168,8.93055656954641,0.691303582975252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,3,9,9,6,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.981697398910567,0.944327223604951,0.812683060229276,0.64106308501979,0.497441018894793,0.393039817396786,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
