"BOER","BORO","HIBE","midRings"
1,1,1,1
0.277343756302884,0.213524581851882,0.430300392763673,3
0.0871006009695495,0.108812123823209,0.142984615867439,5
0.0309829482608895,0.0302402196549723,0.037011004849425,7
0.0125015240772491,6.85095568249463e-07,0.00765573633355193,9
0.00574017224721323,4.05849356709882e-09,0.00131698734484049,11
0.0030101031381654,4.60242330200626e-10,0.000196850408012621,13
0.00180690446270422,7.30072293091901e-11,2.66425971842344e-05,15
0.00124057951312588,6.59834482703287e-11,3.38500770494704e-06,17
0.00096939179666431,6.59834482703287e-11,4.16375122870293e-07,19
0.00083002498862648,3.63687580434823e-12,1.06996128372968e-08,22.5
0.000829549200617763,3.16263771846214e-14,7.05043834968403e-11,27.5
0.000829549200617763,2.40850855822139e-15,7.44407337856267e-13,32.5
0.000829549200617763,1.78857180814391e-16,1.54979001109384e-14,37.5
0.000829549200617763,7.35925005420069e-18,7.22158959176979e-16,42.5
0.000829549200617763,1.46381578289277e-19,7.84037436628017e-17,47.5
0.000829549200617763,1.46757689123295e-22,1.31595158124557e-17,55
0.000824009798354011,2.18062896986498e-26,1.00443014605381e-17,65
0.000430335254675562,2.18837998491265e-28,1.00443014605381e-17,75
9.92122906349496e-05,8.78167469109256e-29,1.00443014605381e-17,85
2.08775949888629e-05,1.03740278982151e-29,1.00443014605381e-17,95
7.153357486059e-06,1.67687954058992e-32,1.00443014605381e-17,105
5.17699957978571e-06,9.81975973444e-37,1.00443014605381e-17,115
5.17699957978571e-06,3.79607688037194e-40,1.00443014605381e-17,125
5.17699957978571e-06,1.3624322207514e-40,1.00443014605381e-17,135
5.17699957978571e-06,1.3624322207514e-40,1.00443014605381e-17,145
