"ANGE","BOCU","BOHI","SCSC","midRings"
1,1,1,1,1
0.55219491079216,1,0.00421414565811203,0.905376034534701,3
0.303741990512816,0.976235240230588,0.00096274452212663,0.819433576059995,5
0.166854536209927,0.731162163861769,0.00096274452212663,0.741422076721498,7
0.0919995235500543,0.410536690134299,0.00096274452212663,0.67072378074383,9
0.0512628919639493,0.200187275760804,0.00096274452212663,0.606763294364824,11
0.0290887688878416,0.0996096110731907,0.000335780060184616,0.548881596158494,13
0.0169568594182114,0.0556412319197338,8.2890222526452e-06,0.496342465472818,15
0.0102359371144831,0.0358018158382931,1.49736267834883e-08,0.448393311049848,17
0.00644241435099145,0.0260929333285138,2.79825525809218e-12,0.404327164025696,19
0.00323502440999156,0.0184857492357332,9.65947274367087e-21,0.334784593119798,22.5
0.00165876076970074,0.0151051619789933,6.5202354774932e-36,0.248882590428029,27.5
0.00127126153787956,0.0150343546222238,4.06508705986906e-53,0.176949739835293,32.5
0.00125635150213506,0.0150343546222238,8.15998407624099e-71,0.119256867551433,37.5
0.00125635150213506,0.0139156750659624,8.58226336938188e-88,0.0759277377401841,42.5
0.00125635150213506,0.00727385775773585,3.55886067733686e-103,0.0457711679044078,47.5
0.00125635150213506,0.000560880925550455,6.98115070363507e-122,0.0198351721836427,55
0.00125635150213506,1.62716007422543e-06,9.7993934207169e-137,0.00638988359179894,65
0.00125635150213506,2.97709084760842e-09,7.52967474741223e-140,0.00261577427876068,75
0.00125635150213506,1.96581910059188e-11,7.52967474741223e-140,0.00185391014826217,85
0.00125635150213506,6.47961144340917e-13,7.52967474741223e-140,0.00185326517684453,95
0.00125635150213506,7.48160037434428e-14,7.52967474741223e-140,0.00185326517684453,105
0.00125635150213506,1.46351163662561e-14,7.52967474741223e-140,0.00185326517684453,115
0.00125635150213506,1.91689776674295e-15,7.52967474741223e-140,0.00185326517684453,125
0.00125635150213506,6.5032210086934e-17,7.52967474741223e-140,0.00185326517684453,135
0.00125635150213506,3.27070037111969e-19,7.52967474741223e-140,0.00185326517684453,145
