"","X","quad","year","trackID","area","survives","age","distEdgeMin","allEdge","Group"
"73",73,"A1",33,366,0.25,1,1,4.81478615295646,0,"A"
"74",74,"A1",33,230,1.9540808906591,1,2,8.82416892465527,0,"A"
"75",75,"A1",33,354,0.249999999999989,1,1,32.0510970907358,0,"A"
"76",76,"A1",33,365,0.25,1,1,7.71715674058781,0,"A"
"77",77,"A1",33,359,0.249999999999996,0,1,26.5918182441978,0,"A"
"78",78,"A1",33,356,0.25,1,1,29.1031684517298,0,"A"
"79",79,"A1",33,349,0.250000000000004,1,1,11.0053001578449,0,"A"
"80",80,"A1",33,333,0.249999999999993,1,1,0.690896254432388,1,"A"
"81",81,"A1",33,334,0.25,1,1,3.82908179494622,1,"A"
"82",82,"A1",33,347,0.25,0,1,13.9917563909855,0,"A"
"83",83,"A1",33,367,0.249999999999993,1,1,4.79482008443574,0,"A"
"84",84,"A1",33,348,0.250000000000004,0,1,36.2656675116126,0,"A"
"85",85,"A1",33,337,0.250000000000004,0,1,17.2260330238474,0,"A"
"86",86,"A1",33,360,0.249999999999993,0,1,22.9811699853307,0,"A"
"87",87,"A1",33,220,0.500000000000002,0,2,18.2663072393143,0,"A"
"88",88,"A1",33,278,0.25,0,2,41.7638666432659,0,"A"
"89",89,"A1",33,357,0.249999999999993,1,1,0.0942954444645636,1,"A"
"90",90,"A1",34,342,0.499999999999986,0,2,0.557322121654366,1,"A"
"91",91,"A1",34,340,0.250000000000002,0,2,22.3257246448007,0,"A"
"92",92,"A1",34,339,1.00000000000001,0,2,6.55786353356422,0,"A"
"93",93,"A1",34,358,0.749999999999958,0,2,19.3347228216263,0,"A"
"94",94,"A1",34,338,0.500000000000004,1,2,21.0381314615728,0,"A"
"95",95,"A1",34,365,0.499999999999986,0,2,7.61379737571985,0,"A"
"96",96,"A1",34,364,0.249999999999986,0,2,3.34710757444466,1,"A"
"97",97,"A1",34,356,0.499999999999988,0,2,28.4927612664779,0,"A"
"98",98,"A1",34,354,0.499999999999975,1,2,31.6205088349593,0,"A"
"99",99,"A1",34,281,2.78558269622997,1,3,0.896725789725423,1,"A"
"100",100,"A1",34,343,0.500000000000002,0,2,29.0855894129052,0,"A"
"101",101,"A1",34,334,0.75,1,2,2.21223615085949,0,"A"
"102",102,"A1",34,352,0.249999999999993,0,2,45.8667017385691,0,"A"
"103",103,"A1",34,282,0.249999999999996,0,3,35.6575043119397,0,"A"
"104",104,"A1",34,362,0.249999999999989,0,2,22.1823021117847,0,"A"
"105",105,"A1",34,263,2.04065488428773,1,3,40.4728590507594,0,"A"
"106",106,"A1",34,357,0.349463555547686,0,2,0,1,"A"
"107",107,"A1",34,366,0.249999999999993,1,2,9.41468180758316,0,"A"
"108",108,"A1",34,367,0.249999999999993,1,2,5.6583019375885,0,"A"
"109",109,"A1",34,346,0.250000000000004,0,2,7.95275648242252,0,"A"
"110",110,"A1",34,210,0.249999999999993,0,3,19.1067419091941,0,"A"
"111",111,"A1",34,345,0.499999999999989,0,2,0.82557086834089,0,"A"
"112",112,"A1",34,280,0.749999999999967,1,3,35.8355838460919,0,"A"
"113",113,"A1",34,254,0.749999999999993,0,3,24.2704973580561,0,"A"
"114",114,"A1",34,361,0.249999999999993,0,2,22.880760348661,0,"A"
"115",115,"A1",34,302,2.23423917451055,0,3,23.5077807709912,0,"A"
"116",116,"A1",34,224,0.250000000000001,0,3,11.9228353528103,0,"A"
"117",117,"A1",34,370,0.249999999999998,1,1,24.525362943866,0,"A"
"118",118,"A1",34,375,0.249999999999986,0,1,37.361028721596,0,"A"
"119",119,"A1",34,216,0.250000000000002,0,3,25.1206660370543,0,"A"
"120",120,"A1",34,349,0.250000000000001,0,2,13.3713775170944,0,"A"
"121",121,"A1",34,333,0.249999999999993,1,2,0.664621442358452,1,"A"
"122",122,"A1",34,373,0.249999999999993,1,1,0.0744747335596969,1,"A"
"123",123,"A1",34,368,1.23217015940323,1,1,12.6097461408727,0,"A"
"124",124,"A1",34,369,0.249999999999995,0,1,23.6133173831023,0,"A"
"125",125,"A1",34,332,0.249999999999993,0,2,21.3063802082594,0,"A"
"126",126,"A1",34,251,5.88746530569907,0,3,24.3705093191734,0,"A"
"127",127,"A1",34,230,0.250000000000001,0,3,9.13305034494635,0,"A"
"128",128,"A1",34,336,0.25,0,2,14.4392161194509,0,"A"
"129",129,"A1",34,238,0.499999999999992,1,3,16.6522371344664,0,"A"
"130",130,"A1",34,374,0.249999999999993,0,1,37.7365763440602,0,"A"
"131",131,"A1",34,372,0.25,0,1,21.9553329617997,0,"A"
"132",132,"A1",34,371,0.249999999999998,1,1,25.0082103319606,0,"A"
"133",133,"A1",35,377,0.249999999999993,1,1,0.912384676804906,1,"A"
"134",134,"A1",35,376,0.25,0,1,0.160021391870019,1,"A"
