"","state","species","obs_lrt","uquant"
"1","Idaho","ARTR",91.3905274954782,4.31488169110994
"2","Idaho","HECO",68.9521069469229,4.42823864950633
"3","Idaho","POSE",23.1424588144237,4.42811103611511
"4","Idaho","PSSP",110.895216083221,5.09596899229245
"5","Montana","BOGR",50.0732914273485,4.47815804328302
"6","Montana","HECO",37.7698793181789,4.38899559866295
"7","Montana","PASM",156.565851154091,4.42330171776216
"8","Montana","POSE",44.0212278660274,5.17212472577921
"9","Arizona","BOER",5.7861048556515,3.94118405951724
"10","Arizona","BORO",110.937123910087,4.75124056260183
"11","NewMexico","BOER",26.1236185979342,4.35542543342913
"12","NewMexico","SPFL",16.4743190017571,4.61907124526128
"13","Kansas","ANGE",21.9782593102686,4.83058128801253
"14","Kansas","BOCU",31.3328654591851,4.66158765534973
"15","Kansas","BOHI",21.5949570584405,4.67737473727901
