quad,year,SP_ID,x,y,GenID
Q1,32,107,7.608050224,96.00162012,1
Q1,32,110,51.44002059,93.08716818,2
Q1,32,111,45.26498108,87.01418903,2
Q1,32,112,47.87372335,76.89553298,2
Q1,32,113,85.16777319,83.8493997,3
Q1,32,114,13.96861187,21.87777368,4
Q1,32,119,96.40983215,20.04538742,5
Q10,30,126,44.41697102,67.87409215,6
Q10,30,128,27.48953943,88.61204027,7
Q11,30,100,14.76290895,39.64888217,8
Q12,30,93,21.24197237,47.02972879,9
Q12,30,94,40.64043461,43.63421429,10
Q13,30,204,46.6276952,90.49444261,11
Q13,30,208,32.74265909,34.24890058,12
Q14,30,99,7.759231302,93.88801617,13
Q14,30,102,61.39767918,51.18988358,14
Q14,30,103,79.3448157,51.73340169,15
Q14,30,105,93.41397372,18.24552428,16
Q15,30,36,4.698525364,33.30686011,17
Q15,30,38,27.11815368,56.8398477,18
Q15,30,39,14.61027815,67.28290078,19
Q15,30,41,45.36627718,65.76851752,20
Q15,30,42,47.40247878,14.71711137,21
Q15,30,43,52.05977704,10.24715373,21
Q15,30,45,88.40340582,87.09758778,22
Q15,30,46,90.16475773,38.6011123,23
Q15,30,47,82.1187109,4.149443157,24
Q16,30,39,47.32328091,58.66760702,25
Q16,30,51,99.16373325,26.32187302,26
Q16,30,52,65.39463478,22.30258318,27
Q17,30,36,8.890152165,34.12193632,28
Q17,30,37,6.566973075,39.18829754,28
Q17,30,39,23.49140261,18.1323757,28
Q17,30,42,50.28539519,41.38872286,29
Q17,30,45,67.22981269,52.59334384,30
Q17,30,46,64.30098122,60.49521468,30
Q17,30,47,74.24417465,58.62827731,30
Q17,30,49,37.09953967,82.50121002,31
Q17,30,50,44.72662562,76.22966383,32
Q18,30,48,6.277477237,73.29875755,33
Q18,30,56,41.40753969,70.43674452,34
Q18,30,57,23.67921401,63.12710546,35
Q18,30,61,43.49266097,1.370263832,36
Q19,23,0,71.20185111,79.84035893,37
Q19,23,1,52.80969673,37.08239174,38
Q19,23,2,11.79316727,65.52115422,39
Q19,23,3,91.96137777,95.40070512,40
Q19,23,4,85.47610355,70.63797853,41
Q19,23,5,68.09175822,51.24788633,42
Q19,23,6,7.515991757,88.75427465,43
Q2,32,97,22.33131374,82.70967751,44
Q2,32,99,70.27539052,94.07599381,45
Q2,32,100,63.830762,61.90882536,46
Q2,32,102,97.01961279,11.30435706,47
Q20,23,31,92.48514991,48.89873327,48
Q20,23,37,40.81009009,55.67342275,49
Q20,23,76,38.13067616,49.39903711,50
Q20,23,77,41.5027207,75.6731387,51
Q20,23,78,50.54685508,68.885259,52
Q20,23,85,30.14603865,27.75020662,53
Q21,30,111,67.09804368,5.796233969,54
Q21,30,113,46.63628692,80.23809923,55
Q22,30,118,5.614010367,75.44744622,56
Q22,30,119,28.81533105,87.15601748,57
Q22,30,123,68.38297061,60.46444383,58
Q22,30,124,76.67394613,24.34571915,59
Q22,30,125,78.93776002,37.45308094,59
Q22,30,127,96.37752954,75.94854766,60
Q22,30,128,93.19794356,59.94613094,60
Q23,32,80,11.43759269,15.19713013,61
Q23,32,81,40.02086487,95.19492979,62
Q23,32,83,78.45369411,93.34534753,63
Q23,32,84,1.347726687,65.19277172,64
Q23,32,87,42.28292492,51.62536574,65
Q24,32,63,2.905677111,87.70949673,66
Q24,32,64,97.74099352,69.65709377,67
Q25,32,46,89.91254654,65.48399274,68
Q25,32,48,14.41817544,15.23362097,69
Q25,32,50,96.67354399,19.4856641,70
Q26,32,110,63.72113103,26.71254796,71
Q26,32,111,56.46928736,16.98082362,71
Q26,32,112,96.66783367,28.11240903,72
Q26,32,113,31.13132183,34.23413047,73
Q26,32,114,25.23998577,65.45698777,74
Q26,32,115,70.83776617,92.05541726,75
Q26,32,116,88.9468764,63.98747532,75
Q26,32,117,90.01437195,83.59343607,75
Q26,32,123,43.81015038,95.00114628,76
Q3,32,169,14.66374543,92.84231838,77
Q3,32,170,49.25511564,88.73435869,78
Q3,32,171,80.69619361,85.33941649,79
Q3,32,172,22.2412764,53.29750544,80
Q3,32,173,70.57313169,14.79731047,81
Q3,32,174,68.00623161,33.53661322,82
Q3,32,175,29.00936968,1.195185231,83
Q4,32,67,42.28736344,83.14409573,84
Q4,32,71,60.21861856,68.1213675,85
Q4,32,72,39.96089718,37.02128734,86
Q4,32,74,24.58439995,97.78887735,87
Q5,32,46,9.684397405,18.78882717,88
Q5,32,47,20.35959427,64.2382099,89
Q5,32,48,15.19479057,94.75441121,90
Q5,32,49,49.2373655,90.50824283,91
Q5,32,50,94.50134348,78.5730557,92
Q5,32,51,94.72363673,16.92146122,93
Q6,32,65,3.452401566,41.60330821,94
Q6,32,66,13.96515733,63.32506162,95
Q6,32,67,4.39801926,90.20436789,96
Q6,32,69,46.13400183,96.24017185,97
Q6,32,70,48.13952585,73.80660817,98
Q6,32,73,81.94815286,0.97772107,99
Q6,32,74,43.44341351,17.37743349,100
Q7,23,35,87.87641301,46.77296447,101
Q8,23,4,52.45092907,93.43703432,102
Q8,23,40,11.53862125,84.97759245,103
Q8,23,58,69.48864416,22.98797068,104
Q9,31,53,2.25829915,37.8981535,105
