"species","quad","year","genetID","allcov.0.2","allcov.2.4","allcov.4.6","allcov.6.8","allcov.8.10","allcov.10.12","allcov.12.14","allcov.14.16","allcov.16.18","allcov.18.20","allcov.20.25","allcov.25.30","allcov.30.35","allcov.35.40","allcov.40.45","allcov.45.50","allcov.50.60","allcov.60.70","allcov.70.80","allcov.80.90","allcov.90.100","allcov.100.110","allcov.110.120","allcov.120.130","allcov.130.140","allcov.140.150","allpts.0.2","allpts.2.4","allpts.4.6","allpts.6.8","allpts.8.10","allpts.10.12","allpts.12.14","allpts.14.16","allpts.16.18","allpts.18.20","allpts.20.25","allpts.25.30","allpts.30.35","allpts.35.40","allpts.40.45","allpts.45.50","allpts.50.60","allpts.60.70","allpts.70.80","allpts.80.90","allpts.90.100","allpts.100.110","allpts.110.120","allpts.120.130","allpts.130.140","allpts.140.150","propQ.0.2","propQ.2.4","propQ.4.6","propQ.6.8","propQ.8.10","propQ.10.12","propQ.12.14","propQ.14.16","propQ.16.18","propQ.18.20","propQ.20.25","propQ.25.30","propQ.30.35","propQ.35.40","propQ.40.45","propQ.45.50","propQ.50.60","propQ.60.70","propQ.70.80","propQ.80.90","propQ.90.100","propQ.100.110","propQ.110.120","propQ.120.130","propQ.130.140","propQ.140.150"
"ARTR","Q1",32,1,0,3.60136676590743,9.53686752073362,5.92345452414181,8.46003842498962,11.4242965078962,10.7088923193513,3.30759494279913,0,0.432931135373551,9.84371702896305,48.1887237970784,33.2405401718961,21.9932254098824,1.76172475562097,6.36544972447882,30.4976542734545,93.0830389504891,85.2068540513637,20.6384914012299,25.4917864355386,0,0.469907074844059,58.1607526163906,0.405851171599807,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,2,4,2,2,1,0,0,1,0.999996675395097,0.890347008723961,0.797964210699764,0.686843013954658,0.608666092868937,0.553129560654147,0.511999428704268,0.480446375256125,0.455534127354309,0.411550068571858,0.382918922491853,0.362841593340772,0.348001388116517,0.336593079874506,0.327553868976074,0.314145176038487,0.304680304209079,0.297645182440302,0.292211570204077,0.277387993800251,0.247647716419205,0.217043618248977,0.188179363494941,0.162429720455475,0.141494334262925
"ARTR","Q1",32,2,0,0,0.770581603971317,11.8672994342672,16.6915908140868,18.2362200528444,15.3852898654404,17.4251269631053,23.7143590881984,19.6405465503489,7.81216550479553,12.2611015913048,37.6735888129307,26.1324448944685,27.3256408839865,43.5576171671183,70.5603299697253,62.9464726445855,17.7062723000103,40.6671029542889,18.3694079085456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,2,3,2,1,3,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0.984487783988545,0.955647349292862,0.885593710780679,0.830030826670442,0.787194195668443,0.753685024576809,0.726932361671415,0.700824177517299,0.60487975365696,0.518788042882065,0.451721796855722,0.387695085866793,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"ARTR","Q1",32,3,0,0,1.11442678917534,0,0.46632290758367,1.49448699096026,1.79034898645639,3.52080233065675,1.66617263318445,0.577285147467311,1.67359125114675,15.2515112036369,2.40275951756968,3.77188352660889,14.6941764798631,40.3222843401767,106.324560457642,104.488492700681,127.732900271904,10.457466667429,49.4889733281822,1.50471347369808,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,2,2,4,2,1,0,0,0,0,0,1,1,1,1,1,1,1,0.98831364578178,0.937461851882716,0.875154444790642,0.739410976794983,0.648147579593753,0.584504873183228,0.537890569461525,0.502402205925176,0.474542815568112,0.433711084655925,0.405297914455345,0.38442374981049,0.353366920567235,0.305278976965847,0.260647513425722,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"ARTR","Q1",32,4,0,0,0,2.35683922522331,12.2345019225878,14.6287033146856,14.7171839402501,7.81275625205941,0.973318524520785,0.761452323883532,29.2015801680457,20.242737024494,37.4021308367297,15.5019870125676,42.494105529786,27.3127183225895,23.8101336834658,122.604192555716,41.8677232505749,68.1801122125595,2.55998949951703,3.24843054757184,0.832562857194148,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,7,5,0,1,0,0,0,0,1,1,1,1,1,1,0.999939648894436,0.973392532415247,0.938590149806467,0.90525160304309,0.810275682834265,0.710276915662042,0.63814540332835,0.584663539146641,0.543682047318601,0.511387190064079,0.463910566904098,0.430803901372249,0.404373943603292,0.362037283287645,0.309399660443772,0.262066424543341,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"ARTR","Q1",32,5,0,0,6.31470553057957,10.8867226921274,12.2927784590075,11.9709079146294,9.93424384023381,6.67583903004882,0.961313396207927,0.569793884197523,1.47671580045856,2.13088526393458,5.38969141976602,28.615284732101,3.14775366711936,28.2613424479928,63.0426642777468,50.2159879620517,20.9117272959479,88.1731607369995,83.1922148778606,36.4972377922633,18.0821879827486,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0,1,1,0,1,0,4,0,0,1,2,1,0,0,0,1,0.980641658200795,0.85681145861715,0.775814820265581,0.723565097219579,0.687598338288383,0.661460860631395,0.641651920821515,0.626139544936054,0.613670946380129,0.556552206378308,0.509058032462374,0.473090486200243,0.445426511362121,0.4236472685581,0.406119109022918,0.379740284194399,0.360893171185698,0.346776505433572,0.323431097372791,0.294835649000171,0.256490078713354,0.220451625315521,0.188380030821795,0.162429720455475,0.141494334262925
"ARTR","Q1",33,1,0,0,6.22688146023766,4.21238780472283,0.823831246767204,6.17040007059971,3.93225698461271,0.0756157492370235,10.5042199147637,21.5629139207491,75.2047013760537,45.4493118889705,34.9752633934858,29.1671765700669,0.682612120622309,2.70291725947823,9.78909625104302,163.106743207078,122.992026800458,29.0770622930822,116.795218082407,3.73814021548128,5.86345957665003,63.1967187080819,0.105897977314726,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,1,5,2,1,4,1,2,0,0,1,1,0.993401528166054,0.911677607833149,0.802692772114438,0.702317927823296,0.630930245461196,0.578199538146574,0.537877297164444,0.506142549058313,0.450379808040718,0.414298219439106,0.389115718984565,0.370571411867021,0.3563598202803,0.345127895784769,0.328515527101725,0.316826910406355,0.308160243646394,0.301479075369673,0.282019463768908,0.249971795710706,0.218049934271907,0.188336394448745,0.162429720455475,0.141494334262925
"ARTR","Q1",33,2,0,0,0.32195193816678,10.7739470236588,18.1237303331796,20.8349974409908,16.5534221004997,13.6565679841069,19.4269724803967,21.4636157897581,16.853916276815,35.0237424953181,60.3718057610205,17.4479159429327,36.368491077818,68.4760890072305,136.950286957637,115.67401273928,23.536428642376,98.5914635551378,25.9054953256419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,3,0,3,3,3,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0.993746914441883,0.968202508009471,0.899277576569441,0.842781875714065,0.798764764257541,0.764157132528718,0.736447238251558,0.711118968586111,0.611506051832496,0.52360459299574,0.455391616047596,0.388636559074621,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"ARTR","Q1",33,4,0,0.492858378405265,8.7473403551366,16.154832969078,24.005268572883,25.4028021994684,20.0437838378085,8.31081854944526,7.71204757560538,12.9369184110019,69.5733126038908,25.7304803489881,66.2600595013726,31.1204047345754,26.4705981405323,40.8301521371678,122.049447029817,91.9852488059455,49.4036473612736,101.868939071516,5.39645668793787,1.85943560011651,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,3,0,0,5,5,3,1,0,0,0,0,1,1,1,1,1,1,1,0.993307045220735,0.963997426130555,0.931972992498438,0.850042626858062,0.747351084686686,0.669543343875808,0.611660446146698,0.567254636364164,0.532249070019711,0.480793795576269,0.444932698570779,0.414181206061741,0.366446816269009,0.311320407574181,0.262582982166977,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"ARTR","Q1",33,5,0,0,0,0.549335069703159,0.13709956369214,10.781057594898,15.7449288693274,18.9542481410113,16.471793185704,7.41570891551001,15.2521468367048,29.4190936632244,32.3478223854943,11.2627271605189,34.9379384848351,23.5003984890787,118.75476333084,15.7623601617155,46.0496009877146,190.851893892434,146.720562823381,10.2060090343562,11.2353642818211,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,1,0,2,0,0,5,2,1,3,2,0,0,0,0,1,0.996863037325738,0.880779385404998,0.796130111157607,0.740613609993674,0.702153412540486,0.674112649454421,0.652821147579217,0.63612773126145,0.62269915851205,0.582209301507059,0.53354009906146,0.495202814074902,0.465276461489839,0.441536455995867,0.422344594128612,0.393354657987408,0.372581862790381,0.355203377405503,0.32834885078303,0.297727841772907,0.257809344254287,0.220779158161029,0.188380030821795,0.162429720455475,0.141494334262925
"ARTR","Q1",33,6,0,7.29684321801749,17.0988598512972,22.011290703476,28.2902555347,14.1873427459419,16.4953909214272,11.5986587893301,13.2737401887653,17.5015756995643,66.4893214142308,23.0492354850879,5.40227251278338,52.8111814116765,128.30915114178,86.6024163101753,23.8528849785371,92.5849254825301,59.5843992250477,2.68882724834418,49.7639696681374,17.4623103411151,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,1,0,0,1,5,4,2,3,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.952518135265541,0.895207607954377,0.816191644872439,0.739941893518943,0.680011381556345,0.632390031072519,0.562072816135038,0.51298519171045,0.454459659291556,0.382049708048341,0.317160834774585,0.263109299250868,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
