"","quad","year","SP_ID","Species","area","x","y","age","survives","dormancy","trackID","distEdgeMin","allEdge","ifTrueAge"
"1","q1",69,19,"Bouteloua curtipendula",114.7555,75.68971,42.79782,1,0,0,19,17.0754547119141,0,0
"2","q1",70,24,"Bouteloua curtipendula",88.8619,49.80508,16.70513,1,1,0,20,12.9800777435303,0,1
"3","q1",72,61,"Bouteloua curtipendula",56.77566,39.54239,22.2325,3,0,1,20,16.248420715332,0,1
"4","q1",72,67,"Bouteloua curtipendula",0.7156845,52.36762,21.03102,3,0,1,20,20.5271129608154,0,1
"5","q1",72,68,"Bouteloua curtipendula",0.7156893,50.24048,19.93854,3,0,1,20,19.4346218109131,0,1
"6","q1",72,72,"Bouteloua curtipendula",0.7156829,52.31901,18.31387,3,0,1,20,17.8099632263184,0,1
"7","q1",72,75,"Bouteloua curtipendula",0.7156861,48.84439,16.51279,3,0,1,20,16.0088787078857,0,1
"8","q1",72,77,"Bouteloua curtipendula",0.7156893,50.30921,15.92611,3,0,1,20,15.4221954345703,0,1
"9","q1",72,78,"Bouteloua curtipendula",0.7156797,48.04299,14.91333,3,0,1,20,14.4094228744507,0,1
"10","q10",55,122,"Bouteloua curtipendula",2.447021,99.03955,2.835661,1,1,0,122,0.299652099609375,1,0
"11","q10",56,107,"Bouteloua curtipendula",21.41671,97.34186,5.919102,2,1,0,122,0.23956298828125,0,0
"12","q10",57,44,"Bouteloua curtipendula",33.51031,60.18707,68.28072,1,0,0,123,29.4148178100586,0,1
"13","q10",57,114,"Bouteloua curtipendula",47.35843,94.18402,2.834121,3,1,0,122,0.154373168945312,0,0
"14","q10",58,91,"Bouteloua curtipendula",126.2436,94.88388,9.202596,4,1,0,122,0.275924682617188,0,0
"15","q10",59,72,"Bouteloua curtipendula",193.4852,90.4122,4.707131,5,1,0,122,0.084920346736908,0,0
"16","q10",59,74,"Bouteloua curtipendula",53.0854,23.67114,1.833317,1,1,0,124,-0.0913123264908791,0,1
"17","q10",60,55,"Bouteloua curtipendula",324.7629,90.48831,11.76752,6,1,0,122,-0.610061645507812,0,0
"18","q10",60,62,"Bouteloua curtipendula",4.323274,57.41593,0.9953443,1,1,0,125,0.152591720223427,1,1
"19","q10",61,78,"Bouteloua curtipendula",282.3045,90.56407,13.16092,7,1,0,122,0.933341979980469,0,0
"20","q10",61,84,"Bouteloua curtipendula",94.86697,64.02088,4.076918,2,1,0,125,1.8753616809845,0,1
"21","q10",61,86,"Bouteloua curtipendula",105.4528,15.9498,3.477498,3,0,1,124,0.227063655853271,0,1
"22","q10",62,1,"Bouteloua curtipendula",5.65326,15.76619,99.38989,1,0,0,126,-0.661262512207031,1,1
"23","q10",62,95,"Bouteloua curtipendula",151.7934,93.97202,15.45051,8,1,0,122,0.0209732055664062,0,0
"24","q10",62,116,"Bouteloua curtipendula",19.01335,64.89735,2.871801,3,1,0,125,0.274261176586151,1,1
"25","q10",62,117,"Bouteloua curtipendula",11.86398,57.97377,2.681739,3,0,0,125,0.261860400438309,1,1
