"","quad","year","trackID","area.t1","area.t0","age","allEdge","distEdgeMin","Group","Grazing"
"1","q10",60,125,94.86697,4.323274,1,1,0.152591720223427,"et1","No"
"2","q10",61,125,62.64627,94.86697,2,0,1.8753616809845,"et1","No"
"3","q10",62,125,111.7647,62.64627,3,1,-0.110833711922169,"et1","No"
"4","q10",65,125,198.40296,521.8981,6,0,-0.278335243463516,"et1","No"
"5","q10",66,125,39.4749,198.40296,7,0,-0.137325748801231,"et1","No"
"6","q11",61,68,37.5125,30.74128,1,0,3.50232338905334,"et1","No"
"7","q11",62,68,210.64644,37.5125,2,0,0.5,"et1","No"
"8","q11",63,68,590.972,210.64644,3,0,-0.0270307697355747,"et1","No"
"9","q11",64,68,704.1645,590.972,4,0,-0.183018326759338,"et1","No"
"10","q11",65,68,981.0164,704.1645,5,0,-0.118207983672619,"et1","No"
"11","q11",66,68,203.19256,981.0164,6,0,-1.38413500785828,"et1","No"
"12","q11",67,68,576.736864,203.19256,7,0,1.54846286773682,"et1","No"
"13","q11",68,68,1182.547,576.736864,8,0,-0.0438466370105743,"et1","No"
"14","q11",69,68,1515.197,1182.547,9,0,-0.751672744750977,"et1","No"
"15","q11",70,68,1057.4687,1515.197,10,0,-0.733954250812531,"et1","No"
"16","q11",70,76,123.2056,24.12039,1,0,35.5486259460449,"et1","No"
"17","q11",71,68,1209.7488,1057.4687,11,0,-0.868181586265564,"et1","No"
"18","q11",71,76,74.88098,123.2056,2,0,34.5439605712891,"et1","No"
"19","q13",50,8,64.2037,28.051732,3,0,-0.0192255321890116,"et1","No"
"20","q13",51,8,81.47709,64.2037,4,0,-0.202638208866119,"et1","No"
"21","q13",57,17,39.72998,31.75889,1,0,-0.083709716796875,"et1","No"
"22","q13",57,18,116.2111,58.12889,1,0,-0.90167236328125,"et1","No"
"23","q13",58,18,281.6062,116.2111,2,0,-0.262947082519531,"et1","No"
"24","q13",59,18,335.009725,281.6062,3,0,-0.71527099609375,"et1","No"
"25","q13",59,19,29.80854,15.28438,1,0,30.7273864746094,"et1","No"
"26","q13",59,20,8.438232,15.70833,1,0,26.9673118591309,"et1","No"
"27","q13",59,24,111.10348,4.202946,1,1,0.961507499217987,"et1","No"
"28","q13",59,25,58.86153,30.70884,1,0,2.08973932266235,"et1","No"
"29","q13",60,18,305.9387,335.009725,4,0,-0.0004425048828125,"et1","No"
"30","q13",60,19,62.88573,29.80854,2,0,25.9033889770508,"et1","No"
"31","q13",60,20,55.69408,8.438232,2,0,21.480073928833,"et1","No"
"32","q13",60,24,162.1482,111.10348,2,0,0.0109151564538479,"et1","No"
"33","q13",60,25,213.8424,58.86153,2,0,6.10255575180054,"et1","No"
"34","q13",60,27,10.07128,3.941413,1,1,-0.112374253571033,"et1","No"
"35","q13",61,18,725.7,305.9387,5,0,0.034027099609375,"et1","No"
"36","q13",61,24,183.358,162.1482,3,0,0.562579274177551,"et1","No"
"37","q13",61,25,166.6637,213.8424,3,0,2.8442850112915,"et1","No"
"38","q13",61,27,91.03925,10.07128,2,1,-0.110848978161812,"et1","No"
"39","q13",62,18,608.2377,725.7,6,0,-0.0320968627929688,"et1","No"
"40","q13",62,24,176.42213,183.358,4,0,-0.574340760707855,"et1","No"
"41","q13",62,25,276.5674,166.6637,4,0,5.54744243621826,"et1","No"
"42","q13",63,18,348.65449,608.2377,7,0,-0.774887084960938,"et1","No"
"43","q13",63,24,443.325,176.42213,5,0,-0.626024723052979,"et1","No"
"44","q13",63,25,195.12559,276.5674,5,0,-0.174750655889511,"et1","No"
"45","q13",63,31,78.3735,73.20643,1,0,0.723442077636719,"et1","No"
"46","q13",64,18,1381.30351,348.65449,8,0,-0.277046203613281,"et1","No"
"47","q13",64,24,154.2777,443.325,6,0,-0.316855221986771,"et1","No"
"48","q13",64,25,966.1752,195.12559,6,0,3.22291898727417,"et1","No"
"49","q13",64,31,512.6676,78.3735,2,0,0.196525573730469,"et1","No"
"50","q13",65,18,1636.90084,1381.30351,9,0,-0.695327758789062,"et1","No"
"51","q13",65,24,832.1131,154.2777,7,0,1.16306924819946,"et1","No"
"52","q13",65,25,29.47199,966.1752,7,0,-0.0892391353845596,"et1","No"
"53","q13",65,31,995.1269,512.6676,3,0,0.0809326171875,"et1","No"
"54","q13",66,18,699.6047,1636.90084,10,0,-0.282066345214844,"et1","No"
"55","q13",66,24,184.12513,832.1131,8,0,-0.280614614486694,"et1","No"
"56","q13",66,31,557.38376,995.1269,4,0,0.00772857666015625,"et1","No"
"57","q13",67,18,945.13875,699.6047,11,0,-0.519783020019531,"et1","No"
"58","q13",67,24,589.615501,184.12513,9,0,-0.632310688495636,"et1","No"
"59","q13",67,31,320.3806,557.38376,5,0,-0.560302734375,"et1","No"
"60","q13",71,18,1246.0728,608.9821,15,0,-0.326188921928406,"et1","No"
"61","q13",71,24,870.6046,264.4641,13,0,0.0123484702780843,"et1","No"
"62","q13",71,31,1034.75,63.26029,9,0,16.7047882080078,"et1","No"
"63","q17",36,22,42.56246,15.79306,1,0,13.2509613037109,"et2","No"
"64","q17",36,24,46.82545,17.08811,1,0,3.60780334472656,"et2","No"
"65","q17",36,26,15.00782,16.2678,1,1,0.00749969482421875,"et2","No"
"66","q17",36,34,77.42319,23.684,1,0,14.9274978637695,"et2","No"
"67","q17",36,37,30.62338,22.72694,1,0,4.05088043212891,"et2","No"
"68","q17",36,46,21.55166,18.75656,1,0,5.17619323730469,"et2","No"
"69","q17",36,48,30.44656,21.68215,1,1,0.0581741333007812,"et2","No"
