"quad","year","totCover"
"q34",32,383.654282
"q35",32,76.4654085
"q36",32,86.660857
"q16",34,128.0696
"q17",34,1630.961
"q19",34,94.734407
"q20",34,57.862079
"q21",34,143.725233
"q22",34,120.128535
"q23",34,267.416673
"q24",34,195.401998
"q25",34,180.690206
"q26",34,59.463296
"q27",34,510.462056
"q28",34,872.520794
"q32",34,202.807006
"q33",34,7270.088
"q34",34,6108.9573
"q35",34,9009.818
"q36",34,5330.668531
"q45",34,981.448929
"q15",35,38.23715
"q16",35,225.394638
"q17",35,1737.844
"q19",35,214.10717
"q20",35,534.020089
"q21",35,95.6811629
"q22",35,28.04146
"q23",35,88.733913
"q24",35,105.004491
"q25",35,357.499056
"q26",35,327.939999
"q27",35,1014.431453
"q28",35,501.5482884
"q29",35,1564.211064
"q30",35,1019.19006
"q31",35,332.3428409
"q32",35,585.063691
"q33",35,1988.562609
"q34",35,1131.547609
"q35",35,6813.125
"q36",35,471.673028
"q42",35,424.970778
"q16",36,189.7415
"q17",36,653.38465
"q20",36,149.945374
"q21",36,418.920022
"q22",36,158.7098146
"q23",36,443.752763
"q24",36,518.278346
"q25",36,585.997337
"q26",36,471.382977
"q27",36,794.095531
"q29",36,987.715675
"q30",36,780.3873933
"q31",36,1067.4217102
"q32",36,659.882333
"q33",36,659.654087
"q34",36,217.366843
"q35",36,885.8982218
"q36",36,66.378496
"q42",36,511.621738
"q17",37,264.44052
"q19",37,167.628159
"q20",37,264.61084
"q21",37,1043.271142
"q22",37,435.525857
"q23",37,700.661396
"q24",37,1106.153864
"q25",37,928.1950465
"q27",37,1242.3033239
"q28",37,1882.544899
"q29",37,1962.725917
"q30",37,1646.808028
"q31",37,1406.578328
"q32",37,1354.343384
"q33",37,901.65193
"q34",37,561.824041
"q35",37,429.08703
"q36",37,3.30782
"q42",37,1207.424167
"q16",38,131.81525
"q17",38,356.416594
"q19",38,129.634359
"q20",38,344.85361
"q21",38,1174.47992
"q22",38,710.1753
"q23",38,933.581034
"q24",38,1775.56964
"q25",38,1888.209863
"q26",38,750.260002
"q27",38,1199.680024
"q28",38,2326.37938
"q29",38,2816.7002
"q30",38,1967.620015
"q31",38,1979.858729
"q32",38,1845.484691
"q33",38,659.592873
"q34",38,84.021803
"q35",38,141.765991
"q42",38,1603.128775
"q16",39,63.28878
"q17",39,398.98996
"q19",39,308.50111
"q20",39,560.027594
"q21",39,999.075319
"q22",39,1008.3240825
"q23",39,1355.634988
"q24",39,1966.226477
"q25",39,1778.230272
"q26",39,1592.132134
"q27",39,2010.9458
"q28",39,3853.664397
"q29",39,1981.71347
"q30",39,1252.3045512
"q31",39,1037.1174872
"q32",39,1759.172337
"q33",39,811.510633
"q34",39,190.582929
"q35",39,290.480878
"q42",39,1269.526122
"q19",40,48.572603
"q20",40,21.247782
"q21",40,597.269099
"q22",40,713.628576
"q23",40,999.580543
"q24",40,1540.645849
"q25",40,95.742645
"q26",40,145.027099
"q27",40,789.201043
"q28",40,1919.278039
"q29",40,604.366139
"q30",40,202.1023661
"q31",40,61.881207
"q32",40,587.961702
"q35",40,6.482046
"q42",40,142.783697
"q18",41,4.370442
"q19",41,240.50952
"q20",41,153.876475
"q21",41,2001.968965
"q22",41,1676.7866788
"q23",41,2095.0821797
"q24",41,2491.209708
"q25",41,560.2039595
"q26",41,637.982454
"q27",41,2291.6829051
"q28",41,3376.0353869
"q29",41,945.9167997
"q30",41,730.883847
"q31",41,71.370839
"q32",41,1242.770004
"q33",41,114.77364
"q35",41,32.67263
"q42",41,363.695009
"q19",42,490.3211
"q20",42,850.2051
"q21",42,2315.338156
"q22",42,2090.8210503
"q23",42,2656.919444
"q24",42,3427.723315
"q25",42,1853.83972
"q26",42,1481.3442
"q27",42,3032.574032
"q28",42,4734.673639
"q29",42,2008.26368
"q30",42,675.7675671
"q31",42,295.1389
"q32",42,1070.65883
"q33",42,222.84211
"q35",42,220.3177
"q42",42,476.61472
"q19",43,623.4556
"q20",43,792.6113
"q21",43,2729.8994714
"q22",43,1802.6678768
"q23",43,2412.630843
"q24",43,3610.5479
"q25",43,1660.890863
"q26",43,1729.14541
"q27",43,3826.9211247
"q28",43,5909.723715
"q29",43,2381.394462
"q30",43,1629.91935
"q31",43,594.239425
"q32",43,1577.072508
"q33",43,86.744999
"q35",43,171.27128
"q36",43,3.533495
"q42",43,338.875658
"q19",44,530.072
"q20",44,1002.62151
"q21",44,3153.395208
"q22",44,3105.899712
"q23",44,3195.034221
"q24",44,4361.641731
"q25",44,1871.22907
"q26",44,1426.37812
"q27",44,5248.19737
"q28",44,7478.52142
"q29",44,1700.407456
"q30",44,630.15877
"q31",44,895.402986
"q32",44,1070.345137
"q33",44,151.774744
"q35",44,214.02134
"q13",45,106.157
"q19",45,449.044284
"q20",45,974.64896
"q21",45,1813.431219
"q22",45,1601.600601
"q23",45,1734.87063
"q24",45,2855.384799
"q25",45,1855.818722
"q26",45,2562.5638826
"q27",45,1601.7269192
"q28",45,6912.463637
"q29",45,2256.548956
"q30",45,926.18798
"q31",45,680.396309
"q32",45,1189.228144
"q33",45,201.91944
"q35",45,125.279323
"q42",45,1239.903571
"q19",46,518.33655
"q20",46,839.55101
"q21",46,1731.744276
"q22",46,1430.092845
"q23",46,1288.126404
"q24",46,2211.674951
"q25",46,1886.92433
"q26",46,2126.999584
"q27",46,1062.14578
"q28",46,7175.705253
"q29",46,2268.27815
"q30",46,492.502099
"q31",46,834.091497
"q32",46,1505.272602
"q33",46,190.98204
"q35",46,245.2074
"q13",47,291.63768
"q19",47,521.7868
"q20",47,1139.88707
"q21",47,1493.184054
"q22",47,544.646798
"q23",47,339.51367
"q24",47,1781.533112
"q25",47,1194.716348
"q26",47,1092.213489
"q27",47,1488.41102
"q28",47,2304.92392
"q29",47,165.75519
"q32",47,633.0467561
"q33",47,112.90955
"q35",47,38.33497
"q13",48,179.278451
"q19",48,813.9002
"q20",48,466.41891
"q21",48,1830.735668
"q22",48,821.271981
"q23",48,467.890481
"q24",48,1420.961959
"q25",48,2128.187614
"q26",48,1853.420747
"q27",48,2894.442568
"q28",48,6400.237
"q29",48,347.109722
"q30",48,79.64241
"q31",48,837.404983
"q32",48,735.542868
"q33",48,562.812941
"q34",48,15.054793
"q35",48,196.311602
"q13",49,122.603465
"q19",49,418.216802
"q20",49,1202.726284
"q21",49,590.9004309
"q22",49,201.659481
"q23",49,154.115423
"q24",49,683.435401
"q25",49,523.917298
"q26",49,600.412675
"q27",49,325.74968
"q28",49,535.940798
"q29",49,360.55811
"q30",49,22.950859
"q31",49,773.7300341
"q32",49,428.003362
"q33",49,600.4197201
"q34",49,26.20076
"q35",49,221.046885
"q13",50,220.278665
"q19",50,495.277997
"q20",50,380.617285
"q21",50,846.5341068
"q22",50,300.6709658
"q23",50,157.8811298
"q24",50,944.558994
"q25",50,887.715728
"q26",50,635.444827
"q27",50,317.5361251
"q28",50,308.574325
"q29",50,588.532098
"q30",50,82.98778
"q31",50,420.896212
"q32",50,496.250932
"q33",50,1170.606102
"q34",50,60.548019
"q35",50,215.592906
"q13",51,641.363003
"q16",51,13.394252
"q19",51,149.699627
"q20",51,3790.93605
"q21",51,1174.392844
"q22",51,274.0086583
"q23",51,292.4656133
"q24",51,1336.2211164
"q25",51,982.057286
"q26",51,667.588402
"q27",51,267.833978
"q28",51,855.705661
"q29",51,632.4129852
"q30",51,158.738894
"q31",51,726.2403229
"q32",51,748.6709422
"q33",51,1148.623111
"q34",51,81.274005
"q35",51,366.083122
"q9",51,57.47338
"q13",52,563.95222
"q20",52,2785.430424
"q21",52,608.540012
"q22",52,41.09256
"q23",52,45.25211
"q24",52,152.8213406
"q25",52,913.162777
"q27",52,50.102621
"q28",52,30.12227
"q29",52,1092.944707
"q30",52,407.868007
"q31",52,390.9698
"q32",52,630.064681
"q33",52,982.29708
"q35",52,386.433942
"q9",52,76.98586
"q13",53,474.144339
"q19",53,343.33121
"q20",53,1327.081471
"q21",53,999.173627
"q22",53,94.429974
"q23",53,31.63975
"q24",53,379.774186
"q25",53,908.423438
"q26",53,455.141462
"q27",53,240.00914
"q28",53,314.309428
"q29",53,1147.73764
"q30",53,279.116242
"q31",53,492.872817
"q32",53,744.659013
"q33",53,1766.4802
"q34",53,52.733587
"q35",53,799.933316
"q9",53,52.42186
"q13",54,275.208914
"q16",54,44.006
"q19",54,648.143283
"q20",54,942.357808
"q21",54,1060.4037079
"q22",54,116.087347
"q23",54,65.528851
"q24",54,603.250077
"q25",54,1012.8628148
"q26",54,683.344146
"q27",54,54.230229
"q28",54,640.898658
"q29",54,986.907971
"q30",54,1128.434814
"q31",54,957.9033956
"q32",54,1189.311204
"q33",54,2311.9723307
"q34",54,163.192155
"q35",54,976.575224
"q9",54,22.276051
"q10",55,2.447021
"q13",55,463.288169
"q16",55,34.50817
"q19",55,928.2675
"q20",55,1547.348862
"q21",55,601.445286
"q22",55,69.099982
"q23",55,201.2317544
"q24",55,418.970453
"q25",55,1054.24586
"q26",55,661.549979
"q27",55,67.827153
"q28",55,121.009974
"q29",55,491.2725976
"q30",55,1130.271308
"q31",55,2801.510835
"q32",55,954.480825
"q33",55,1619.090316
"q34",55,177.771951
"q35",55,1027.113487
"q9",55,124.40185
"q10",56,21.41671
"q13",56,108.76848
"q19",56,495.8325
"q20",56,602.446052
"q21",56,170.871015
"q22",56,22.817856
"q23",56,12.114315
"q24",56,20.6233249
"q25",56,391.315626
"q26",56,858.227299
"q27",56,311.3763
"q28",56,407.538964
"q29",56,227.519029
"q30",56,503.157578
"q31",56,264.3100458
"q32",56,446.693318
"q33",56,1568.0630633
"q34",56,63.7510626
"q35",56,598.7854309
"q9",56,90.78481
"q10",57,80.86874
"q13",57,89.88778
"q19",57,537.3
"q20",57,690.9847
"q21",57,619.795253
"q22",57,42.491944
"q23",57,77.75927
"q24",57,121.511628
"q25",57,301.167737
"q26",57,388.27882
"q27",57,122.54497
"q28",57,712.591212
"q29",57,457.83596
"q3",57,109.8682
"q30",57,968.154302
"q31",57,228.629453
"q32",57,125.734743
"q33",57,993.920593
"q34",57,265.9387
"q35",57,815.0926
"q9",57,148.40998
"q10",58,126.2436
"q13",58,737.32737
"q19",58,349.754999
"q20",58,2031.4276
"q21",58,479.544775
"q22",58,36.746276
"q23",58,43.57958
"q24",58,182.449148
"q25",58,302.07226
"q26",58,319.181449
"q27",58,179.122505
"q28",58,538.044211
"q29",58,427.307632
"q3",58,119.7269
"q30",58,277.377795
"q31",58,718.636942
"q32",58,188.8418
"q33",58,3041.447721
"q34",58,24.317506
"q35",58,1179.86437
"q10",59,246.5706
"q13",59,1050.1343684
"q17",59,12.417025
"q18",59,28.06556
"q19",59,1200.78845
"q20",59,2494.565663
"q21",59,878.580544
"q22",59,35.304586
"q23",59,37.07917
"q24",59,204.7594793
"q25",59,484.949326
"q26",59,311.92562
"q29",59,699.8636926
"q3",59,277.84167
"q30",59,181.3817563
"q31",59,838.6524558
"q32",59,435.958283
"q33",59,2011.6842741
"q34",59,6.826763
"q35",59,819.2052363
"q9",59,422.5953806
"q10",60,329.086174
"q11",60,57.74926
"q13",60,1824.620732
"q18",60,67.06061
"q19",60,1447.22055
"q20",60,2547.698327
"q21",60,180.8949124
"q22",60,10.484304
"q23",60,18.2406
"q24",60,51.247718
"q25",60,544.06364
"q26",60,266.09926
"q28",60,178.7127
"q29",60,626.08959
"q3",60,548.32804
"q30",60,248.99914
"q31",60,1177.516114
"q32",60,1461.19726
"q33",60,2024.05768
"q34",60,179.73286
"q35",60,646.68626
"q9",60,440.933691
"q10",61,482.62427
"q11",61,31.4307746
"q13",61,2122.824801
"q17",61,115.03101
"q18",61,49.1025
"q19",61,1544.014999
"q20",61,3023.37039
"q21",61,512.024632
"q22",61,20.97465
"q23",61,30.73471
"q24",61,246.706453
"q25",61,174.960002
"q26",61,249.654479
"q27",61,36.783503
"q28",61,728.147321
"q29",61,1004.79723
"q3",61,1109.3269
"q30",61,843.584084
"q31",61,474.91077
"q32",61,340.525526
"q33",61,1217.197947
"q34",61,266.170396
"q35",61,1221.48224
"q9",61,1244.99651
"q10",62,220.09293
"q11",62,39.9725
"q13",62,2658.8912
"q17",62,140.654942
"q18",62,145.534071
"q19",62,708.07499
"q20",62,5610.6620439
"q21",62,848.593933
"q24",62,178.58179
"q25",62,560.737717
"q26",62,35.962744
"q3",62,993.754
"q30",62,108.0243029
"q31",62,686.0531626
"q32",62,625.430331
"q33",62,1632.329233
"q34",62,254.631083
"q35",62,563.6542388
"q9",62,1650.229609
"q10",63,114.605669
"q11",63,225.769655
"q13",63,1963.930024
"q16",63,45.62127
"q17",63,413.0711
"q18",63,483.2668
"q19",63,1328.18634
"q20",63,3993.43703
"q21",63,75.6083315
"q25",63,233.906421
"q26",63,26.22662
"q29",63,321.099528
"q3",63,1377.01447
"q30",63,707.589866
"q31",63,648.99744
"q32",63,1.998018
"q33",63,1643.259765
"q34",63,21.83147
"q35",63,427.467492
"q51",63,147.75896
"q9",63,707.3909362
"q11",64,590.972
"q13",64,2035.23036
"q16",64,378.35514
"q17",64,861.76513
"q18",64,484.27251
"q20",64,3342.32397
"q21",64,100.3149811
"q22",64,9.11238
"q23",64,7.3869727
"q24",64,5.24214
"q25",64,285.06269
"q26",64,153.93406
"q27",64,34.61102
"q28",64,43.22717
"q29",64,172.122553
"q3",64,1777.20172
"q30",64,392.935275
"q31",64,555.651245
"q32",64,121.708001
"q33",64,1198.50032
"q34",64,71.77393
"q35",64,1145.1952
"q36",64,1397.7234
"q9",64,1735.21558
"q10",65,692.368427
"q11",65,704.1645
"q13",65,4975.09744
"q15",65,71.2234
"q16",65,625.2544
"q17",65,1728.8687
"q18",65,383.0475
"q19",65,3820.0433
"q20",65,4452.58859
"q21",65,893.468635
"q22",65,19.772346
"q23",65,62.256144
"q24",65,108.315695
"q25",65,207.592527
"q26",65,11.13871
"q27",65,141.218269
"q28",65,115.595239
"q29",65,966.2886
"q3",65,979.4900592
"q30",65,1679.171037
"q31",65,954.505366
"q32",65,820.383963
"q33",65,941.138555
"q34",65,315.104909
"q35",65,518.3428182
"q36",65,77.80182
"q8",65,45.58974
"q9",65,2190.9675
"q10",66,293.12859
"q11",66,981.0164
"q13",66,5485.892012
"q15",66,1.3438073
"q16",66,624.29812
"q17",66,1162.1633631
"q18",66,812.065
"q19",66,4314.8259
"q20",66,1946.869007
"q21",66,265.2586379
"q22",66,5.333591
"q23",66,73.1321554
"q24",66,58.1540005
"q25",66,34.9200263
"q26",66,490.1051715
"q27",66,425.203143
"q28",66,386.46229
"q29",66,433.6858929
"q3",66,3826.636567
"q30",66,53.8934087
"q31",66,250.0510135
"q32",66,122.8742253
"q33",66,176.107247
"q34",66,80.2938515
"q35",66,558.706259
"q36",66,52.49621
"q7",66,31.74616
"q9",66,2330.39729
"q10",67,39.4749
"q11",67,203.19256
"q13",67,2330.74665
"q16",67,384.42555
"q17",67,771.87932
"q18",67,1018.57
"q19",67,571.38337
"q20",67,1858.603895
"q21",67,320.41266
"q22",67,19.78655
"q23",67,64.423259
"q24",67,154.258089
"q28",67,119.11701
"q29",67,340.85671
"q3",67,1001.40392
"q31",67,136.974869
"q33",67,283.83488
"q34",67,50.6031
"q36",67,48.57333
"q9",67,911.208667
"q10",68,1531.58196
"q11",68,811.918772
"q13",68,3944.565255
"q15",68,134.08205
"q16",68,839.20778
"q17",68,1824.68998
"q18",68,866.745
"q19",68,1058.64514
"q20",68,2511.746001
"q21",68,332.660531
"q22",68,22.15917
"q23",68,239.229571
"q24",68,93.9549625
"q29",68,84.9739
"q3",68,1628.01186
"q30",68,11.89667
"q32",68,17.940482
"q7",68,127.0496
"q9",68,2095.586088
"q1",69,114.7555
"q10",69,284.45142
"q11",69,1213.906
"q15",69,76.35998
"q16",69,1509.08163
"q17",69,2153.5117
"q26",69,104.837844
"q29",69,44.14141
"q3",69,2469.505
"q30",69,449.011107
"q31",69,240.89617
"q33",69,485.08709
"q34",69,95.286013
"q36",69,1109.41058
"q8",69,304.291
"q9",69,4053.12636
"q1",70,88.8619
"q10",70,381.55313
"q11",70,1539.31739
"q15",70,205.51882
"q17",70,2273.16841
"q18",70,1396.953
"q19",70,1852.86436
"q21",70,243.406514
"q23",70,121.896611
"q24",70,50.137746
"q25",70,38.990146
"q26",70,73.8574
"q3",70,7761.963
"q30",70,187.805631
"q31",70,30.857759
"q32",70,17.24463
"q33",70,31.40063
"q34",70,35.18903
"q36",70,1134.3
"q7",70,244.05487
"q8",70,380.47101
"q9",70,3082.322906
"q10",71,413.4373
"q11",71,1180.6743
"q13",71,1430.25119
"q15",71,265.9222
"q16",71,417.4275
"q17",71,2766.3541
"q18",71,513.48999
"q19",71,2301.13134
"q20",71,2865.061513
"q25",71,272.46948
"q26",71,161.852213
"q29",71,40.10522
"q3",71,1387.32276
"q30",71,65.998154
"q31",71,85.77665
"q32",71,6.098817
"q33",71,137.517757
"q36",71,1706.606764
"q46",71,77.49267
"q8",71,155.45404
"q9",71,2225.193
"q1",72,61.0697718
"q10",72,1.7414647
"q11",72,1309.01883
"q12",72,501.48547
"q13",72,5038.3507
"q15",72,93.000847
"q16",72,79.59438
"q17",72,1150.90001
"q18",72,879.36252
"q19",72,1828.277782
"q20",72,3062.391518
"q21",72,158.5554806
"q22",72,7.9770906
"q23",72,65.0255221
"q24",72,177.3275348
"q25",72,2.1612441
"q26",72,64.8411547
"q27",72,8.6712713
"q28",72,407.1457717
"q3",72,1757.6305444
"q31",72,60.11023
"q33",72,1.4142456
"q36",72,315.41054
"q46",72,74.96918
"q7",72,257.9718641
"q8",72,90.71859
"q9",72,2249.2296206
