"","quad","year","trackID","area","survives","age","distEdgeMin","allEdge","Group","Grazing"
"54","q13",52,8,81.47709,0,5,-0.0696844831109047,0,"et1","No"
"55","q13",52,14,5.631529,0,1,10.0736894607544,0,"et1","No"
"56","q13",53,16,92.19143,0,1,0.129689648747444,0,"et1","No"
"57","q13",53,15,19.39226,0,1,22.7050704956055,0,"et1","No"
"58","q13",57,18,58.12889,1,1,-0.90167236328125,0,"et1","No"
"59","q13",57,17,31.75889,1,1,-0.083709716796875,0,"et1","No"
"60","q13",58,18,116.2111,1,2,-0.262947082519531,0,"et1","No"
"61","q13",58,17,39.72998,0,2,-0.0769195556640625,1,"et1","No"
"62","q13",59,25,30.70884,1,1,2.08973932266235,0,"et1","No"
"63","q13",59,19,15.28438,1,1,30.7273864746094,0,"et1","No"
"64","q13",59,24,4.202946,1,1,0.961507499217987,1,"et1","No"
"65","q13",59,21,18.20982,0,1,44.5076370239258,0,"et1","No"
"66","q13",59,22,5.360665,0,1,16.8298511505127,0,"et1","No"
"67","q13",59,20,15.70833,1,1,26.9673118591309,0,"et1","No"
"68","q13",59,23,0.7288774,0,1,10.6541328430176,0,"et1","No"
"69","q13",59,18,281.6062,1,3,-0.71527099609375,0,"et1","No"
"70","q13",60,27,3.941413,1,1,-0.112374253571033,1,"et1","No"
"71","q13",60,19,29.80854,1,2,25.9033889770508,0,"et1","No"
"72","q13",60,18,335.009725,1,4,-0.0004425048828125,0,"et1","No"
"73","q13",60,26,24.05227,0,1,15.0245132446289,0,"et1","No"
"74","q13",60,25,58.86153,1,2,6.10255575180054,0,"et1","No"
"75","q13",60,20,8.438232,1,2,21.480073928833,0,"et1","No"
"76","q13",60,24,111.10348,1,2,0.0109151564538479,0,"et1","No"
"77","q13",61,25,213.8424,1,3,2.8442850112915,0,"et1","No"
"78","q13",61,18,305.9387,1,5,0.034027099609375,0,"et1","No"
"79","q13",61,29,1.139849,0,1,0.612060546875,1,"et1","No"
"80","q13",61,24,162.1482,1,3,0.562579274177551,0,"et1","No"
"81","q13",61,27,10.07128,1,2,-0.110848978161812,1,"et1","No"
"82","q13",61,19,62.88573,0,3,26.0972518920898,0,"et1","No"
"83","q13",61,20,55.69408,0,3,24.6041812896729,0,"et1","No"
"84","q13",61,28,55.80754,0,1,20.3395309448242,0,"et1","No"
"85","q13",62,30,6.720856,0,1,0.56179666519165,1,"et1","No"
"86","q13",62,18,725.7,1,6,-0.0320968627929688,0,"et1","No"
"87","q13",62,27,91.03925,0,3,0.371391117572784,0,"et1","No"
"88","q13",62,25,166.6637,1,4,5.54744243621826,0,"et1","No"
"89","q13",62,24,183.358,1,4,-0.574340760707855,0,"et1","No"
"90","q13",63,31,73.20643,1,1,0.723442077636719,0,"et1","No"
"91","q13",63,24,176.42213,1,5,-0.626024723052979,0,"et1","No"
"92","q13",63,32,6.325064,0,1,18.1108779907227,0,"et1","No"
"93","q13",63,18,608.2377,1,7,-0.774887084960938,0,"et1","No"
"94","q13",63,25,276.5674,1,5,-0.174750655889511,0,"et1","No"
"95","q13",64,31,78.3735,1,2,0.196525573730469,0,"et1","No"
"96","q13",64,33,18.99476,0,1,29.3328399658203,0,"et1","No"
"97","q13",64,34,19.43794,0,1,24.2129745483398,0,"et1","No"
"98","q13",64,18,348.65449,1,8,-0.277046203613281,0,"et1","No"
"99","q13",64,25,195.12559,1,6,3.22291898727417,0,"et1","No"
"100","q13",64,24,443.325,1,6,-0.316855221986771,0,"et1","No"
"101","q13",65,35,80.70189,0,1,39.9267311096191,0,"et1","No"
"102","q13",65,25,966.1752,1,7,-0.0892391353845596,0,"et1","No"
"103","q13",65,31,512.6676,1,3,0.0809326171875,0,"et1","No"
"104","q13",65,24,154.2777,1,7,1.16306924819946,0,"et1","No"
"105","q13",65,18,1381.30351,1,9,-0.695327758789062,0,"et1","No"
"106","q13",66,25,29.47199,0,8,17.2275142669678,0,"et1","No"
"107","q13",66,31,995.1269,1,4,0.00772857666015625,0,"et1","No"
"108","q13",66,24,832.1131,1,8,-0.280614614486694,0,"et1","No"
"109","q13",66,18,1636.90084,1,10,-0.282066345214844,0,"et1","No"
"110","q13",67,31,557.38376,1,5,-0.560302734375,0,"et1","No"
"111","q13",67,24,184.12513,1,9,-0.632310688495636,0,"et1","No"
"112","q13",67,18,699.6047,1,11,-0.519783020019531,0,"et1","No"
"113","q13",71,31,63.26029,1,9,16.7047882080078,0,"et1","No"
"114","q13",71,18,608.9821,1,15,-0.326188921928406,0,"et1","No"
"115","q13",71,24,264.4641,1,13,0.0123484702780843,0,"et1","No"
