"","quad","year","trackID","area.t1","area.t0","age","allEdge","distEdgeMin"
"1","q10",55,122,21.41671,2.447021,1,1,0.299652099609375
"2","q10",56,122,47.35843,21.41671,2,0,0.23956298828125
"3","q10",57,122,126.2436,47.35843,3,0,0.154373168945312
"4","q10",58,122,193.4852,126.2436,4,0,0.275924682617188
"5","q10",59,122,324.7629,193.4852,5,0,0.084920346736908
"6","q10",60,122,282.3045,324.7629,6,0,-0.610061645507812
"7","q10",60,125,94.86697,4.323274,1,1,0.152591720223427
"8","q10",61,122,151.7934,282.3045,7,0,0.933341979980469
"9","q10",61,125,62.64627,94.86697,2,0,1.8753616809845
"10","q10",62,125,111.7647,62.64627,3,1,-0.110833711922169
"11","q10",65,125,198.40296,521.8981,6,0,-0.278335243463516
"12","q10",65,131,94.72563,40.09517,1,0,-0.251068115234375
"13","q10",66,125,39.4749,198.40296,7,0,-0.137325748801231
"14","q10",68,122,216.7698,143.4982,14,0,0.0684432983398438
"15","q10",68,131,67.68162,95.58299,4,0,1.51699149608612
"16","q10",69,122,90.71693,216.7698,15,0,2.227783203125
"17","q10",69,131,290.8362,67.68162,5,0,1.19725120067596
"18","q10",70,122,138.5179,90.71693,16,0,0.119041442871094
"19","q11",60,67,0.6894946,57.74926,1,0,1.32129228115082
"20","q11",61,68,37.5125,30.74128,1,0,3.50232338905334
"21","q11",62,67,6.130564,2.46,3,1,0.25
"22","q11",62,68,210.64644,37.5125,2,0,0.5
"23","q11",63,68,590.972,210.64644,3,0,-0.0270307697355747
"24","q11",64,68,704.1645,590.972,4,0,-0.183018326759338
"25","q11",65,68,981.0164,704.1645,5,0,-0.118207983672619
"26","q11",66,68,203.19256,981.0164,6,0,-1.38413500785828
"27","q11",67,68,576.736864,203.19256,7,0,1.54846286773682
"28","q11",68,68,1182.547,576.736864,8,0,-0.0438466370105743
"29","q11",69,68,1515.197,1182.547,9,0,-0.751672744750977
"30","q11",70,68,1057.4687,1515.197,10,0,-0.733954250812531
"31","q11",70,76,123.2056,24.12039,1,0,35.5486259460449
"32","q11",71,68,1209.7488,1057.4687,11,0,-0.868181586265564
"33","q11",71,76,74.88098,123.2056,2,0,34.5439605712891
"34","q13",47,4,108.1086,122.263,3,0,0.66969233751297
"35","q13",48,4,122.603465,108.1086,4,0,-0.198558792471886
"36","q13",49,4,188.23421,122.603465,5,0,0.749837100505829
"37","q13",50,4,522.74022,188.23421,6,0,-0.323646545410156
"38","q13",50,8,64.2037,28.051732,3,0,-0.0192255321890116
"39","q13",51,4,476.843601,522.74022,7,0,0.0159759521484375
"40","q13",51,8,81.47709,64.2037,4,0,-0.202638208866119
"41","q13",52,4,362.560649,476.843601,8,0,-0.0204946845769882
"42","q13",53,4,275.208914,362.560649,9,0,-0.236142680048943
"43","q13",54,4,463.288169,275.208914,10,0,-0.0793039575219154
"44","q13",55,4,108.76848,463.288169,11,0,-0.0519581772387028
"45","q13",57,17,39.72998,31.75889,1,0,-0.083709716796875
"46","q13",57,18,116.2111,58.12889,1,0,-0.90167236328125
"47","q13",58,18,281.6062,116.2111,2,0,-0.262947082519531
"48","q13",58,4,678.32431,581.38629,14,0,5.83865356445312
"49","q13",59,18,335.009725,281.6062,3,0,-0.71527099609375
"50","q13",59,19,29.80854,15.28438,1,0,30.7273864746094
"51","q13",59,20,8.438232,15.70833,1,0,26.9673118591309
"52","q13",59,24,111.10348,4.202946,1,1,0.961507499217987
"53","q13",59,25,58.86153,30.70884,1,0,2.08973932266235
"54","q13",59,4,1253.405542,678.32431,15,0,-0.549994230270386
"55","q13",60,18,305.9387,335.009725,4,0,-0.0004425048828125
"56","q13",60,19,62.88573,29.80854,2,0,25.9033889770508
"57","q13",60,20,55.69408,8.438232,2,0,21.480073928833
"58","q13",60,24,162.1482,111.10348,2,0,0.0109151564538479
"59","q13",60,25,213.8424,58.86153,2,0,6.10255575180054
"60","q13",60,27,10.07128,3.941413,1,1,-0.112374253571033
"61","q13",60,4,1255.297022,1253.405542,16,0,-0.0133883627131581
"62","q13",61,18,725.7,305.9387,5,0,0.034027099609375
"63","q13",61,24,183.358,162.1482,3,0,0.562579274177551
"64","q13",61,25,166.6637,213.8424,3,0,2.8442850112915
"65","q13",61,27,91.03925,10.07128,2,1,-0.110848978161812
"66","q13",61,4,1485.409394,1255.297022,17,0,-0.249080553650856
"67","q13",62,18,608.2377,725.7,6,0,-0.0320968627929688
