"","quad","year","SP_ID","Species","area","x","y","age","survives","dormancy","trackID","distEdgeMin","allEdge"
"2","q1",70,24,"Bouteloua curtipendula",88.8619,49.80508,16.70513,1,1,0,20,12.9800777435303,0
"3","q1",72,61,"Bouteloua curtipendula",56.77566,39.54239,22.2325,3,0,1,20,16.248420715332,0
"4","q1",72,67,"Bouteloua curtipendula",0.7156845,52.36762,21.03102,3,0,1,20,20.5271129608154,0
"5","q1",72,68,"Bouteloua curtipendula",0.7156893,50.24048,19.93854,3,0,1,20,19.4346218109131,0
"6","q1",72,72,"Bouteloua curtipendula",0.7156829,52.31901,18.31387,3,0,1,20,17.8099632263184,0
"7","q1",72,75,"Bouteloua curtipendula",0.7156861,48.84439,16.51279,3,0,1,20,16.0088787078857,0
"8","q1",72,77,"Bouteloua curtipendula",0.7156893,50.30921,15.92611,3,0,1,20,15.4221954345703,0
"9","q1",72,78,"Bouteloua curtipendula",0.7156797,48.04299,14.91333,3,0,1,20,14.4094228744507,0
"12","q10",57,44,"Bouteloua curtipendula",33.51031,60.18707,68.28072,1,0,0,123,29.4148178100586,0
"16","q10",59,74,"Bouteloua curtipendula",53.0854,23.67114,1.833317,1,1,0,124,-0.0913123264908791,0
"18","q10",60,62,"Bouteloua curtipendula",4.323274,57.41593,0.9953443,1,1,0,125,0.152591720223427,1
"20","q10",61,84,"Bouteloua curtipendula",94.86697,64.02088,4.076918,2,1,0,125,1.8753616809845,0
"21","q10",61,86,"Bouteloua curtipendula",105.4528,15.9498,3.477498,3,0,1,124,0.227063655853271,0
"22","q10",62,1,"Bouteloua curtipendula",5.65326,15.76619,99.38989,1,0,0,126,-0.661262512207031,1
"24","q10",62,116,"Bouteloua curtipendula",19.01335,64.89735,2.871801,3,1,0,125,0.274261176586151,1
"25","q10",62,117,"Bouteloua curtipendula",11.86398,57.97377,2.681739,3,0,0,125,0.261860400438309,1
"26","q10",62,119,"Bouteloua curtipendula",21.32218,46.85903,1.174267,3,1,0,125,-0.110833711922169,1
"27","q10",62,120,"Bouteloua curtipendula",10.44676,52.66631,1.120654,3,0,0,125,0.031225549057126,1
"28","q10",63,58,"Bouteloua curtipendula",2.840969,14.57172,15.96209,1,0,0,127,13.221583366394,0
"29","q10",63,62,"Bouteloua curtipendula",111.7647,62.67492,2.695851,4,1,0,125,0.034430131316185,0
"34","q10",65,56,"Bouteloua curtipendula",140.5675,82.25782,8.335531,6,0,1,125,1.17222440242767,0
"35","q10",65,57,"Bouteloua curtipendula",130.3502,32.0461,5.121634,6,1,2,125,0.173849448561668,0
"36","q10",65,58,"Bouteloua curtipendula",250.9804,53.43377,5.23045,6,1,1,125,-0.278335243463516,0
"38","q10",66,38,"Bouteloua curtipendula",38.31089,60.89664,10.19936,7,0,0,125,5.36453819274902,0
"39","q10",66,40,"Bouteloua curtipendula",120.2918,71.20821,3.290394,7,1,0,125,0.0490065142512321,0
"40","q10",66,41,"Bouteloua curtipendula",27.29655,30.7615,8.22933,7,1,0,125,5.25991344451904,0
"42","q10",66,47,"Bouteloua curtipendula",12.50372,40.80222,1.235698,7,0,0,125,-0.137325748801231,1
"43","q10",67,47,"Bouteloua curtipendula",39.4749,71.37565,4.353018,8,0,0,125,-0.0171068105846643,0
"44","q10",68,18,"Bouteloua curtipendula",117.1528,93.93037,72.83199,1,0,0,132,-0.159408569335938,0
"45","q10",68,26,"Bouteloua curtipendula",97.07668,78.47849,66.12077,1,0,0,133,14.4242172241211,0
"46","q10",68,29,"Bouteloua curtipendula",115.7174,53.66514,64.39063,1,0,0,134,29.8578414916992,0
"47","q10",68,31,"Bouteloua curtipendula",299.1571,7.378332,57.71958,1,0,0,135,-0.0666689574718475,0
"48","q10",68,40,"Bouteloua curtipendula",213.4596,60.33312,47.54613,1,0,0,136,30.1805419921875,0
"49","q10",68,42,"Bouteloua curtipendula",69.46986,29.20396,44.59441,1,0,0,137,23.6247043609619,0
"50","q10",68,43,"Bouteloua curtipendula",65.81731,41.19253,42.73687,1,0,0,138,34.7799644470215,0
"52","q10",68,48,"Bouteloua curtipendula",232.5937,14.94961,31.49503,1,1,0,139,3.72696185112,0
"54","q10",68,60,"Bouteloua curtipendula",30.71346,30.30578,16.0223,9,0,1,125,12.5784149169922,0
