"quad","year","SP_ID","x","y","GenID"
"Q1",32,0,1.07,3.02,9
"Q1",32,1,3.77,3.89,9
"Q1",32,2,6.12,6.37,9
"Q1",32,3,1,6.54,9
"Q1",32,4,5.83,1.16,9
"Q1",32,5,8.97,0.55,9
"Q1",32,57,3.68,88.99,2
"Q1",32,58,2.35,92.49,2
"Q1",32,61,14,99.57,1
"Q1",32,67,70.57,53.89,3
"Q1",32,73,84.94,60.91,4
"Q1",32,74,78.37,57.19,5
"Q1",32,75,79.58,53.76,6
"Q1",32,76,83.4,51.52,7
"Q1",32,77,67.95,56,3
"Q1",32,79,35.04,10.5,8
"Q1",32,80,35.23,8.04,8
"Q1",32,81,39.01,9.75,8
"Q1",32,82,37.13,11.2,8
"Q1",32,85,44.5,10.7,8
"Q1",32,86,43.05,7.34,8
"Q1",32,92,11.4,0.83,9
"Q10",30,0,9.73,86.76,15
"Q10",30,1,5.54,91.63,16
"Q10",30,2,1.1,85.64,17
"Q10",30,7,22.93,81.05,18
"Q10",30,9,31.6,80.81,19
"Q10",30,18,2.84,43.3,20
"Q10",30,19,2.63,39.36,21
"Q10",30,37,1.75,1.68,33
"Q10",30,38,4.7,4.03,33
"Q10",30,39,7.27,4.91,33
"Q10",30,40,11.55,6.06,34
"Q10",30,41,14.04,6,34
"Q10",30,42,14.23,9.17,34
"Q10",30,43,11.25,9.24,34
"Q10",30,62,92.47,69.58,29
"Q10",30,63,87.76,68.97,30
"Q10",30,64,87.17,73.28,31
"Q10",30,65,93.15,74.19,32
"Q10",30,66,90.32,76.86,33
"Q10",30,67,85.36,76.21,34
"Q10",30,68,85.2,80.49,28
"Q10",30,69,88.75,80.46,28
"Q10",30,70,82.3,83.05,27
"Q10",30,71,86.6,84.75,26
"Q10",30,72,85.65,86.22,26
"Q10",30,73,84.48,87.67,26
"Q10",30,74,81.35,88.58,24
"Q10",30,75,80.61,85.65,24
"Q10",30,76,79.52,87.33,24
"Q10",30,77,76.83,87.94,25
"Q10",30,78,73.85,77.46,11
"Q10",30,79,81.92,74.37,23
"Q10",30,80,79.29,73.51,23
"Q10",30,81,75.78,70.31,12
"Q10",30,82,73.44,71.52,12
"Q10",30,83,73.37,69.36,12
"Q10",30,84,71.53,69.7,12
"Q10",30,85,71.84,72.81,12
"Q10",30,86,60.35,80.1,10
"Q10",30,87,51.07,51.56,13
"Q10",30,96,76.12,42.42,14
"Q10",30,103,74.37,23.39,35
"Q10",30,104,76.6,16.97,35
"Q10",30,105,81.09,17.44,35
"Q10",30,106,85.24,17.03,36
"Q10",30,107,82.31,12.32,37
"Q10",30,121,97.25,6.65,38
"Q10",30,122,99.49,8.21,38
"Q10",30,127,17.35,73.95,22
"Q11",30,10,50.52,98.7,57
"Q11",30,38,54.15,74.49,50
"Q11",30,40,45.7,96.32,57
"Q11",30,41,45.32,99.23,57
"Q11",30,42,48.18,98.39,57
"Q11",30,43,52.14,96.77,57
"Q11",30,44,49.4,94.96,57
"Q11",30,45,49.69,93.34,57
"Q11",30,46,58.63,82.8,49
"Q11",30,52,60.67,36.88,51
"Q11",30,53,66.44,34.5,52
"Q11",30,54,62.98,41.59,53
"Q11",30,55,52.68,51.4,48
"Q11",30,56,54.91,52.51,48
"Q11",30,64,4.1,25.94,40
"Q11",30,65,6.83,21.42,40
"Q11",30,67,8.9,15.49,41
"Q11",30,71,14.57,18.53,42
"Q11",30,72,14.73,21.96,43
"Q11",30,74,14.48,10.85,44
"Q11",30,75,19.92,0.27,45
"Q11",30,76,23.42,0.36,45
"Q11",30,81,39.11,36.38,46
"Q11",30,82,55.7,27.83,47
"Q11",30,83,76.87,21.72,55
"Q11",30,84,80.58,18.97,56
"Q11",30,85,80.5,22.8,55
"Q11",30,87,82.45,17.65,56
"Q11",30,88,84.63,22.21,56
"Q11",30,89,84.49,18.35,56
"Q11",30,91,73.73,8.26,54
"Q11",30,95,56.49,73.6,50
"Q11",30,96,58.4,72.33,50
"Q11",30,97,56.79,71.43,50
"Q11",30,99,3.72,33.04,39
"Q12",30,0,0.77,89.81,665
"Q12",30,1,5.51,86.84,666
"Q12",30,2,8.48,84.32,667
"Q12",30,3,12.14,89.91,668
"Q12",30,4,15.61,86.31,669
"Q12",30,5,14,83.43,670
"Q12",30,6,16.47,83.65,671
"Q12",30,7,13.13,79.07,672
"Q12",30,8,18.23,80.31,673
"Q12",30,9,16.26,77.88,674
"Q12",30,10,51.53,91.81,658
"Q12",30,11,55.46,89.6,658
"Q12",30,12,79.54,82.72,675
"Q12",30,13,86.65,94.88,676
"Q12",30,14,91.18,96.3,677
"Q12",30,15,96.5,95.33,657
"Q12",30,16,95.24,98.43,657
"Q12",30,17,86.03,67.52,678
"Q12",30,18,71.42,76.54,679
"Q12",30,19,71.57,74.36,680
"Q12",30,20,71.93,65.65,681
"Q12",30,21,12.14,75.69,682
"Q12",30,22,29.71,49.14,683
"Q12",30,23,35.35,45.73,662
"Q12",30,24,41.22,45.14,662
"Q12",30,25,35,42,662
"Q12",30,26,37.71,40.67,662
"Q12",30,27,76.58,56.36,684
"Q12",30,28,70.72,49.63,685
"Q12",30,29,69.81,47.39,686
"Q12",30,30,73.98,49.27,687
"Q12",30,31,75.51,50.39,688
"Q12",30,32,75.42,49.01,689
"Q12",30,33,91.13,43.09,690
"Q12",30,34,83.94,37.54,660
"Q12",30,35,78.61,41.48,659
"Q12",30,36,78.07,37.77,659
"Q12",30,37,79.38,30.61,660
"Q12",30,38,82.52,31.78,660
"Q12",30,39,70.9,39.08,659
"Q12",30,40,65.29,39.31,691
"Q12",30,41,66.91,29.5,692
"Q12",30,42,61.27,39.3,693
"Q12",30,43,40.24,36.06,694
"Q12",30,44,39.08,38.07,662
"Q12",30,45,37.44,35.38,695
"Q12",30,46,38.6,33.25,696
"Q12",30,47,40.55,34.44,663
"Q12",30,48,45.33,33.64,663
"Q12",30,49,42.96,28.8,697
"Q12",30,50,24.93,43.75,698
"Q12",30,51,23.79,40,699
"Q12",30,52,20.72,34.87,700
"Q12",30,53,20.52,18.03,701
"Q12",30,54,15.5,13.85,702
"Q12",30,55,13.81,11.91,703
"Q12",30,56,8.08,10.73,704
"Q12",30,57,51.48,27.14,705
"Q12",30,58,56.82,22.28,706
"Q12",30,59,63.1,25.19,664
"Q12",30,60,62.68,21.44,664
"Q12",30,61,61.6,16.2,707
"Q12",30,62,62.07,14.3,708
"Q12",30,63,61.71,13.19,709
"Q12",30,64,61.56,11.88,710
"Q12",30,65,63.22,11.48,711
"Q12",30,66,62.07,10.16,712
"Q12",30,67,63.98,9.75,713
"Q12",30,68,65.55,10.79,714
"Q12",30,69,67.68,11.85,715
"Q12",30,70,68.55,10.71,716
"Q12",30,71,71.05,28.16,717
"Q12",30,72,85.75,27.45,660
"Q12",30,73,82.29,19.85,718
"Q12",30,74,87.09,18.16,719
"Q12",30,75,85.37,12.48,661
"Q12",30,76,91.22,16.37,661
"Q12",30,77,66.36,9,720
"Q12",30,78,62.81,8.61,721
"Q12",30,79,65.39,7.65,722
"Q12",30,80,8.83,5.59,723
"Q12",30,81,9.23,3.73,724
"Q12",30,82,10.81,1.5,725
"Q13",30,0,7.14,93.06,736
"Q13",30,1,2.9,90.09,737
"Q13",30,2,21.86,89.49,738
"Q13",30,3,20.81,86.86,726
"Q13",30,4,22.77,86.17,726
"Q13",30,5,25.69,87.69,739
"Q13",30,6,25.58,85.41,740
"Q13",30,7,41.09,96.8,741
"Q13",30,8,39.59,95.23,727
"Q13",30,9,44.27,96.63,727
"Q13",30,10,42.77,94.93,727
"Q13",30,11,42.17,93.51,727
"Q13",30,12,44.47,93.74,727
"Q13",30,13,40.75,92.54,727
"Q13",30,14,44.44,87.22,742
"Q13",30,15,47,86.77,743
"Q13",30,16,49.36,85.6,744
"Q13",30,17,50.92,85.74,745
"Q13",30,18,42.46,98.35,727
"Q13",30,19,72.01,96.96,746
"Q13",30,20,79.76,90.8,747
"Q13",30,21,83.97,88.34,748
"Q13",30,22,85.55,91.13,749
"Q13",30,23,86.98,92.17,750
"Q13",30,24,83.66,85.14,751
"Q13",30,25,85.84,86.95,752
"Q13",30,26,92.62,89.73,753
"Q13",30,27,93.2,85.31,754
"Q13",30,28,91.1,85.82,755
"Q13",30,29,89.47,82.75,756
"Q13",30,30,93.11,83.6,757
"Q13",30,31,95.8,83.84,758
"Q13",30,32,93.59,81.47,759
"Q13",30,33,91.71,79.5,760
"Q13",30,34,94.72,57.71,761
"Q13",30,36,67.55,57.15,762
"Q13",30,37,61.22,59.24,763
"Q13",30,38,57.51,55.14,764
"Q13",30,39,56.49,53.75,765
"Q13",30,40,72.99,53.84,766
"Q13",30,41,70.48,51.02,728
"Q13",30,42,67.04,52.04,728
"Q13",30,43,68.21,49.93,728
"Q13",30,44,64.63,51.24,728
"Q13",30,45,65.23,49.43,728
"Q13",30,46,65.98,48.24,728
"Q13",30,47,63.85,48.58,728
"Q13",30,48,62.32,49.26,767
"Q13",30,49,70.04,46.35,729
"Q13",30,50,69.86,44.24,729
"Q13",30,51,63.31,45.28,729
"Q13",30,52,60.25,46.11,768
"Q13",30,53,57.72,46.52,730
"Q13",30,54,53.19,48.81,769
"Q13",30,55,32.62,59.29,770
"Q13",30,56,31.65,55.61,771
"Q13",30,57,29.32,54.6,772
"Q13",30,58,27.68,55.43,773
"Q13",30,59,27.77,59.06,774
"Q13",30,60,26.14,59.21,775
"Q13",30,61,25.8,61.8,776
"Q13",30,62,24.01,59.88,777
"Q13",30,63,23.16,56.57,778
"Q13",30,64,20.08,56.58,779
"Q13",30,65,18.67,57.43,780
"Q13",30,66,16.26,58.21,781
"Q13",30,67,17.93,61.47,782
"Q13",30,68,14.44,62.2,783
"Q13",30,69,13.35,61.39,784
"Q13",30,70,24.03,55.05,785
"Q13",30,71,25.19,52.72,786
"Q13",30,72,29.98,52.34,787
"Q13",30,73,22.37,51.17,788
"Q13",30,74,27.57,48.34,789
"Q13",30,75,26.5,46.19,790
"Q13",30,76,32.03,44.64,735
"Q13",30,77,23.17,47.26,791
"Q13",30,78,24.28,45.46,792
"Q13",30,79,22.2,45.7,793
"Q13",30,80,21.35,48.75,794
"Q13",30,81,20.33,50.22,795
"Q13",30,85,4.96,74.09,796
"Q13",30,86,4.47,79.4,797
"Q13",30,87,2.64,80.82,798
"Q13",30,88,1.75,79.41,799
"Q13",30,89,0.75,78.25,800
"Q13",30,90,8.7,50.71,733
"Q13",30,91,11.71,49.45,801
"Q13",30,92,7.74,47.49,733
"Q13",30,93,8.4,45.86,802
"Q13",30,94,12.32,47.52,803
"Q13",30,95,14.32,45.55,804
"Q13",30,96,15.9,46.17,805
"Q13",30,97,17.44,47.17,806
"Q13",30,98,17.44,45.36,807
"Q13",30,99,13.33,43.07,808
"Q13",30,100,12.37,42.03,809
"Q13",30,101,10.24,41.72,810
"Q13",30,102,13.88,40.7,734
"Q13",30,103,17.13,39.87,734
"Q13",30,104,20.08,41.1,734
"Q13",30,105,19.85,38.34,734
"Q13",30,106,17.68,37.32,734
"Q13",30,107,14.19,38.34,734
"Q13",30,108,12.16,36.25,811
"Q13",30,109,13.74,33.27,812
"Q13",30,110,15.94,33.51,813
"Q13",30,111,13.79,31.35,814
"Q13",30,112,12.86,29.01,815
"Q13",30,113,17.38,30.82,816
"Q13",30,114,18.42,33.68,817
"Q13",30,115,20.62,31.94,818
"Q13",30,116,22.22,33.63,819
"Q13",30,117,19.62,28.46,820
"Q13",30,118,21.67,28.04,821
"Q13",30,119,23.44,27.24,822
"Q13",30,120,23.65,33.15,823
"Q13",30,121,26.49,31,824
"Q13",30,122,29.16,32,825
"Q13",30,123,28.71,34.14,826
"Q13",30,124,27.09,35.49,827
"Q13",30,125,26.24,36.49,735
"Q13",30,126,24.03,39.7,735
"Q13",30,127,27.01,39.91,735
"Q13",30,128,24.97,42.36,735
"Q13",30,129,26.35,42.87,735
"Q13",30,130,29.72,42.6,735
"Q13",30,131,29.39,39.31,735
"Q13",30,132,31.42,37.17,735
"Q13",30,133,33.42,37.61,735
"Q13",30,134,33.27,39.3,735
"Q13",30,135,34.54,40.49,735
"Q13",30,136,34.75,42.43,735
"Q13",30,137,33.22,43.51,735
"Q13",30,138,57.48,44.18,730
"Q13",30,139,58.75,41.81,730
"Q13",30,140,59.78,40.78,730
"Q13",30,141,68.76,43.12,729
"Q13",30,142,61.1,33.09,828
"Q13",30,143,59.53,31.78,829
"Q13",30,144,58.59,30.79,830
"Q13",30,145,61.17,30.75,831
"Q13",30,146,68.29,30.96,832
"Q13",30,147,71.57,31.1,833
"Q13",30,148,72.27,29.07,834
"Q13",30,149,76.92,29.73,835
"Q13",30,150,77.52,42.99,836
"Q13",30,151,79.43,46.85,837
"Q13",30,152,79.71,41.72,838
"Q13",30,153,79.49,39.87,839
"Q13",30,154,83.99,43.85,840
"Q13",30,155,84.54,38.5,841
"Q13",30,156,85.54,41.9,842
"Q13",30,157,86.57,39.96,843
"Q13",30,158,90.62,43.76,844
"Q13",30,159,93.18,39.04,845
"Q13",30,160,90.96,37.14,846
"Q13",30,161,94.54,37.79,847
"Q13",30,162,93.07,35.97,848
"Q13",30,163,96.06,36.72,849
