"quad","year","SP_ID","x","y","GenID"
"A1",35,"1","3.0110515818238","96.1836762083176","1"
"A1",35,"2","2.11686304802195","92.7898833452314","2"
"A1",35,"3","0.86130447382206","87.206828017759","3"
"A1",35,"4","1.86167396701468","81.5175603244595","4"
"A1",35,"5","3.24842582402781","83.9167269310671","5"
"A1",35,"6","9.12294681104708","89.9528482381967","6"
"A1",35,"7","9.80729439362023","83.838405515689","7"
"A1",35,"8","7.09473315524946","82.7187594521262","8"
"A1",35,"9","5.09684714076978","82.6344930196112","9"
"A1",35,"10","1.6989569392621","74.2949315904406","10"
"A1",35,"11","2.30438569289415","71.1662170623563","11"
"A1",35,"12","9.61379206256532","72.2372933335598","12"
"A1",35,"13","8.35452239318584","76.9790125118304","13"
"A1",35,"14","15.01338648388","78.1609286138953","14"
"A1",35,"15","18.3461716148048","71.8498595582135","15"
"A1",35,"16","19.4372942856192","75.2071554236137","16"
"A1",35,"17","18.5265993887795","80.5772920355841","17"
"A1",35,"18","7.88745502754671","79.735331745921","18"
"A1",35,"19","14.8703552431675","82.4634542285776","19"
"A1",35,"20","17.2599097650687","87.9182385523833","20"
"A1",35,"21","14.3262711648875","91.0363776831709","21"
"A1",35,"22","12.2248777505528","92.9986621865372","22"
"A1",35,"23","24.1616361565214","85.5749055542556","23"
"A1",35,"24","18.7262757853414","95.4457653850177","24"
"A1",35,"25","19.7634789628464","98.9904829113284","25"
"A1",35,"26","26.2199469822271","76.4750876174488","26"
"A1",35,"27","38.0865407602229","74.157064576304","27"
"A1",35,"28","26.3051781820911","66.7339777340844","28"
"A1",35,"29","26.6606659913179","70.4121931637433","29"
"A1",35,"30","25.2233758214065","71.8061162650161","30"
"A1",35,"31","32.6924843816397","72.040393188099","31"
"A1",35,"32","30.5690703348871","74.1924542299181","32"
"A1",35,"33","33.186072065855","77.012124974303","33"
"A1",35,"34","33.1062447424862","66.2016703894652","34"
"A1",35,"35","28.1171548860993","82.3792375394265","35"
"A1",35,"36","35.3128681450028","88.7833366319239","36"
"A1",35,"37","31.924666050731","84.3823562123235","37"
"A1",35,"38","33.8648746315292","80.7021089126298","38"
"A1",35,"39","25.6495935511616","94.0767213227091","39"
"A1",35,"40","33.9290187886444","91.5940584240004","40"
