"quad","year","SP_ID","Species","area","x","y","age","survives","dormancy","trackID","distEdgeMin","allEdge"
"q1",70,"4","Andropogon gerardii",135.5238,86.60874,84.34944,1,1,0,4,6.87308502197266,0
"q1",71,"3","Andropogon gerardii",54.82256,90.60137,89.97236,2,1,0,4,5.47032165527344,0
"q1",72,"7","Andropogon gerardii",33.14905,94.22255,85.40659,3,0,0,4,2.65155029296875,0
"q10",60,"61","Andropogon gerardii",4.208056,30.62933,6.084878,1,1,0,61,4.98519039154053,0
"q10",61,"81","Andropogon gerardii",9.323891,27.74243,14.20916,1,0,0,62,11.424765586853,0
"q10",61,"85","Andropogon gerardii",18.90624,27.57835,5.906512,2,1,0,61,2.87097001075745,0
"q10",62,"94","Andropogon gerardii",13.8165,44.91032,20.70988,1,1,0,63,17.8621845245361,0
"q10",62,"101","Andropogon gerardii",7.420947,44.86151,15.77064,1,0,0,64,13.5274572372437,0
"q10",62,"103","Andropogon gerardii",13.67268,50.84044,15.16713,1,1,0,65,12.4042129516602,0
"q10",62,"104","Andropogon gerardii",13.0776,36.32833,12.05571,3,0,1,61,9.70702457427979,0
"q10",62,"107","Andropogon gerardii",10.23573,41.12534,8.519656,1,0,0,66,5.95654249191284,0
"q10",62,"109","Andropogon gerardii",34.09936,89.8905,5.689727,1,1,0,67,1.97941291332245,0
"q10",62,"113","Andropogon gerardii",3.628118,32.5626,6.26376,3,0,0,61,4.95369434356689,0
"q10",62,"114","Andropogon gerardii",2.47578,38.4166,5.450637,1,0,0,68,4.27811717987061,0
"q10",62,"115","Andropogon gerardii",2.05106,47.8684,5.361691,1,0,0,69,4.24461269378662,0
"q10",62,"118","Andropogon gerardii",6.254438,85.33667,3.008396,1,0,0,70,1.16665041446686,1
"q10",63,"60","Andropogon gerardii",429.6137,32.66972,4.403854,2,1,0,65,-0.313690781593323,0
"q10",63,"61","Andropogon gerardii",125.4926,93.76647,4.578941,2,1,0,67,0.272084534168243,0
"q10",64,"41","Andropogon gerardii",407.0674,10.32102,8.052768,3,1,0,65,-0.0405882336199284,0
"q10",64,"42","Andropogon gerardii",726.2786,47.27341,11.0272,3,1,0,65,-0.00249026017263532,0
"q10",64,"43","Andropogon gerardii",209.8903,90.19627,4.85462,3,1,0,67,-0.0406036376953125,0
"q10",65,"43","Andropogon gerardii",165.426,49.24779,21.43592,4,1,0,65,14.6380596160889,0
"q10",65,"47","Andropogon gerardii",4.879452,39.14638,25.44221,4,0,2,63,23.9998016357422,0
"q10",65,"53","Andropogon gerardii",6.688995,80.6291,16.21034,1,1,0,71,14.9500617980957,0
"q10",65,"54","Andropogon gerardii",5.587478,84.93256,14.88006,4,1,0,67,13.4887075424194,0
"q10",66,"35","Andropogon gerardii",353.8857,43.67016,14.40006,5,1,0,65,-0.1758803576231,0
"q10",66,"37","Andropogon gerardii",11.6091,84.32217,13.90321,2,0,0,71,11.1763868331909,0
"q10",66,"39","Andropogon gerardii",22.2803,95.02541,9.364297,5,0,1,67,1.98915863037109,0
"q10",66,"43","Andropogon gerardii",7.624554,88.97871,8.346934,5,0,0,67,6.03596067428589,0
"q10",66,"45","Andropogon gerardii",30.60947,88.10419,2.359156,5,1,1,67,0.396241068840027,0
