"","quad","year","trackID","area","survives","age","distEdgeMin","allEdge"
"1","q10",60,62,9.323891,0,1,11.424765586853,0
"2","q10",61,63,13.8165,1,1,17.8621845245361,0
"3","q10",61,64,7.420947,0,1,13.5274572372437,0
"4","q10",61,65,13.67268,1,1,12.4042129516602,0
"5","q10",61,66,10.23573,0,1,5.95654249191284,0
"6","q10",61,67,34.09936,1,1,1.97941291332245,0
"7","q10",61,68,2.47578,0,1,4.27811717987061,0
"8","q10",61,69,2.05106,0,1,4.24461269378662,0
"9","q10",61,70,6.254438,0,1,1.16665041446686,1
"10","q10",64,71,6.688995,1,1,14.9500617980957,0
"11","q10",66,72,28.50156,1,1,13.0603523254395,0
"12","q10",66,73,65.48918,0,1,1.56547546386719,0
"13","q10",68,74,57.92767,1,1,-0.0778732299804688,0
"14","q10",68,75,44.13969,1,1,10.6332473754883,0
"15","q10",71,76,0.580487,0,1,16.1091461181641,0
"16","q11",68,49,512.1048,1,1,-1.08018553256989,0
"17","q11",69,50,44.06112,1,1,24.6626815795898,0
"18","q11",69,51,29.52713,1,1,17.0555267333984,0
"19","q11",71,52,8.442497,0,1,18.9074821472168,0
"20","q12",68,6,19.08976,0,1,11.8760986328125,0
"21","q12",68,7,19.10051,0,1,10.1053237915039,0
"22","q12",68,8,20.52956,1,1,26.4282512664795,0
"23","q12",70,10,25.9029,1,1,7.92828369140625,0
"24","q12",70,9,72.72572,1,1,-0.266307502985001,0
"25","q14",52,75,38.13911,0,1,26.6599197387695,0
"26","q14",54,76,14.31215,0,1,13.1713333129883,0
"27","q14",55,77,14.04816,0,1,-0.5325927734375,1
"28","q14",58,78,157.0205,1,1,0.159400939941406,0
"29","q14",58,79,62.78017,1,1,0.781303405761719,0
"30","q14",59,80,32.26574,1,1,23.8254928588867,0
"31","q14",61,81,16.52232,0,1,-0.0977020263671875,1
"32","q14",61,82,32.81981,1,1,-0.398757636547089,1
"33","q14",61,83,11.92819,0,1,-0.221563190221786,1
"34","q14",62,84,3.147311,0,1,38.4515495300293,0
"35","q14",63,85,19.7975,1,1,33.1999969482422,0
"36","q14",64,86,13.26,1,1,32.4500007629395,0
"37","q14",64,87,4.432498,1,1,42.9000015258789,0
"38","q14",64,88,110.68,1,1,0.100000001490116,0
"39","q14",69,89,104.9502,1,1,-0.139230698347092,0
"40","q15",60,82,43.7463,1,1,7.92846250534058,0
"41","q15",60,83,4.355458,1,1,-0.250141799449921,1
"42","q15",61,84,2.008453,1,1,2.69213104248047,0
"43","q15",63,85,12.24892,0,1,-0.0830657333135605,1
"44","q15",67,86,3.185922,0,1,6.18915605545044,0
"45","q15",67,87,8.49037,0,1,19.7260589599609,0
"46","q15",68,88,74.71748,1,1,-0.199996948242188,0
"47","q15",68,89,75.9175,1,1,5.25,0
"48","q15",68,90,122.3,0,1,13.4499969482422,0
"49","q15",68,91,250.8775,1,1,6.19999694824219,0
"50","q15",68,92,78.65,0,1,27.5500030517578,0
"51","q15",68,93,35.1075,1,1,32.3499984741211,0
"52","q15",68,94,19.7025,1,1,26.9500007629395,0
"53","q15",69,95,24.498,1,1,0.603894293308258,0
"54","q15",70,96,330.0024,1,1,-0.00568517902866006,0
"55","q16",68,27,740.836,1,1,-0.145217895507812,0
"56","q16",68,28,96.05199,1,1,29.8615703582764,0
"57","q16",68,29,926.9437,1,1,4.93001556396484,0
"58","q16",71,32,10.74777,0,1,5.02977323532104,0
"59","q16",71,33,15.22477,0,1,15.1687774658203,0
"60","q16",71,34,340.9102,0,1,0.00029192614601925,0
"61","q17",51,98,23.49107,0,1,21.4970874786377,0
"62","q17",57,100,14.45233,1,1,0.0835398733615875,1
"63","q17",60,101,27.16508,0,1,-0.034342460334301,0
"64","q17",63,102,50.67131,0,1,11.6458835601807,0
"65","q17",65,103,0.680697,0,1,17.6319351196289,0
"66","q17",67,104,5.116071,0,1,18.1208324432373,0
"67","q17",70,105,11.43864,0,1,16.2428512573242,0
"68","q17",70,106,22.98839,1,1,24.8931427001953,0
"69","q17",71,107,0.7624998,0,1,29.25,0
"70","q17",71,108,0.6925014,0,1,36.2999992370605,0
"71","q18",51,5,9.468414,0,1,15.8336944580078,0
"72","q18",62,7,16.89178,0,1,2.72845387458801,0
"73","q18",62,8,32.62964,1,1,-0.545541107654572,1
"74","q18",71,10,22.895,0,1,0.100000001490116,1
"75","q19",34,3,17.09399,0,1,0.980125367641449,0
"76","q19",34,4,9.856833,1,1,1.20059752464294,1
"77","q19",48,8,5.905834,1,1,1.43163573741913,1
"78","q19",50,9,5.287725,1,1,10.1356363296509,0
"79","q19",51,10,16.41723,0,1,4.97743225097656,0
"80","q19",51,11,25.05434,0,1,7.79243850708008,0
"81","q19",51,12,27.18127,0,1,22.1634216308594,0
"82","q19",51,13,17.47887,0,1,12.4715166091919,0
"83","q19",51,14,26.89946,0,1,8.26335334777832,0
"84","q19",51,15,20.37206,0,1,21.5933227539062,0
"85","q19",51,16,56.01385,0,1,17.6775588989258,0
"86","q19",51,17,41.1137,0,1,30.2902374267578,0
"87","q19",51,18,23.92396,0,1,34.8657150268555,0
"88","q19",51,19,42.21884,0,1,31.8975429534912,0
"89","q19",51,20,177.4954,0,1,23.031795501709,0
"90","q19",51,21,26.44016,0,1,26.8845882415771,0
"91","q19",51,22,12.52865,0,1,22.7996559143066,0
"92","q19",61,23,22.2225,0,1,0.600000023841858,0
"93","q19",65,25,0.6821133,1,1,21.343542098999,0
"94","q19",65,26,0.6821119,0,1,18.3144607543945,0
"95","q19",66,27,32.89953,1,1,41.2434768676758,0
"96","q19",66,28,97.33952,1,1,4.51651525497437,0
"97","q19",66,29,29.31477,1,1,6.65185546875,0
"98","q19",66,30,33.96529,1,1,-0.821483314037323,0
"99","q19",67,31,19.1268,1,1,13.816463470459,0
"100","q19",67,32,23.81294,0,1,21.9685401916504,0
"101","q19",67,33,21.04831,0,1,11.9228982925415,0
"102","q19",71,35,0.7362908,0,1,30.4426193237305,0
"103","q19",71,36,0.7362922,0,1,6.83954572677612,0
"104","q19",71,37,0.7362922,0,1,10.9289274215698,0
"105","q19",71,38,0.7362851,0,1,16.1663055419922,0
"106","q19",71,39,21.03413,0,1,16.3620090484619,0
"107","q19",71,40,26.04068,0,1,6.86315774917603,0
"108","q21",34,25,1.097309,0,1,2.39348602294922,1
"109","q21",34,26,0.7438543,0,1,3.66252136230469,1
"110","q21",34,27,7.299947,1,1,8.58281707763672,0
"111","q21",34,28,1.361383,1,1,9.32565307617188,0
"112","q21",34,29,5.707816,0,1,13.2679214477539,0
"113","q21",34,30,3.922976,0,1,23.2930297851562,0
"114","q21",34,31,1.765897,0,1,28.7466430664062,0
"115","q21",34,32,10.62291,1,1,29.0787963867188,0
"116","q21",34,33,1.263634,0,1,14.8514099121094,0
"117","q21",34,34,4.995831,0,1,35.7030029296875,0
"118","q21",34,35,7.44835,1,1,32.6252288818359,0
"119","q21",34,36,5.218659,0,1,41.2936820983887,0
"120","q21",34,37,3.732672,0,1,33.2012100219727,0
"121","q21",34,38,4.784809,1,1,18.3858871459961,0
"122","q21",34,39,3.219826,0,1,27.9477844238281,0
"123","q21",34,40,1.840001,0,1,21.5301971435547,0
"124","q21",49,43,4.72162,1,1,22.9215354919434,0
"125","q21",49,44,4.374179,0,1,3.66047692298889,0
"126","q21",49,45,40.32272,0,1,13.9446659088135,0
"127","q21",52,46,9.299331,1,1,0.797279357910156,1
"128","q21",54,47,4.888697,0,1,32.1456527709961,0
"129","q21",54,48,3.357346,0,1,18.0215682983398,0
"130","q21",54,49,5.790029,0,1,20.0241012573242,0
"131","q21",54,50,1.826936,0,1,12.8970794677734,0
"132","q21",54,51,2.562276,0,1,7.09878540039062,0
"133","q21",54,52,3.867035,0,1,9.36771392822266,0
"134","q21",54,53,6.971477,0,1,11.7354888916016,0
"135","q21",54,54,1.551701,0,1,4.74549865722656,0
"136","q21",54,55,0.6881522,0,1,11.2857360839844,0
"137","q21",54,56,3.648706,0,1,12.5894241333008,0
"138","q21",54,57,0.6881461,0,1,7.97553253173828,0
"139","q21",54,58,0.7917082,0,1,1.40476226806641,1
"140","q21",54,59,0.6881555,0,1,6.86425018310547,0
"141","q21",54,60,0.5391975,0,1,3.98667907714844,0
"142","q21",56,61,16.58592,1,1,16.5041027069092,0
"143","q21",57,62,6.692677,1,1,24.4609527587891,0
"144","q21",57,63,7.666517,0,1,8.70606803894043,0
"145","q21",60,64,178.9836,1,1,-0.750328063964844,0
"146","q21",60,65,16.27959,1,1,6.17943572998047,0
"147","q21",61,66,10.6805,1,1,38.429859161377,0
"148","q21",62,67,3.062617,0,1,8.757568359375,0
"149","q21",62,68,0.7328165,0,1,13.8329477310181,0
"150","q21",63,69,0.6680013,0,1,13.8323860168457,0
"151","q21",64,70,5.751617,0,1,12.4235153198242,0
"152","q21",67,71,3.628255,0,1,17.0863265991211,0
"153","q21",67,72,4.513832,0,1,21.2102279663086,0
"154","q23",61,30,16.48611,0,1,20.7131500244141,0
"155","q24",34,30,6.11342,1,1,32.6466979980469,0
"156","q24",34,31,7.811436,1,1,5.34262847900391,0
"157","q24",34,32,2.376491,0,1,3.47632598876953,0
"158","q24",34,33,1.51263,0,1,0.131988525390625,1
"159","q24",37,34,3.822492,1,1,39.4158096313477,0
"160","q25",34,11,8.387486,0,1,0.461082458496094,1
"161","q25",34,12,8.281858,0,1,6.5673828125,0
"162","q25",34,13,8.956326,1,1,7.53493499755859,0
