"","state","species","obs_lrt","uquant"
"1","Idaho","ARTR",13.5087866066759,2.76370631622808
"2","Idaho","HECO",2.63345093064504,4.42769036651165
"3","Idaho","POSE",1.38959668372127,4.16448471863471
"4","Idaho","PSSP",13.5907465614955,3.80860327099779
"5","Montana","BOGR",225.509302276415,3.8638086465231
"6","Montana","HECO",30.8690591634945,3.60862846267887
"7","Montana","PASM",61.7861382629544,3.84208714829647
"8","Montana","POSE",18.4569377117509,3.88970702402926
"9","Arizona","BOER",1.82769250131366,4.54774052464807
"10","Arizona","BORO",9.52008043000478,4.01976037613513
"11","NewMexico","BOER",4.46036651707527,4.33506880603959
"12","NewMexico","SPFL",9.65799727743001,4.21330044923328
"13","Kansas","ANGE",9.1544617511056,4.46366223925728
"14","Kansas","BOCU",7.67314660118291,4.02534594858511
"15","Kansas","BOHI",1.11768852768057,3.72225164661987
