"","quad","year","SP_ID","Species","area","x","y","age","survives","dormancy","trackID","distEdgeMin","allEdge","ifTrueAge"
"1","A5P",17,9,"Bouteloua eriopoda",3.55784700608114,69.0494001448487,7.89315808580755,1,1,0,9,7.08686156680373,0,0
"2","A5P",17,10,"Bouteloua eriopoda",7.22547061203773,89.8278654542042,5.64369156108143,1,1,0,10,4.33191339978735,0,0
"3","A5P",17,11,"Bouteloua eriopoda",2.18560619241428,99.2870024960595,8.17683102076207,1,1,0,11,-0.0304398129365779,1,0
"4","A5P",17,12,"Bouteloua eriopoda",1.63727035387874,99.3676013505045,18.0773815476284,1,1,0,12,-1.7888987713377e-07,1,0
"5","A5P",17,13,"Bouteloua eriopoda",2.29787981293019,73.5057569215386,16.0547542245642,1,1,0,13,15.2104268343897,0,0
"6","A5P",17,14,"Bouteloua eriopoda",2.04588706260539,79.410137557094,27.861767268204,1,1,0,14,19.8193151798835,0,0
"7","A5P",17,15,"Bouteloua eriopoda",5.3442552380082,79.9595754008502,34.5615714044214,1,1,0,15,18.7597195941306,0,0
"8","A5P",17,16,"Bouteloua eriopoda",1.59179886926877,81.8028506017477,41.1692983726577,1,1,0,16,17.3469272594987,0,0
"9","A5P",17,17,"Bouteloua eriopoda",4.15414614829182,98.1734430785145,47.4312512837769,1,1,0,17,0.675957244231995,1,0
"10","A5P",17,21,"Bouteloua eriopoda",1.5159194680381,0.44269731010869,60.6697059373107,1,1,0,21,-0.0630829367702812,1,0
"11","A5P",17,24,"Bouteloua eriopoda",0.250488519668579,81.9580078125,55.6396484375,1,0,0,24,17.791748046875,0,0
"12","A5P",18,0,"Bouteloua eriopoda",1.32807970395771,9.60009310836214,99.0330366130434,1,1,0,25,0.302027496845625,1,1
"13","A5P",18,1,"Bouteloua eriopoda",0.95073123155289,0.34754625776332,60.6730123272536,2,1,0,21,-1.53127155400057e-07,1,0
"14","A5P",18,2,"Bouteloua eriopoda",4.36767653275154,69.3333135275157,7.68716925894751,2,1,0,9,6.68145488654569,0,0
"15","A5P",18,3,"Bouteloua eriopoda",8.56199663583319,89.9906063821024,5.53098125896135,2,1,0,10,4.18800459919265,0,0
"16","A5P",18,4,"Bouteloua eriopoda",2.39254185301194,99.3657308924902,8.05688141094071,2,1,0,11,-0.0436521403728563,1,0
"17","A5P",18,5,"Bouteloua eriopoda",1.85991150547446,99.4400802199584,17.9571348425469,2,1,0,12,2.56134882192782e-08,1,0
"18","A5P",18,6,"Bouteloua eriopoda",2.04206889221521,68.3563536985956,15.981754705981,2,1,0,13,15.2459127701432,0,0
"19","A5P",18,7,"Bouteloua eriopoda",1.934822673728,79.4903276558356,27.8853269455189,2,1,0,14,19.7413304790712,0,0
"20","A5P",18,8,"Bouteloua eriopoda",4.17228531551216,80.0845476220307,34.5663186492018,2,1,0,15,18.9011458577821,0,0
"21","A5P",18,9,"Bouteloua eriopoda",1.45442282516135,81.6599261972509,41.4484708477102,2,0,0,16,17.5731124316576,0,0
"22","A5P",18,10,"Bouteloua eriopoda",4.41468726065394,98.0780479800322,47.7366655689962,2,1,0,17,0.606814119211236,1,0
"23","A5P",18,11,"Bouteloua eriopoda",1.01883097820336,71.9977677922506,64.0911082789283,1,0,0,26,27.3300898631452,0,1
"24","A5P",19,0,"Bouteloua eriopoda",1.26979475007546,9.30439862569101,99.5564662831017,2,1,0,25,-0.0398478889363787,1,1
"25","A5P",19,1,"Bouteloua eriopoda",1.21917126732177,11.0551453384891,90.418449883066,1,0,0,27,8.96314227655562,0,1
"26","A5P",19,2,"Bouteloua eriopoda",0.51619262399781,7.73781572479962,71.6863346940515,1,0,0,28,7.26789749981977,0,1
"27","A5P",19,3,"Bouteloua eriopoda",0.44669204164498,11.9859552173381,74.0699466394113,1,0,0,29,11.5729778573115,0,1
"28","A5P",19,4,"Bouteloua eriopoda",0.37538118631105,37.7974300456181,39.2579082155373,1,0,0,30,37.4034635616727,0,1
"29","A5P",19,5,"Bouteloua eriopoda",0.33447545042612,46.7311383687416,29.5476611689228,1,0,0,31,29.2589474746163,0,1
"30","A5P",19,6,"Bouteloua eriopoda",0.25483835575931,49.2234783164232,16.8396452159299,1,0,0,32,16.5589586403103,0,1
"31","A5P",19,7,"Bouteloua eriopoda",0.30986092633637,50.4824932695561,15.6436262867324,1,0,0,33,15.3750617644632,0,1
"32","A5P",19,8,"Bouteloua eriopoda",0.26062999862751,40.8845994670605,6.91478074964716,1,0,0,34,6.54964614175245,0,1
"33","A5P",19,9,"Bouteloua eriopoda",17.543323309877,69.7174394290618,8.33298378532651,3,1,0,9,5.90388364320236,0,0
"34","A5P",19,10,"Bouteloua eriopoda",9.0960036008962,87.6719527055409,7.47316724995276,3,1,0,10,5.68862918040145,0,0
"35","A5P",19,11,"Bouteloua eriopoda",12.0359863647882,98.8424385054525,9.67263955671253,3,0,0,11,2.80229670579502e-08,1,0
"36","A5P",19,12,"Bouteloua eriopoda",15.7553735716955,98.3951552003807,19.1550637674066,3,1,0,12,2.80229670579502e-08,1,0
"37","A5P",19,13,"Bouteloua eriopoda",16.5514846678129,72.463463600263,18.1798702735543,3,1,0,13,16.0746372113241,0,0
"38","A5P",19,14,"Bouteloua eriopoda",1.90839440268099,86.0175601196024,28.0132612085252,3,1,0,14,12.9804788668029,0,0
"39","A5P",19,15,"Bouteloua eriopoda",3.61697126036586,79.5829582567044,28.8243034936472,3,1,0,15,19.2228471648713,0,0
"40","A5P",19,16,"Bouteloua eriopoda",23.9244285088813,81.4132380295391,35.9982958961822,3,1,0,15,16.1016632383003,0,0
"41","A5P",19,17,"Bouteloua eriopoda",4.9172261862757,60.0520582325712,36.6283931531831,1,1,0,35,35.3936880963579,0,1
"42","A5P",19,18,"Bouteloua eriopoda",22.1231855508654,95.6717683317489,48.6678468607738,3,1,0,17,1.41057396003325,0,0
"43","A5P",19,19,"Bouteloua eriopoda",1.48704113677996,36.8040918007986,58.5363097105333,1,0,0,36,36.0581256162618,0,1
"44","A5P",19,20,"Bouteloua eriopoda",1.34369528818697,46.237790037587,68.0283543867998,1,0,0,37,31.3495619152181,0,1
"45","A5P",19,21,"Bouteloua eriopoda",0.72831710182199,37.8020542326005,70.157072968976,1,0,0,38,29.3584628060361,0,1
"46","A5P",19,22,"Bouteloua eriopoda",0.58207442618744,89.9494556480848,66.4086986089956,1,0,0,39,9.64404270206259,0,1
"47","A5P",19,23,"Bouteloua eriopoda",0.56325125764915,84.9102336610077,73.2210581811263,1,0,0,40,14.5948846682518,0,1
"48","A5P",19,33,"Bouteloua eriopoda",0.56180393952266,7.55541085771344,74.0681264723245,1,0,0,41,6.99882919885548,0,1
"49","A5P",19,42,"Bouteloua eriopoda",0.25048851966858,90.521240234375,9.222412109375,3,0,0,10,8.97216796875,0,0
"50","A5P",19,74,"Bouteloua eriopoda",0.25048851966858,10.882568359375,88.5986328125,1,0,0,42,10.63232421875,0,1
"51","A5P",20,0,"Bouteloua eriopoda",6.04770886301314,12.8003892364368,98.952053254739,3,0,0,25,-0.019774026690726,1,1
"52","A5P",20,1,"Bouteloua eriopoda",11.8415226718324,3.44698441455275,59.6491774574299,4,1,1,21,1.39471388187832,0,0
"53","A5P",20,2,"Bouteloua eriopoda",4.10218804543515,61.0748682929871,35.6163655798447,2,1,0,35,34.5807969135649,0,1
"54","A5P",20,3,"Bouteloua eriopoda",3.43518004632635,60.1714265066016,11.1247890859946,1,0,0,43,9.99428648577173,0,1
"55","A5P",20,4,"Bouteloua eriopoda",10.9759438676429,69.5924285467798,7.43807003136878,4,1,0,9,5.21681228402694,0,0
"56","A5P",20,5,"Bouteloua eriopoda",12.3625704087551,87.8222077760946,5.88544297362045,4,1,0,10,4.16809870615998,0,0
"57","A5P",20,6,"Bouteloua eriopoda",20.8021253102351,97.9393899203609,18.0843016041791,4,1,0,12,7.90864902455723e-08,1,0
"58","A5P",20,7,"Bouteloua eriopoda",7.09269405745976,73.2187788109506,17.6941151677959,4,1,0,13,15.8204733755308,0,0
"59","A5P",20,8,"Bouteloua eriopoda",6.57164680009764,79.9976515614549,27.1248470960569,4,1,0,15,18.5826013588017,0,0
"60","A5P",20,9,"Bouteloua eriopoda",2.69349326719967,86.6554786032401,25.0775401192008,4,0,0,14,12.3777118740573,0,0
"61","A5P",20,10,"Bouteloua eriopoda",13.4114568491899,80.1951995042054,35.5644850527642,4,1,0,15,18.2039000985954,0,0
"62","A5P",20,11,"Bouteloua eriopoda",17.0520008576139,95.2589527955664,49.3437384289676,4,1,0,17,0.375766160372919,0,0
"63","A5P",21,0,"Bouteloua eriopoda",9.78769418528649,1.61572103645333,61.4842157645786,5,1,0,21,-0.117863669178533,1,0
"64","A5P",21,1,"Bouteloua eriopoda",5.12204869003426,24.9071969379875,46.3884522606696,1,0,0,44,23.3866687095079,0,1
"65","A5P",21,2,"Bouteloua eriopoda",18.8337692943772,68.3671848129438,8.22709115903624,5,1,0,9,4.79480290390519,0,0
"66","A5P",21,3,"Bouteloua eriopoda",21.487622482349,85.6652005508038,6.57012047792648,5,1,0,10,3.73444782892748,0,0
"67","A5P",21,4,"Bouteloua eriopoda",15.4071411148794,72.7889124909306,18.688996770747,5,1,0,13,15.2658065441363,0,0
"68","A5P",21,5,"Bouteloua eriopoda",15.9228796525825,97.8549137352565,10.7164303336008,5,1,0,12,-1.09534042280757e-07,1,0
"69","A5P",21,6,"Bouteloua eriopoda",23.0606014015915,97.368557016035,19.7026880510378,5,1,0,12,-1.09534042280757e-07,0,0
"70","A5P",21,7,"Bouteloua eriopoda",8.0268350324829,79.8321239308938,27.1307479924442,5,1,0,15,17.8961835293229,0,0
"71","A5P",21,8,"Bouteloua eriopoda",2.48782534644528,78.7841464200796,35.8935812669027,5,1,0,15,20.3703449260112,0,0
"72","A5P",21,9,"Bouteloua eriopoda",5.21964839336714,60.7097415182937,37.6951434862861,3,1,0,35,36.2519958978297,0,1
"73","A5P",21,10,"Bouteloua eriopoda",11.7178609629208,97.0288247529891,47.2596792027478,5,1,0,17,0.488692275600329,0,0
"74","A5P",21,11,"Bouteloua eriopoda",11.4972832019523,92.3509347106601,50.5067132172668,5,1,0,17,4.77429197918433,0,0
"75","A5P",22,0,"Bouteloua eriopoda",11.5324454057335,1.19708215725521,59.4243601252461,6,0,0,21,-1.95601498886866e-07,1,0
"76","A5P",22,1,"Bouteloua eriopoda",3.78898808651033,4.93967381608154,58.9770655581709,6,0,0,21,4.24208971841792,0,0
"77","A5P",22,2,"Bouteloua eriopoda",12.8315012444289,62.2547242060998,36.1253553540851,4,1,0,35,33.8481704482194,0,1
"78","A5P",22,3,"Bouteloua eriopoda",17.2872543766272,69.9528066169831,3.83837506410825,6,1,0,9,1.79786620143928,0,0
"79","A5P",22,4,"Bouteloua eriopoda",11.5785796628107,70.4029625632726,8.01772871257549,6,0,0,9,6.31852403823884,0,0
"80","A5P",22,5,"Bouteloua eriopoda",10.8278351552164,88.8175107890555,2.69051257215285,6,1,0,10,0.638723246221043,0,0
"81","A5P",22,6,"Bouteloua eriopoda",7.6031680995116,86.2734224550238,6.19848718818397,6,0,0,10,3.88432369880264,0,0
"82","A5P",22,7,"Bouteloua eriopoda",17.7436084894716,97.8643347986755,8.01259207055361,6,1,0,12,6.80878287084852e-08,1,0
"83","A5P",22,8,"Bouteloua eriopoda",2.19401395269816,99.4714357647681,14.4789858859805,6,0,0,12,6.80878287084852e-08,1,0
"84","A5P",22,9,"Bouteloua eriopoda",17.1713672573901,97.9718853730644,18.4816006352353,6,1,0,12,0.0126982652038521,1,0
"85","A5P",22,10,"Bouteloua eriopoda",7.44193462810775,73.9082374476085,15.1410820053686,6,1,0,13,13.6790820485841,0,0
"86","A5P",22,11,"Bouteloua eriopoda",3.58912505103162,72.6736549745499,17.3943062577006,6,0,0,13,16.2291968170201,0,0
"87","A5P",22,12,"Bouteloua eriopoda",6.73821695903607,74.5021433469139,19.776601885589,6,1,0,13,18.8952255695294,0,0
"88","A5P",22,13,"Bouteloua eriopoda",1.43430680977824,79.5362102194631,25.2788368360793,6,0,0,15,20.0079143539501,0,0
"89","A5P",22,14,"Bouteloua eriopoda",2.24047577846382,83.656492346208,27.3095263297284,6,1,0,15,15.5452130642609,0,0
"90","A5P",22,15,"Bouteloua eriopoda",4.32979130787575,79.8396088817531,34.8020502096624,6,1,0,15,19.1965142408047,0,0
"91","A5P",22,16,"Bouteloua eriopoda",8.10341508631071,98.4327899423269,43.4722372046987,6,1,0,17,-0.103215718869535,1,0
"92","A5P",22,17,"Bouteloua eriopoda",5.48193916234401,92.2926143972434,47.8605601738142,6,1,0,17,6.38798429644102,0,0
"93","A5P",22,18,"Bouteloua eriopoda",4.78494060216352,95.6224242304795,51.464133348949,6,0,0,17,2.62076913582383,0,0
"94","A5P",22,20,"Bouteloua eriopoda",5.74226782038633,0.86790131859974,88.5376045584812,1,0,0,45,-0.0467388154558795,1,1
"95","A5P",22,50,"Bouteloua eriopoda",0.25048851966858,83.062744140625,25.860595703125,6,0,0,15,16.68701171875,0,0
"96","A5P",22,51,"Bouteloua eriopoda",0.25048851966858,81.561279296875,26.141357421875,6,0,0,15,18.1884765625,0,0
"97","A5P",22,52,"Bouteloua eriopoda",0.24743378162384,94.659423828125,27.9998779296875,1,1,0,46,5.09033203125,0,1
"98","A5P",23,0,"Bouteloua eriopoda",0.69984208205586,67.4895033227705,5.00025833166677,7,0,0,9,4.5480339410812,0,0
"99","A5P",23,1,"Bouteloua eriopoda",10.5589068886639,70.2178698549097,7.9385601491317,7,1,0,9,4.71840290214224,0,0
"100","A5P",23,2,"Bouteloua eriopoda",2.47524744947496,74.069881758598,14.6359694517173,7,0,0,13,13.6911879097571,0,0
