"","X","quad","year","NRquad","totParea","recArea","Group"
"1",1,"A1",33,1,19.6867214004562,0.0507956596559967,"A"
"2",2,"A1",34,9,7.392086407343,1.2175182355904,"A"
"3",3,"A1",35,4,2.25439667701721,1.77431063520391,"A"
"4",4,"A1",36,2,5.21396266414107,0.383585408801441,"A"
"5",5,"A1",37,0,0.500977039337158,0,"A"
"6",6,"A1",38,10,8.67969052901473,1.15211480945913,"A"
"7",7,"A1",39,1,24.5634002501281,0.040710976078924,"A"
"8",8,"A1",40,2,36.9654654569985,0.0541045534061129,"A"
"9",9,"A1",41,6,44.4071232940204,0.135113458268258,"A"
"10",10,"A1",42,0,190.74149926318,0,"A"
"11",11,"A1",43,0,95.5503697897136,0,"A"
"12",12,"A1",44,5,123.580099670697,0.0404595886661644,"A"
"13",13,"A12",35,9,36.8773210542993,0.24405243501143,"A"
"14",14,"A12",36,7,81.2168789226893,0.0861889805770957,"A"
"15",15,"A12",37,1,14.1144356265934,0.0708494499146585,"A"
"16",16,"A12",38,4,39.3691325164237,0.101602441921506,"A"
"17",17,"A12",39,1,33.1940750698518,0.0301258582411366,"A"
"18",18,"A12",40,0,57.4872196327257,0,"A"
"19",19,"A12",41,4,92.6656535046852,0.0431659395764986,"A"
"20",20,"A12",42,1,234.409861462856,0.00426603212748563,"A"
"21",21,"A12",43,0,249.549699291294,0,"A"
"22",22,"A12",44,1,286.216852144015,0.0034938543712892,"A"
"23",23,"A5",42,0,0.241324305534363,0,"A"
"24",24,"A7",33,3,188.288018692091,0.0159330371674149,"A"
"25",25,"A7",34,26,111.303971046495,0.233594540747689,"A"
"26",26,"A7",35,4,27.8003098063227,0.1438832886348,"A"
"27",27,"A7",36,4,85.560463323031,0.0467505649764672,"A"
"28",28,"A7",37,0,3.74514609575271,0,"A"
"29",29,"A7",38,0,35.4413637774579,0,"A"
"30",30,"A7",39,17,109.824340306504,0.154792643894381,"A"
"31",31,"A7",40,2,276.242700683385,0.00724001030634396,"A"
"32",32,"A7",41,2,203.184761402466,0.0098432578614418,"A"
"33",33,"A7",42,8,347.751750579489,0.0230049165436806,"A"
"34",34,"A7",43,10,110.499661222711,0.0904980150106076,"A"
"35",35,"A7",44,3,223.755128971387,0.0134075138915973,"A"
"36",36,"B1",32,0,42.6858196663132,0,"B"
"37",37,"B1",33,0,32.440396659416,0,"B"
"38",38,"B1",34,27,18.9499747314491,1.4248040106983,"B"
"39",39,"B1",35,6,13.0961207538127,0.458150937425741,"B"
"40",40,"B1",36,11,36.6219187378819,0.30036656677471,"B"
"41",41,"B1",39,0,39.2081134563915,0,"B"
"42",42,"B1",40,3,23.2377737495982,0.129100146697653,"B"
"43",43,"B1",41,2,41.3320143370868,0.0483886409137679,"B"
"44",44,"B1",42,3,71.7249766537743,0.0418264339698761,"B"
"45",45,"B1",43,2,51.9021333271838,0.0385340615460309,"B"
"46",46,"B1",44,1,42.7567121224109,0.0233881407236608,"B"
"47",47,"B5",33,2,208.532867923334,0.00959081424389792,"B"
