"","quad","year","SP_ID","Species","area","x","y","age","survives","dormancy","trackID","distEdgeMin","allEdge","ifTrueAge"
"1","a1",23,26,"Sporobolus flexuosus",0.249999994644895,22.2000000008848,62.9300000146031,1,0,0,26,21.9500000006519,0,0
"2","a1",23,27,"Sporobolus flexuosus",0.249999994644895,11.4000000001397,62.8299999982119,1,0,0,27,11.1499999999069,0,0
"3","a1",23,29,"Sporobolus flexuosus",0.25000001792796,84.499999997206,50.5300000077114,1,0,0,29,15.2500000025611,0,0
"4","a1",23,30,"Sporobolus flexuosus",0.249999994644895,84.2000000004191,51.7299999948591,1,0,0,30,15.5499999993481,0,0
"5","a2",37,2,"Sporobolus flexuosus",1.96500002560439,39.5295928770552,55.8160559853897,1,0,0,2,38.7099999992643,0,0
"6","a2",37,4,"Sporobolus flexuosus",0.249999991734512,61.1999999993714,91.2500000093132,1,0,0,4,8.49999999627471,0,0
"7","a2",37,5,"Sporobolus flexuosus",0.249999994644895,71.1000000010245,91.8500000145286,1,1,0,5,7.8999999910593,0,0
"8","a2",38,2,"Sporobolus flexuosus",0.83700000867201,6.01059737270448,1.90963361941284,1,0,0,6,1.3499999884516,1,1
"9","a2",38,3,"Sporobolus flexuosus",0.72599999341276,10.1189531661614,3.66286502054778,1,0,0,7,2.65000001527369,1,1
"10","a2",38,4,"Sporobolus flexuosus",0.91900003438955,88.3512404824572,5.492241578847,1,0,0,8,5.15000000596046,0,1
"11","a2",38,6,"Sporobolus flexuosus",10.1739999433621,70.4237146955928,93.3656346306029,2,0,0,5,4.93000000715256,0,0
"12","a2",42,3,"Sporobolus flexuosus",1.41884998702337,0.33095288270187,7.80072811221352,1,1,0,9,0.0100000004749745,1,0
"13","a2",42,4,"Sporobolus flexuosus",47.2710001670136,40.0358812658309,18.0519149050564,1,1,0,10,14.5701635628939,0,0
"14","a2",42,5,"Sporobolus flexuosus",11.6140000203173,27.6845766615381,23.3072320705694,1,1,0,11,21.1501636076719,0,0
"15","a2",42,6,"Sporobolus flexuosus",10.0949999481975,17.8103169866342,39.9488923334854,1,1,0,12,15.9099999989849,0,0
"16","a2",42,7,"Sporobolus flexuosus",19.7740000025709,54.2558565094013,70.2185678875758,1,1,0,13,26.9498364068568,0,0
"17","a2",42,8,"Sporobolus flexuosus",48.7610000595436,69.3980881577618,91.7935168158065,1,1,0,14,3.62983639352024,0,0
"18","a2",42,9,"Sporobolus flexuosus",41.7947499195298,4.49682000616629,97.2682235060949,1,1,0,15,-0.0401635654270649,0,0
"19","a2",42,10,"Sporobolus flexuosus",18.268000043212,32.1719544283491,99.0418359117289,1,1,0,16,-0.0501635950058699,1,0
"20","a2",43,3,"Sporobolus flexuosus",14.6449999571382,1.18786502581609,5.76009417025098,2,1,0,9,0.0100000004749745,1,0
"21","a2",43,5,"Sporobolus flexuosus",55.4379999469039,40.9109670845743,16.7985339002606,2,1,0,10,12.5501635950059,0,0
"22","a2",43,6,"Sporobolus flexuosus",53.2919999720338,28.5872142110055,21.3187933956147,2,1,0,11,17.4701635725796,0,0
"23","a2",43,8,"Sporobolus flexuosus",3.60699998955894,18.5608640575665,38.3484040327776,2,1,0,12,17.6099999982398,0,0
"24","a2",43,9,"Sporobolus flexuosus",76.1175000580482,55.0588839652133,67.4345180601692,2,1,0,13,26.2998363934457,0,0
"25","a2",43,10,"Sporobolus flexuosus",52.5759999853917,69.758122724482,90.921156692248,2,1,0,14,4.74983640015125,0,0
"26","a2",43,11,"Sporobolus flexuosus",66.4062499028223,6.05436657111697,95.3933075422604,2,1,0,15,-0.000163586810231209,0,0
"27","a2",43,12,"Sporobolus flexuosus",9.46200002802606,30.6920298737455,97.7433753830619,2,1,0,16,0.309836398810148,1,0
"28","a2",43,13,"Sporobolus flexuosus",3.00465001403322,33.8524301795373,99.3305918581549,2,0,0,16,-0.0501635950058699,1,0
"29","a2",44,0,"Sporobolus flexuosus",27.2199999438319,3.27710752267094,2.95788317743439,3,1,0,9,0.109999999403954,0,0
"30","a2",44,3,"Sporobolus flexuosus",56.8837498730363,42.9336515146165,13.616848145014,3,1,0,10,9.45000001229346,0,0
"31","a2",44,4,"Sporobolus flexuosus",23.9875000589993,33.391577559896,13.5524455797706,3,0,0,10,10.9699999913573,0,0
"32","a2",44,5,"Sporobolus flexuosus",1.0810000096154,99.0737681135696,15.0755072613961,1,0,0,17,0.589999998919666,1,1
"33","a2",44,6,"Sporobolus flexuosus",46.4159999670493,29.3219563652916,19.7502529462477,3,1,0,11,15.5500000342727,0,0
"34","a2",44,7,"Sporobolus flexuosus",55.1920000471682,97.6859965219891,24.8991560591877,1,0,0,18,0.390000001061708,1,1
