"","quad","year","NRquad","totParea","recArea"
"1","a1",23,0,1.00000000186264,0
"2","a2",37,3,2.4650000119838,1.21703853363702
"3","a2",42,0,198.996600147408,0
"4","a2",43,2,334.548399853956,0.00597820823795026
"5","a2",44,0,555.118049765548,0
"6","a2",49,1,438.801249506785,0.0022789360812532
"7","a2",50,0,369.90880026954,0
"9","a3",25,2,9.12500005349284,0.219178080906909
"10","a3",26,1,39.6444999834005,0.0252241799094126
"11","a3",27,1,61.8900001227879,0.0161576991115855
"12","a3",28,0,140.869000066631,0
"13","a3",29,0,158.628999813417,0
"14","a3",30,2,75.5155000959435,0.0264846289498046
"15","a3",31,1,82.4534999981148,0.0121280479303227
"16","a3",32,0,154.377999829591,0
"17","a3",33,0,121.384499976834,0
"18","a3",34,10,39.5928999993371,0.252570536640848
"19","a3",35,9,6.87690003868485,1.30872921656153
"20","a3",36,1,14.0475000302982,0.0711870438044604
"21","a3",37,20,34.4414999075969,0.580694802887737
"22","a3",42,0,250.690000004079,0
"23","a3",43,0,309.294000266755,0
"24","a3",44,0,409.09999981657,0
"25","a3",49,0,51.2074999195652,0
"26","a4",23,0,0.749999981024302,0
"27","a4",24,0,2.05499998624902,0
"28","a4",25,0,11.0990000488693,0
"29","a4",26,0,20.2699999619112,0
"30","a4",27,0,73.5425000153587,0
"31","a4",28,0,95.1699999203975,0
"32","a4",29,0,79.8400000818621,0
"33","a4",30,0,2.88250000664964,0
"34","a4",31,0,7.19399996935995,0
"35","a4",35,10,6.75000006554183,1.48148146709644
"36","a4",36,1,67.7029999927413,0.0147703942234054
"37","a4",37,0,380.954999657073,0
"38","a4",42,0,309.504999797505,0
"39","a4",43,0,88.2049998740131,0
"40","a4",44,0,109.939000213386,0
"41","a4",49,0,12.3720000079805,0
"42","a5",15,0,27.9600000186684,0
"43","a5",16,0,40.6099999860604,0
"44","a5",17,0,42.5100000192854,0
"45","a5",23,4,8.95000002569286,0.446927373018677
"46","a5",24,5,23.954999997355,0.208724692154125
"47","a5",25,2,20.7549998596997,0.0963623229833613
"48","a5",26,3,77.9400001084455,0.0384911469826252
"49","a5",27,2,118.615000160634,0.0168612738464064
"50","a5",28,0,189.76349984808,0
"51","a5",29,0,288.6965000439,0
"52","a5",30,0,164.205199975284,0
"53","a5",31,0,181.05190020435,0
"54","a5",32,0,343.608349817247,0
"55","a5",33,0,331.849400275655,0
"56","a5",34,178,50.2101999994787,3.54509641470952
"57","a5",35,2,59.0025002681673,0.0338968686226849
"58","a5",36,2,102.632150251438,0.0194870710113762
"59","a5",37,0,466.949899695006,0
"60","a5",42,0,521.999999835942,0
"61","a5",43,0,326.458999949568,0
"62","a5",44,0,371.545000024822,0
"63","a5",49,0,287.335000261394,0
"64","a5",50,0,197.004999955306,0
"66","ar1",45,0,5.16699994287174,0
"67","ar1",49,0,28.8895998806351,0
"68","ar1",50,0,28.0460000347251,0
"70","ar4",26,0,12.3810000074676,0
"71","ar4",27,0,30.3699998942856,0
"72","ar4",28,0,11.4100000731158,0
"73","ar4",29,0,24.377200009755,0
"74","ar4",30,0,18.5399999465817,0
"75","ar4",31,0,17.9688999088029,0
"76","ar4",35,1,3.4800000011269,0.287356321746028
"77","ar4",36,0,15.7950000021793,0
"78","ar4",37,0,128.529999974153,0
"79","ar4",42,0,158.7049999803,0
"80","ar4",45,0,79.8199999473942,0
"81","ar4",46,0,88.2999998620827,0
"82","ar4",49,0,25.8150000780029,0
"83","ar4",50,0,9.07999997430481,0
"85","ar5",35,0,0.25000001792796,0
"86","ar6",26,0,37.0949999798625,0
"87","ar6",27,0,56.5250000409665,0
"88","ar6",28,0,43.3200000051945,0
"89","ar6",29,0,25.9034998746505,0
"90","ar6",30,0,2.21499996856088,0
"91","ar6",31,0,25.5849998922995,0
"92","ar6",32,0,14.0000000580912,0
"93","ar6",33,0,12.0900000407966,0
"94","ar6",35,0,1.00000000186264,0
"95","b1",15,2,414.834000168167,0.00482120558871556
"96","b1",18,0,88.7550000057136,0
"97","b1",19,0,93.2499999766587,0
"98","b1",20,0,95.4250000674393,0
"99","b1",21,0,101.23499999421,0
"100","b1",22,0,63.9815000139587,0
"101","b1",23,3,43.8899999422859,0.0683527000215291
"102","b1",24,0,107.186000244301,0
"103","b1",25,1,67.1299998752121,0.0148964695644108
"104","b1",26,0,272.270000185079,0
"105","b1",27,0,272.367499970242,0
"106","b1",28,0,246.539000007605,0
"107","b1",29,0,217.508549781457,0
"108","b1",30,0,184.236699936774,0
"109","b1",31,0,98.0749999593361,0
"110","b1",32,0,169.936500041524,0
"111","b1",33,0,145.993250219355,0
"112","b1",34,10,129.669999873773,0.0771188402077155
"113","b1",35,1,33.2700000358932,0.0300571084737347
"114","b1",36,3,24.1099999623117,0.124429697415576
"115","b1",37,3,75.4081000811717,0.0397835245387525
"116","b1",49,0,84.404999966179,0
"117","b1",50,0,32.1100000450248,0
"119","b2",19,0,1.62999998283805,0
"120","b2",20,0,4.23000001212815,0
"121","b2",21,0,2.0400000471063,0
"122","b2",22,1,3.60999995352235,0.277008313815705
"123","b2",23,1,1.88000002899673,0.531914885412876
"124","b2",24,0,9.09500004557893,0
"125","b2",25,0,4.13499994984362,0
