"species","quad","year","genetID","BOER.0.2","BOER.2.4","BOER.4.6","BOER.6.8","BOER.8.10","BOER.10.12","BOER.12.14","BOER.14.16","BOER.16.18","BOER.18.20","BOER.20.25","BOER.25.30","BOER.30.35","BOER.35.40","BOER.40.45","BOER.45.50","BOER.50.60","BOER.60.70","BOER.70.80","BOER.80.90","BOER.90.100","BOER.100.110","BOER.110.120","BOER.120.130","BOER.130.140","BOER.140.150","GUSA.0.2","GUSA.2.4","GUSA.4.6","GUSA.6.8","GUSA.8.10","GUSA.10.12","GUSA.12.14","GUSA.14.16","GUSA.16.18","GUSA.18.20","GUSA.20.25","GUSA.25.30","GUSA.30.35","GUSA.35.40","GUSA.40.45","GUSA.45.50","GUSA.50.60","GUSA.60.70","GUSA.70.80","GUSA.80.90","GUSA.90.100","GUSA.100.110","GUSA.110.120","GUSA.120.130","GUSA.130.140","GUSA.140.150","SCBR.0.2","SCBR.2.4","SCBR.4.6","SCBR.6.8","SCBR.8.10","SCBR.10.12","SCBR.12.14","SCBR.14.16","SCBR.16.18","SCBR.18.20","SCBR.20.25","SCBR.25.30","SCBR.30.35","SCBR.35.40","SCBR.40.45","SCBR.45.50","SCBR.50.60","SCBR.60.70","SCBR.70.80","SCBR.80.90","SCBR.90.100","SCBR.100.110","SCBR.110.120","SCBR.120.130","SCBR.130.140","SCBR.140.150","SPFL.0.2","SPFL.2.4","SPFL.4.6","SPFL.6.8","SPFL.8.10","SPFL.10.12","SPFL.12.14","SPFL.14.16","SPFL.16.18","SPFL.18.20","SPFL.20.25","SPFL.25.30","SPFL.30.35","SPFL.35.40","SPFL.40.45","SPFL.45.50","SPFL.50.60","SPFL.60.70","SPFL.70.80","SPFL.80.90","SPFL.90.100","SPFL.100.110","SPFL.110.120","SPFL.120.130","SPFL.130.140","SPFL.140.150","propQ.0.2","propQ.2.4","propQ.4.6","propQ.6.8","propQ.8.10","propQ.10.12","propQ.12.14","propQ.14.16","propQ.16.18","propQ.18.20","propQ.20.25","propQ.25.30","propQ.30.35","propQ.35.40","propQ.40.45","propQ.45.50","propQ.50.60","propQ.60.70","propQ.70.80","propQ.80.90","propQ.90.100","propQ.100.110","propQ.110.120","propQ.120.130","propQ.130.140","propQ.140.150"
"SPFL","a1",23,26,0,0,0,0,0,0,0,0,0,2.48214122955256,4.59897370350122,1.55920227742785,18.5867235728646,17.7364592641538,0,9.71840422542441,61.8161831870746,35.043212566501,0,0,12.8149999805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249999994999999,0,0,0,0,0,0,0,0,0,0,0,0.500000015000001,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.977905714503691,0.923632663068697,0.874819426100848,0.82251265847665,0.758208304534071,0.70346308924561,0.621141698061479,0.545092694501562,0.471161407703574,0.388757291685279,0.318362061962104,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"SPFL","a1",23,27,0,0,0,0,0,0,0,0,1.17695715281155,1.37304282868846,0.474801491593621,7.89769849290637,5.72795636874661,18.4978503406484,9.81519337210504,9.58167850814468,14.0633213928553,49.8194831811857,33.1133168968143,0,0.556651350512681,12.2583486299874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249999994999999,0,0,0,0,0,0,0,0,0,0,0,0,0.500000015000001,0,0,0,0,0,0,0,1,1,1,1,1,0.993355401623149,0.953349529362688,0.911599771175392,0.874350427590082,0.842157916103704,0.779919596590316,0.735978783070013,0.703645157503413,0.668217580251008,0.625200129156723,0.588449782463219,0.53133379484522,0.475108884113676,0.420258307542849,0.373839523749945,0.315729342740772,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"SPFL","a1",23,29,0,0,0,0,0,0,0,0,0,6.48145709644013,26.3335429975598,0,14.3748207895082,17.7822505839892,8.77878032464352,15.8276137049801,9.96699037643538,38.1971568923989,20.7150496718767,5.8986375691681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249999995000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249999995,0.249999995,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.996712473844407,0.969611035300543,0.938174601871058,0.867735866148749,0.813659201542575,0.772444664808914,0.740387961201329,0.714880626015905,0.693513093231175,0.59725665813099,0.513083976866443,0.447319117384436,0.386503089768731,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"SPFL","a1",23,30,0,0,0,0,0,0,0,0,1.89867016069399,12.1814242585981,18.7349056747079,0.0225375457561228,20.0962655470674,14.9236227305371,5.60537410613944,15.0062950025924,10.434522646777,39.2721219775261,20.0210998249837,6.15946053162088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250000019999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249999995,0.249999995,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.999170848643433,0.974851019646467,0.944119654672423,0.87369305234066,0.819090495075326,0.777325764749126,0.744782303963444,0.718860005136388,0.693957895937187,0.599547246130947,0.514853305931418,0.448703375000191,0.386871520999815,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"SPFL","a2",37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.837999989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249999995000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66133814775094e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249999995000003,0.249999995000003,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999243923483562,0.973599196121825,0.920980329036965,0.797950095490392,0.637465034513109,0.497174559779235,0.393039817396786,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"SPFL","a2",37,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.837999989,0,0,0,0,0,0,0,0.249999995000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-16,0,0,0,0.165013681897069,0.0849863131029336,0,0,0,0,0,0,0,0,1.965000032,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.973999299888951,0.918953323312856,0.870226953681237,0.829945424672855,0.796828923133187,0.769382339431201,0.718197517624739,0.683028152957623,0.657493916273387,0.635082897787616,0.599866217783127,0.567944902249148,0.516718602593077,0.460681701112632,0.408687655159552,0.365625488477468,0.314779569545489,0.263109299250868,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"SPFL","a2",37,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.837999989,0,0,0,0,0,0,0,0,0,0,0,0,0.249999995000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-16,0,0,0,0.165013680633669,0.084986314366334,0,0,0,0,0,0,0,0,0,1.965000032,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.953613214659444,0.896361288823777,0.848476607146702,0.809674284385913,0.778091997822438,0.752071967776482,0.703817125547492,0.666633090880708,0.613420409835124,0.569292085673961,0.533721846202797,0.504816421759291,0.461112899639434,0.429873765277797,0.392049626899923,0.354528622616532,0.309032221403508,0.262051083234497,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"SPFL","a2",38,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50900003750001,3.119999948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.838598489992913,0.0804015325070839,0.725999991,0.837000012000001,0,0,0,1,1,1,0.958793255968091,0.888939400762792,0.833129845242665,0.789999194715787,0.756220237878375,0.729234127776135,0.707255151545031,0.666951662852327,0.638644100679734,0.593109894845266,0.553288366958976,0.520601520660088,0.493759386951646,0.452789354391759,0.423259847047321,0.385760443533846,0.349355852860491,0.307909290518205,0.261745142111678,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"SPFL","a2",38,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01184809527238,3.00050316706995,0.616648723157681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11022302462516e-16,0.00185107661180628,0.724148914388194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.919000022500003,0,0,10.1739999165,0,0,0,0.994289556289485,0.791973375098788,0.699159615261639,0.596574720704911,0.5260537954685,0.478324462181768,0.444277517907984,0.41888867618061,0.399276532283658,0.383693370478723,0.355930775780047,0.337660345253384,0.324741353124043,0.315129716471254,0.307702595880502,0.301792236462446,0.292981586089962,0.286729398843161,0.282063871810787,0.278449204661356,0.269690951602387,0.243747096473465,0.215240464981794,0.187721822334858,0.162429720455475,0.141494334262925
"SPFL","a2",38,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50900003750001,3.119999948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149681728898288,0.822031839110171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.919000022500003,0,0,10.1508229195308,0.0231769969691999,0,0,0,1,0.985519666831217,0.862956413686124,0.78097191926528,0.727878425642091,0.659412048376379,0.600609522545592,0.555281706526671,0.519771127155251,0.491370230791795,0.440591615055786,0.407183169897047,0.383622819595071,0.366147879994278,0.352684923643177,0.342001549169972,0.32613086252114,0.314914625265317,0.306571661415882,0.300099274089956,0.281108981420992,0.249600557550135,0.217906098667414,0.188320907162033,0.162429720455475,0.141494334262925
