"","quad","year","SP_ID","Species","area","x","y","age","survives","dormancy","trackID","distEdgeMin","allEdge"
"12","q21",36,46,"Bouteloua hirsuta",21.31911,45.5506,34.29965,1,0,0,6,31.140022277832,0
"16","q21",37,40,"Bouteloua hirsuta",23.94982,62.41237,0.8154315,1,1,0,7,-0.053023025393486,1
"19","q21",38,32,"Bouteloua hirsuta",32.74408,63.42602,1.137706,2,1,0,7,-0.00246053584851325,1
"22","q21",40,3,"Bouteloua hirsuta",10.82159,41.47295,97.02816,1,1,0,8,1.35154724121094,0
"23","q21",40,4,"Bouteloua hirsuta",3.890927,11.60721,97.03252,1,1,0,9,1.80271148681641,1
"24","q21",40,7,"Bouteloua hirsuta",4.566133,26.16365,93.40094,1,0,0,10,4.99559783935547,0
"25","q21",40,10,"Bouteloua hirsuta",6.073464,65.62953,91.92061,1,1,0,11,6.43527984619141,0
"26","q21",40,18,"Bouteloua hirsuta",12.61773,82.14128,83.41294,1,1,0,12,13.4485931396484,0
"27","q21",40,19,"Bouteloua hirsuta",12.39471,37.702,82.60336,1,1,0,13,15.5029678344727,0
"28","q21",40,20,"Bouteloua hirsuta",6.226099,88.38353,82.41863,1,0,0,14,10.532356262207,0
"29","q21",40,21,"Bouteloua hirsuta",3.383582,59.61221,82.69118,1,0,0,15,16.0047073364258,0
"30","q21",40,28,"Bouteloua hirsuta",6.358289,54.28895,74.95141,1,1,0,16,23.251823425293,0
"31","q21",40,31,"Bouteloua hirsuta",13.67272,79.12784,70.5114,1,1,0,17,19.1975021362305,0
"32","q21",40,32,"Bouteloua hirsuta",18.29435,39.80937,66.08864,1,1,0,18,31.5701675415039,0
"34","q21",40,38,"Bouteloua hirsuta",6.923669,78.74878,54.27687,1,1,0,19,20.0617904663086,0
"35","q21",40,55,"Bouteloua hirsuta",2.100275,25.01825,23.06661,1,1,0,20,21.5356750488281,0
"36","q21",40,56,"Bouteloua hirsuta",5.454968,82.6334,20.49145,1,1,0,21,16.4496459960938,0
"38","q21",40,61,"Bouteloua hirsuta",1.679919,23.48633,10.88091,1,0,0,22,9.76850318908691,0
"40","q21",40,63,"Bouteloua hirsuta",8.951324,73.18096,7.313952,4,1,1,7,4.96682024002075,0
"41","q21",41,2,"Bouteloua hirsuta",26.21659,40.00542,97.87045,2,1,0,8,0.00099945068359375,1
"42","q21",41,5,"Bouteloua hirsuta",13.27651,11.02042,96.07481,2,1,0,9,2.19196319580078,0
"43","q21",41,12,"Bouteloua hirsuta",24.69319,36.28973,82.78973,2,0,0,13,14.3740768432617,0
"44","q21",41,14,"Bouteloua hirsuta",16.86189,82.66103,80.01878,2,1,0,12,14.9113693237305,0
