"","quad","year","SP_ID","Species","area","x","y","age","survives","dormancy","trackID","distEdgeMin","allEdge","ifTrueAge"
"1","q11",66,5,"Bouteloua hirsuta",57.8264,65.074,95.07464,1,0,0,-Inf,2.27784729003906,0,0
"2","q11",66,68,"Bouteloua hirsuta",20.0801,82.40858,6.049236,1,0,0,-Inf,1.77233970165253,0,0
"3","q20",72,7,"Bouteloua hirsuta",15.47095,33.52827,91.97456,1,0,0,-Inf,4.80579376220703,0,0
"4","q21",32,1,"Bouteloua hirsuta",58.07006,19.55115,12.63464,1,0,0,1,9.94812297821045,0,0
"5","q21",32,2,"Bouteloua hirsuta",42.18017,5.876337,13.30524,1,0,0,2,2.2464873790741,0,0
"6","q21",34,6,"Bouteloua hirsuta",20.27935,87.06828,67.29292,1,1,0,3,10.3988342285156,0,0
"7","q21",34,17,"Bouteloua hirsuta",60.71061,87.31686,24.22426,1,0,0,4,7.70546722412109,0,0
"8","q21",34,18,"Bouteloua hirsuta",94.36138,87.39967,9.615316,1,1,0,5,3.34566640853882,0,0
"9","q21",35,16,"Bouteloua hirsuta",11.0016,91.99465,65.2288,2,1,0,3,6.01095581054688,0,0
"10","q21",35,41,"Bouteloua hirsuta",26.41112,87.31683,6.760986,2,1,0,5,4.23444366455078,0,0
"11","q21",36,24,"Bouteloua hirsuta",26.79545,92.16244,66.61717,3,1,0,3,4.30419158935547,0,0
"12","q21",36,46,"Bouteloua hirsuta",21.31911,45.5506,34.29965,1,0,0,6,31.140022277832,0,1
"13","q21",36,60,"Bouteloua hirsuta",21.90741,88.95397,4.841741,3,1,0,5,2.2425012588501,0,0
"14","q21",37,14,"Bouteloua hirsuta",61.78376,91.62307,66.03481,4,1,0,3,3.96135711669922,0,0
"15","q21",37,37,"Bouteloua hirsuta",47.53263,89.46851,5.623011,4,1,0,5,1.22871077060699,0,0
"16","q21",37,40,"Bouteloua hirsuta",23.94982,62.41237,0.8154315,1,1,0,7,-0.053023025393486,1,1
"17","q21",38,11,"Bouteloua hirsuta",107.5887,91.96507,64.69355,5,1,0,3,2.16246795654297,0,0
"18","q21",38,31,"Bouteloua hirsuta",74.76353,86.1187,4.830492,5,1,0,5,-0.00480696465820074,0,0
"19","q21",38,32,"Bouteloua hirsuta",32.74408,63.42602,1.137706,2,1,0,7,-0.00246053584851325,1,1
"20","q21",39,29,"Bouteloua hirsuta",130.4947,90.32272,65.28696,6,1,0,3,4.46022033691406,0,0
"21","q21",39,55,"Bouteloua hirsuta",68.7293,86.51977,5.968787,6,1,0,5,0.739922881126404,0,0
"22","q21",40,3,"Bouteloua hirsuta",10.82159,41.47295,97.02816,1,1,0,8,1.35154724121094,0,1
"23","q21",40,4,"Bouteloua hirsuta",3.890927,11.60721,97.03252,1,1,0,9,1.80271148681641,1,1
"24","q21",40,7,"Bouteloua hirsuta",4.566133,26.16365,93.40094,1,0,0,10,4.99559783935547,0,1
"25","q21",40,10,"Bouteloua hirsuta",6.073464,65.62953,91.92061,1,1,0,11,6.43527984619141,0,1
"26","q21",40,18,"Bouteloua hirsuta",12.61773,82.14128,83.41294,1,1,0,12,13.4485931396484,0,1
"27","q21",40,19,"Bouteloua hirsuta",12.39471,37.702,82.60336,1,1,0,13,15.5029678344727,0,1
"28","q21",40,20,"Bouteloua hirsuta",6.226099,88.38353,82.41863,1,0,0,14,10.532356262207,0,1
"29","q21",40,21,"Bouteloua hirsuta",3.383582,59.61221,82.69118,1,0,0,15,16.0047073364258,0,1
"30","q21",40,28,"Bouteloua hirsuta",6.358289,54.28895,74.95141,1,1,0,16,23.251823425293,0,1
"31","q21",40,31,"Bouteloua hirsuta",13.67272,79.12784,70.5114,1,1,0,17,19.1975021362305,0,1
"32","q21",40,32,"Bouteloua hirsuta",18.29435,39.80937,66.08864,1,1,0,18,31.5701675415039,0,1
"33","q21",40,34,"Bouteloua hirsuta",2.162604,89.95689,64.91357,7,1,0,3,9.47710418701172,0,0
"34","q21",40,38,"Bouteloua hirsuta",6.923669,78.74878,54.27687,1,1,0,19,20.0617904663086,0,1
"35","q21",40,55,"Bouteloua hirsuta",2.100275,25.01825,23.06661,1,1,0,20,21.5356750488281,0,1
"36","q21",40,56,"Bouteloua hirsuta",5.454968,82.6334,20.49145,1,1,0,21,16.4496459960938,0,1
"37","q21",40,60,"Bouteloua hirsuta",2.115636,85.89046,12.11397,7,1,0,5,10.7426443099976,0,0
"38","q21",40,61,"Bouteloua hirsuta",1.679919,23.48633,10.88091,1,0,0,22,9.76850318908691,0,1
"39","q21",40,62,"Bouteloua hirsuta",1.992948,88.87785,10.17693,7,0,0,5,8.71293640136719,0,0
"40","q21",40,63,"Bouteloua hirsuta",8.951324,73.18096,7.313952,4,1,1,7,4.96682024002075,0,1
"41","q21",41,2,"Bouteloua hirsuta",26.21659,40.00542,97.87045,2,1,0,8,0.00099945068359375,1,1
"42","q21",41,5,"Bouteloua hirsuta",13.27651,11.02042,96.07481,2,1,0,9,2.19196319580078,0,1
"43","q21",41,12,"Bouteloua hirsuta",24.69319,36.28973,82.78973,2,0,0,13,14.3740768432617,0,1
"44","q21",41,14,"Bouteloua hirsuta",16.86189,82.66103,80.01878,2,1,0,12,14.9113693237305,0,1
"45","q21",41,15,"Bouteloua hirsuta",13.6442,98.09196,76.54137,1,1,0,23,0.00728607177734375,1,1
"46","q21",41,19,"Bouteloua hirsuta",15.55598,77.0224,69.988,2,1,0,17,20.3862838745117,0,1
"47","q21",41,21,"Bouteloua hirsuta",24.27583,87.757,65.24619,8,1,0,3,9.63390350341797,0,0
"48","q21",41,23,"Bouteloua hirsuta",8.114182,76.50059,59.59315,2,1,0,19,21.8301010131836,0,1
"49","q21",41,25,"Bouteloua hirsuta",4.954873,77.05977,53.78361,2,0,0,19,21.5877075195312,0,1
"50","q21",41,41,"Bouteloua hirsuta",6.742374,82.39515,20.37355,2,1,0,21,16.1682586669922,0,1
"51","q21",41,42,"Bouteloua hirsuta",19.92944,24.59841,17.66935,2,1,0,20,15.1023979187012,0,1
"52","q21",41,46,"Bouteloua hirsuta",7.143157,86.43514,14.00956,8,1,0,5,11.844931602478,0,0
"53","q21",41,48,"Bouteloua hirsuta",4.052322,88.48077,10.25042,8,0,0,5,8.75139141082764,0,0
"54","q21",41,49,"Bouteloua hirsuta",18.21828,72.77177,7.235416,5,1,0,7,4.34869003295898,0,1
"55","q21",42,2,"Bouteloua hirsuta",8.172918,15.66439,96.83281,3,0,0,9,1.82112121582031,1,1
"56","q21",42,3,"Bouteloua hirsuta",23.94874,19.01559,93.98341,3,1,0,9,3.80693054199219,0,1
"57","q21",42,4,"Bouteloua hirsuta",32.56244,9.46511,92.72467,3,1,0,9,4.70203399658203,0,1
"58","q21",42,6,"Bouteloua hirsuta",45.49834,61.71928,85.99664,3,1,1,11,10.7513122558594,0,1
"59","q21",42,9,"Bouteloua hirsuta",148.9904,78.65787,80.10365,3,1,0,12,12.0570983886719,0,1
"60","q21",42,10,"Bouteloua hirsuta",59.97174,96.39738,76.51192,2,1,0,23,0.435661315917969,0,1
"61","q21",42,12,"Bouteloua hirsuta",120.1271,74.91857,68.83533,3,1,0,17,19.1229934692383,0,1
"62","q21",42,13,"Bouteloua hirsuta",24.89017,52.87732,71.63055,3,1,1,16,25.9427719116211,0,1
"63","q21",42,14,"Bouteloua hirsuta",100.6613,85.57784,65.86861,9,1,0,3,8.63099670410156,0,0
"64","q21",42,15,"Bouteloua hirsuta",84.54996,36.54169,65.90855,3,1,1,18,29.2023544311523,0,1
"65","q21",42,17,"Bouteloua hirsuta",58.76305,75.54481,54.75123,3,1,0,19,20.1049728393555,0,1
"66","q21",42,18,"Bouteloua hirsuta",38.21732,91.42187,55.27121,9,1,0,3,5.67142486572266,0,0
"67","q21",42,28,"Bouteloua hirsuta",57.17618,81.02991,22.07421,3,1,0,21,14.5900421142578,0,1
"68","q21",42,29,"Bouteloua hirsuta",45.26533,23.13735,18.65544,3,1,0,20,13.7997913360596,0,1
"69","q21",42,32,"Bouteloua hirsuta",79.87494,87.09705,15.54526,9,0,0,5,8.09653472900391,0,0
"70","q21",42,36,"Bouteloua hirsuta",80.06492,73.14776,9.049807,6,1,0,7,3.51968479156494,0,1
"71","q21",43,2,"Bouteloua hirsuta",42.08963,40.93673,97.55058,4,1,1,8,0.00722503662109375,0,1
"72","q21",43,3,"Bouteloua hirsuta",4.379987,17.44353,99.44328,4,0,0,9,0.0512771606445312,1,1
"73","q21",43,5,"Bouteloua hirsuta",27.75457,10.4603,95.04388,4,1,0,9,2.61285400390625,0,1
"74","q21",43,6,"Bouteloua hirsuta",16.60099,20.75142,95.03871,4,1,0,9,3.04225921630859,0,1
"75","q21",43,10,"Bouteloua hirsuta",46.10403,93.31848,88.88711,3,1,0,23,3.70693969726562,0,1
"76","q21",43,11,"Bouteloua hirsuta",33.06819,64.67938,88.27704,4,1,0,11,8.60982513427734,0,1
"77","q21",43,14,"Bouteloua hirsuta",44.66387,83.63486,81.18139,4,1,0,12,11.9553756713867,0,1
"78","q21",43,15,"Bouteloua hirsuta",29.11568,35.72857,79.4258,4,1,0,18,16.8680572509766,0,1
"79","q21",43,17,"Bouteloua hirsuta",15.23958,4.787678,79.96213,1,1,0,24,2.03443932533264,0,1
