"","quad","year","trackID","area.t1","area.t0","age","allEdge","distEdgeMin","Group","Grazing"
"1","q21",37,7,32.74408,23.94982,1,1,-0.053023025393486,"lb1","No"
"2","q21",40,12,16.86189,12.61773,1,0,13.4485931396484,"lb1","No"
"3","q21",40,13,24.69319,12.39471,1,0,15.5029678344727,"lb1","No"
"4","q21",40,17,15.55598,13.67272,1,0,19.1975021362305,"lb1","No"
"5","q21",40,19,13.069055,6.923669,1,0,20.0617904663086,"lb1","No"
"6","q21",40,20,19.92944,2.100275,1,0,21.5356750488281,"lb1","No"
"7","q21",40,21,6.742374,5.454968,1,0,16.4496459960938,"lb1","No"
"8","q21",40,7,18.21828,8.951324,4,0,4.96682024002075,"lb1","No"
"9","q21",40,8,26.21659,10.82159,1,0,1.35154724121094,"lb1","No"
"10","q21",40,9,13.27651,3.890927,1,1,1.80271148681641,"lb1","No"
"11","q21",41,12,148.9904,16.86189,2,0,14.9113693237305,"lb1","No"
"12","q21",41,17,120.1271,15.55598,2,0,20.3862838745117,"lb1","No"
"13","q21",41,19,58.76305,13.069055,2,0,21.5877075195312,"lb1","No"
"14","q21",41,20,45.26533,19.92944,2,0,15.1023979187012,"lb1","No"
"15","q21",41,21,57.17618,6.742374,2,0,16.1682586669922,"lb1","No"
"16","q21",41,23,59.97174,13.6442,1,1,0.00728607177734375,"lb1","No"
"17","q21",41,7,80.06492,18.21828,5,0,4.34869003295898,"lb1","No"
"18","q21",41,9,64.684098,13.27651,2,0,2.19196319580078,"lb1","No"
"19","q21",42,11,33.06819,45.49834,3,0,10.7513122558594,"lb1","No"
"20","q21",42,12,44.66387,148.9904,3,0,12.0570983886719,"lb1","No"
"21","q21",42,16,48.98088,24.89017,3,0,25.9427719116211,"lb1","No"
"22","q21",42,17,66.11322,120.1271,3,0,19.1229934692383,"lb1","No"
"23","q21",42,18,117.36423,84.54996,3,0,29.2023544311523,"lb1","No"
"24","q21",42,19,37.38192,58.76305,3,0,20.1049728393555,"lb1","No"
"25","q21",42,20,61.95958,45.26533,3,0,13.7997913360596,"lb1","No"
"26","q21",42,21,55.68511,57.17618,3,0,14.5900421142578,"lb1","No"
"27","q21",42,23,65.02607,59.97174,2,0,0.435661315917969,"lb1","No"
"28","q21",42,7,35.93612,80.06492,6,0,3.51968479156494,"lb1","No"
"29","q21",42,9,48.735547,64.684098,3,0,1.82112121582031,"lb1","No"
"30","q21",43,11,36.38481,33.06819,4,0,8.60982513427734,"lb1","No"
"31","q21",43,12,91.35139,44.66387,4,0,11.9553756713867,"lb1","No"
"32","q21",43,16,40.25068,48.98088,4,0,22.8761291503906,"lb1","No"
"33","q21",43,18,107.60414,117.36423,4,0,16.8680572509766,"lb1","No"
"34","q21",43,19,50.26379,37.38192,4,0,18.1387176513672,"lb1","No"
"35","q21",43,20,39.45012,61.95958,4,0,8.56161785125732,"lb1","No"
"36","q21",43,21,204.0113,55.68511,4,0,10.0321884155273,"lb1","No"
"37","q21",43,24,13.3649,15.23958,1,0,2.03443932533264,"lb1","No"
"38","q21",43,7,53.67698,35.93612,7,0,2.99789690971375,"lb1","No"
"39","q21",43,8,65.9358,42.08963,4,0,0.00722503662109375,"lb1","No"
"40","q21",43,9,84.63659,48.735547,4,0,0.0512771606445312,"lb1","No"
"41","q21",44,11,51.36433,36.38481,5,0,7.79916381835938,"lb1","No"
"42","q21",44,12,68.79275,91.35139,5,0,11.2067794799805,"lb1","No"
"43","q21",44,18,156.37857,107.60414,5,0,10.9962158203125,"lb1","No"
"44","q21",44,19,28.30066,50.26379,5,0,19.0277786254883,"lb1","No"
"45","q21",44,20,71.308229,39.45012,5,0,8.90280151367188,"lb1","No"
"46","q21",44,21,127.9049,204.0113,5,0,4.85966491699219,"lb1","No"
"47","q21",44,26,16.30665,16.72898,1,1,-0.0793914794921875,"lb1","No"
