"","quad","year","SP_ID","Species","area","x","y","age","survives","dormancy","trackID","distEdgeMin","allEdge"
"89","a1",19,14,"Bouteloua eriopoda",0.87999999541091,37.7333333327745,27.8687500158185,1,1,0,66,27.4000000208616,0
"92","a1",19,17,"Bouteloua eriopoda",0.68000003200024,23.5235294114719,38.4078431458265,1,1,0,67,22.9999999981374,0
"93","a1",19,18,"Bouteloua eriopoda",0.5400000076415,21.493827160574,40.0358024804785,1,1,0,68,21.0000000020955,0
"94","a1",19,21,"Bouteloua eriopoda",1.6449999761139,25.512360688137,54.2511651695659,1,0,0,69,24.5999999984633,0
"104","a1",20,6,"Bouteloua eriopoda",1.04499999274965,97.8205263151089,12.6036842181438,1,0,0,70,1.29000000306405,1
"116","a1",20,18,"Bouteloua eriopoda",1.10750001760433,33.5263280649487,30.1265011464715,2,0,0,66,29.4300000183284,0
"118","a1",20,20,"Bouteloua eriopoda",0.81000000971602,28.0433333299694,34.1608642150612,1,0,0,71,27.5099999969825,0
"119","a1",20,21,"Bouteloua eriopoda",0.88499998831889,27.97026364981,36.6895103669637,2,0,0,67,27.3099999991246,0
"120","a1",20,22,"Bouteloua eriopoda",2.18499999743421,15.6389092285056,38.0264149624243,2,1,0,68,14.9099999980535,0
"121","a1",20,23,"Bouteloua eriopoda",4.73499993466306,26.9553009438898,39.345205921555,2,1,0,67,25.3099999972619,0
"122","a1",20,25,"Bouteloua eriopoda",1.30000000154832,13.7905128207136,44.590000022937,1,1,0,72,13.1099999998696,0
"132","a1",21,2,"Bouteloua eriopoda",0.67000000311062,0.23587064681198,2.39965175354686,1,0,0,73,0.0100000004749745,1
"139","a1",21,9,"Bouteloua eriopoda",0.99000000760658,2.77969696855342,14.0390909178126,1,0,0,74,2.21000000019558,1
"145","a1",21,15,"Bouteloua eriopoda",7.62500000052387,15.3056939901002,36.9821748798914,3,1,0,68,13.5100000014063,0
"146","a1",21,16,"Bouteloua eriopoda",4.72999997027684,25.1815644773913,36.8167864826815,3,0,0,67,23.410000000149,0
"147","a1",21,17,"Bouteloua eriopoda",5.69500001887325,27.0921188139689,38.8930377657924,3,1,0,67,25.5100000009406,0
"148","a1",21,18,"Bouteloua eriopoda",1.17499997715931,18.6691489380088,39.8169503726178,3,0,0,68,18.0099999997765,0
"149","a1",21,19,"Bouteloua eriopoda",0.68500002025161,18.9545255500743,43.0618734967307,2,0,0,72,18.3100000023842,0
"150","a1",21,21,"Bouteloua eriopoda",1.66500000566244,14.9202102075222,45.256426443321,2,1,0,72,14.1100000008009,0
"151","a1",21,25,"Bouteloua eriopoda",0.50999998820247,89.8992156838164,60.7976470646135,1,0,0,75,9.69000000040978,0
"155","a1",21,30,"Bouteloua eriopoda",1.05999997962266,84.8640880499325,96.741477996201,1,0,0,76,2.57000001147389,1
"156","a1",21,31,"Bouteloua eriopoda",2.87999998225598,69.2815277792861,97.3193518761886,1,0,0,77,1.76999997347593,1
"169","a1",22,12,"Bouteloua eriopoda",4.28499992131023,15.0397160647925,37.607596280576,4,1,0,68,13.4099999966566,0
"171","a1",22,14,"Bouteloua eriopoda",2.36999997309875,28.5355274253284,38.1589732928919,4,1,0,67,27.5099999969825,0
"172","a1",22,15,"Bouteloua eriopoda",1.35500002947403,14.9529274308499,44.9710824205542,3,1,0,72,14.2099999997299,0
"189","a1",23,11,"Bouteloua eriopoda",0.7374999907508,15.6614124306022,38.3438418187665,5,1,0,68,15.0099999969825,0
"190","a1",23,12,"Bouteloua eriopoda",4.51499997546431,26.7525618256686,39.3958176584052,5,1,0,67,25.4100000020117,0
"191","a1",23,13,"Bouteloua eriopoda",2.54999998263083,14.9689542457106,45.1632026238295,4,1,0,72,14.1100000008009,0
"208","a1",24,9,"Bouteloua eriopoda",12.2200000252062,15.7370049106198,36.5579187191001,6,0,0,68,13.5100000014063,0
"210","a1",24,11,"Bouteloua eriopoda",4.58000002180226,28.219243085563,38.0337117976179,6,1,0,67,26.7099999997299,0
"211","a1",24,12,"Bouteloua eriopoda",6.86500001622131,14.3984680746462,44.9851833062408,5,1,0,72,12.609999999404,0
"225","a1",25,7,"Bouteloua eriopoda",3.75999997854,13.0762677238911,25.2401507146126,1,0,0,78,11.9100000010803,0
"226","a1",25,8,"Bouteloua eriopoda",1.95000001614681,48.9706837584233,25.0150427471117,1,1,0,79,24.2300000041723,0
"228","a1",25,10,"Bouteloua eriopoda",1.45999999666587,44.3778082173068,26.6265753563591,1,1,0,80,25.8300000336021,0
"231","a1",25,13,"Bouteloua eriopoda",2.27999999830965,18.3861695894665,47.9781725434789,6,1,0,72,17.3100000014529,0
"232","a1",25,15,"Bouteloua eriopoda",0.9550000167964,21.66968586531,54.7647295081947,1,0,0,81,21.1100000014994,0
"233","a1",25,16,"Bouteloua eriopoda",0.76500000573229,24.2686056592124,55.1487363946852,1,0,0,82,23.7099999969359,0
"234","a1",25,17,"Bouteloua eriopoda",0.72000000727829,97.4294444434606,57.042499994562,1,0,0,83,2.09000000031665,1
"243","a1",26,2,"Bouteloua eriopoda",2.96499998829328,43.3391736917654,24.5971163736744,2,1,0,79,23.4300000127405,0
"244","a1",26,3,"Bouteloua eriopoda",2.71999997345964,39.1468872555696,24.6578799147322,2,0,0,80,23.7300000153482,0
"248","a1",26,7,"Bouteloua eriopoda",2.32499999385327,27.9920071701845,43.728853056006,8,0,1,67,27.1100000012666,0
