"","quad","year","trackID","area.t1","area.t0","age","allEdge","distEdgeMin"
"1","a1",17,0,7.33150004068762,2.82499998459825,3,1,2.21000001765788
"2","a1",17,2,12.5254999739588,36.7075001383387,3,0,2.60999999009073
"3","a1",17,21,13.7500000330619,4.45499996627215,3,0,22.4715991178527
"4","a1",17,33,5.35650002350472,1.82999998495681,3,0,17.6284008834045
"5","a1",17,42,3.73549997394253,7.68500003125286,3,0,18.8899999950081
"6","a1",17,44,3.11049998351769,21.7800000355043,3,0,6.68999999761581
"7","a1",17,6,4.69499997003702,9.27999999679625,3,0,9.01000001467764
"8","a1",17,60,2.16800001811283,1.07500002615852,3,0,5.57159911841154
"9","a1",18,0,16.3750000727014,7.33150004068762,4,1,-0.00594238517805934
"10","a1",18,2,18.9100000434299,12.5254999739588,4,0,0.230000028386712
"11","a1",18,21,10.8850001058983,13.7500000330619,4,0,23.2159423816483
"12","a1",18,33,2.07800001829444,5.35650002350472,4,0,13.5940576146822
"13","a1",18,42,3.67500000189757,3.73549997394253,4,0,17.6699999719858
"14","a1",18,44,2.53500002195127,3.11049998351769,4,0,9.07000000588596
"15","a1",18,6,9.34000001210021,4.69499997003702,4,0,10.6059423822444
"16","a1",18,60,9.3750000037835,2.16800001811283,4,0,5.81594238174148
"17","a1",19,0,34.6199999307236,16.3750000727014,5,0,0.500000000465661
"18","a1",19,11,2.32750003017951,1.4099999863864,5,0,18.9999999944121
"19","a1",19,2,32.7999998594052,18.9100000434299,5,0,0.499999988824129
"20","a1",19,21,28.5225001049904,10.8850001058983,5,0,23.399999999674
"21","a1",19,33,9.26499996341532,2.07800001829444,5,0,14.8999999975786
"22","a1",19,42,15.0950000605383,3.67500000189757,5,0,16.0999999847263
"23","a1",19,44,5.91499994052807,2.53500002195127,5,0,7.8999999910593
"24","a1",19,6,16.6150000323448,9.34000001210021,5,0,11.099999997532
"25","a1",19,60,23.4350000230456,9.3750000037835,5,0,2.89999999804422
"26","a1",19,66,1.10750001760433,0.87999999541091,1,0,27.4000000208616
"27","a1",19,67,5.61999992298195,0.68000003200024,1,0,22.9999999981374
"28","a1",19,68,2.18499999743421,0.5400000076415,1,0,21.0000000020955
"29","a1",20,0,44.6300000483798,34.6199999307236,6,0,0.329999998211861
"30","a1",20,2,42.9650000018265,32.7999998594052,6,0,0.530000030994415
"31","a1",20,21,44.5450000138208,28.5225001049904,6,0,17.2099999967031
"32","a1",20,33,21.9699999968009,9.26499996341532,6,0,10.2899999998044
"33","a1",20,42,37.2450000558118,15.0950000605383,6,0,15.7699999865144
"34","a1",20,44,26.4250000867643,5.91499994052807,6,0,7.86999999545515
"35","a1",20,6,23.2550000405801,16.6150000323448,6,0,5.42999999597669
"36","a1",20,60,39.3550000111968,23.4350000230456,6,0,3.71000000159256
"37","a1",20,67,10.4249999891501,5.61999992298195,2,0,25.3099999972619
"38","a1",20,68,8.79999997768318,2.18499999743421,2,0,14.9099999980535
"39","a1",20,72,2.35000002591405,1.30000000154832,1,0,13.1099999998696
"40","a1",21,0,22.9500000639935,44.6300000483798,7,0,0.0299999956041574
"41","a1",21,2,27.2249999374966,42.9650000018265,7,0,0.0299999956041574
"42","a1",21,21,40.7300000347127,44.5450000138208,7,0,14.4099999975879
"43","a1",21,33,18.445000065323,21.9699999968009,7,0,10.7900000002701
"44","a1",21,42,26.1449999539368,37.2450000558118,7,0,14.0699999872595
"45","a1",21,44,15.5449999871618,26.4250000867643,7,0,5.16999997198582
"46","a1",21,6,6.12999997288455,23.2550000405801,7,0,6.73000002279878
"47","a1",21,60,2.17000000939705,39.3550000111968,7,0,0.109999999403954
"48","a1",21,67,2.36999997309875,10.4249999891501,3,0,23.410000000149
"49","a1",21,68,4.28499992131023,8.79999997768318,3,0,13.5100000014063
"50","a1",21,72,1.35500002947403,2.35000002591405,2,0,14.1100000008009
"51","a1",22,0,12.8149999859766,22.9500000639935,8,0,0.19000000320375
"52","a1",22,2,14.5299999859114,27.2249999374966,8,0,0.530000030994415
"53","a1",22,21,53.794999998454,40.7300000347127,8,0,22.4099999992177
"54","a1",22,33,32.8150001018099,18.445000065323,8,0,10.4899999976624
"55","a1",22,42,52.7049999702885,26.1449999539368,8,0,14.1700000036508
"56","a1",22,44,7.43500004766741,15.5449999871618,8,0,1.2699999846518
"57","a1",22,6,11.1499999628519,6.12999997288455,8,0,10.7100000022911
"58","a1",22,60,3.12000001960667,2.17000000939705,8,0,4.10999999730848
